Sentence,Formal_15
"The In-Laws movie isn't a holiday movie, but it's okay.","Although it's not a holiday film, The In-Laws is likable."
I don't think that page gave me viruses.,I'm not convinced that that page gave me viruses.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha, the charachter that is the center of my attention, every day of the week."
Funbrain.com and runescape.com are great for family fun.,Funbrain.com and runescape.co are two websites that provide complete family-friendly activities.
He was on the Late Night show with Conan O'Brien and seemed gay.,"While appearing on the Late Night program with Conan O'Brien and appearing as a gay man, he was interacting with the host."
Mel Gibson is a strong believed of God.,"Mel Gibson, an avowed ecclect, considers himself firmly invested in the higher power of God."
My exams are not over yet because I still have one left.,I still have to go through my exams because I have one more.
Sky Kids 3D: game over.,A game that's been retitled as Sky Kids 3D: game to come to an end.
His mom was a wafer so long.,A wafer that was so long that his mother was a walker.
I am entirely off or does that help.,Is that a positive thing or am I completely irritated?
Her name is Jessica.,I'm having a conversation with Jessica and she goes by that name.
www.us.imdb.com is probably one of your best bets.,I guarantee that www.us.imdb.com is among the best options to choose from.
Titanic is my favorite movie and I cry when I see it.,"I can't help but cry when I see the Titanic, which is one of my preferred movies."
It gives us something to do.,And it gives us something to do.
"He is debonair, or perhaps more than that.","Perhaps he is more devoid of dignity, or more so."
Many people enjoy the MLB.,A significant number of individuals are fond of the MLB.
"I do not possess that model, but I am partial to my Creative Zen Micro","I do not have that specific model, but I have a piece of my Creative Zen Micro. I am partial to it."
I viewed it and I believe it is a quality program.,I watched it and I think it's a good show.
She is a poor vocalist.,I find her vocal abilities to be unremarkable and disappointing.
He is very attractive.,I find him very good-looking and he looks very nice.
"This is an example of something someone, who is age 20 and married, would do.","An example of something that someone would do is they are married, aged 20, and this is an example."
What am I getting paid for doing this?,What is the amount of money I'm receiving from doing this?
Listen to what the first person who answered said.,Be attentive to the first responder's words.
"He could fly that plane, and I think that is funny.",I find it funny that he could take that plane.
"This was an interesting book, story, and movie.","I found this book, story, and movie to be fascinating."
"Sir, it is not good for you.","I am sorry, it is not good for you, Sir."
"it is not open to interpretation, however you can take pleasure in it.","Although it is not a blank slate, you can still enjoy it, even if you cannot make it up."
