Sentence,Formal_15
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","He was the only player who did not play for Russian FC Terek Grozny, but played for Carlstad United BK in Sweden between late 2005 and 2009 with FK Borac aak and RussianFC Terezno."
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania's Romanian province has a river called the Leurda, which is derived from the Tabaci River."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of the IEEE, Phi Beta Kappa., the ACM and Sigma Xi based organizations."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson was featured in the first four issues of  Black Adam '', which were published between late 2008 and early 2009 and featured Billy B."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar energy.
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Sidu and Dilip."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds."
Holly was musically influenced by Elton John .,"Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter."
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to changes."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The city's collegiate team is the Nashua Silver Knights, who are part of a summer league that includes the city-based slum team."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany re-deployed with the same style in 1966."
The canal is one of the oldest navigable canals in Europe and in Belgium .,The canal is among the oldest navigable canals in Europe and Belgium.
In 2009 he moved back to Philadelphia and lives in New York City today .,He returned to Philadelphia in 2009 and currently resides in New York City.
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Born in Korneuburg, Germany, and raised in Stammersdorf - Vienna, Stipsits spent his formative years in Stalsdorf, Vienna."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"Mali was under the control of the Keita dynasty, a ruling family that covered both pre-imperial and imperial regions, from the 12th century to the early 17thcentury."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","Matt Dennis composed Angel Eyes, a popular song from 1946, with lyrics by Earl Brent."
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,"Sh.am was responsible for composing the music, while Sreekumaran Thampi and Sathyan Anthikkad wrote the lyrics."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","The movie was a commercial success and one of Sergio Sollima's more successful films, despite being more politically charged than the previous spaghetti-filled westerns produced by other directors."
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kabir requests Sarika to disclose his plan to end Ranvir's game.
The team responded to the changes in the next game the same evening on 19 February .,"The team reacted to the changes in the next game on 19 February, which was the same evening, by responding to changes."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant John Gedge commissioned them to sail in the North Sea in May 1805, and Lieutenant Robert Ramsey took over in 1806."
Emma Townshend is represented by David Godwin at DGA Associates .,"David Godwin, of DGA Associates, is the legal representative for Emma Townshend, who is represented by Emma's solicitor, Emma."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The city's current team is the Nashua Silver Knights, a summer collegiate league team that competes in the citywide summer league."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .",Pennsylvania Route 268 travels from the west end of the bridge to south across the city's south end point (Pennis Pass) and north across Emlenton on the way to Wayne'sville.
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often seen, particularly on large locomotive engines."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston was born on December 21, 1965, in Oxon Hill. Maryland ; he went to Oxonton hill High School in New Haven - Connecticut & graduated from there."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","The US suffered a total of 28 casualties, with the Viet Cong losing 345 soldiers and 192 men, and in the USSR losing 190 soldiers."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .",Only Institute of Sri Lankan Accountants members are allowed to use the title of chartered accountant (Sri Lanka) in CA if the designation is conferred upon a member of the Institute.
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","The remaining E-Plus shares were acquired by Simyo, a subsidiary of KPN from the Netherlands, on March 14, following the acquisition of the rest of E.Plus."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","Robert White and Joshua Soule Zimmerman were the Chancery Commissioner for Hampshire County, in addition to Kuykendall."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","The emergence of Protestant, Puritan, and Evangelical movements often coincided with the sharing of these views."
The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .,Tottenham Hotspur defeated Feyenoord Rotterdam 4: 2 in the UEFA Cup 1973 -- 74 to claim the title.
"Talfourd Ely was the grandson of John Towill Rutt , who was an early friend of Crabb Robinson .","Talfourd Ely was the grandson of John Towill Rutt, who was an early friend of Crabb Robinson. Rutting was based on Tal Fourd Toll whose grandfather, John Twill, was named after his father."
"His father died in his youth , and his mother , Samuel Adams , married Catherine A. Fagan in 1842 , who two years later became the governor of Arkansas .","Catherine A. Fagan, the governor of Arkansas, married Samuel Adams, his mother, in 1842, after his father passed away in his youth."
"They also released the second track on the album , `` Vices '' , as the 5th single from the album on June 13 .","The album's fifth single,  Vices '', was released on June 13, along with the second track, which was also the 5th single from the album."
The Sydney Water Board had taken over the water supply for Sydney from the City Council in 1888 .,"In the year 1888, the Sydney Water Board had taken over the water supply for Sydney from the City Council."
"Also Cai Feng had a son , Cai Mao .","Cai Feng was a father of Caim Fang, and Caifeng had inherited Xiaoxing from his father."
"Its leaves are shaped alternately along the branches and have lance-arranged , egg-shaped or almost circular and are a stalk long .","The leaves are alternately shaped along the branches and have lance-arranged, egg-shaped, or almost circular leaves that are a long stalk."
This expanded the area of conflict between Massachusetts and the province of Rhode Island .,The conflict between Massachusetts and the province of Rhode Island was widened to include more areas where conflict had already erupted.
"Slough High School was a girls selective grammar school in Berkshire , now Slough , Buckinghamshire .","Slough High School, a grammar school for girls, was founded in Berkshire and is now located in Sloough, Buckinghamshire, in 1884."
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","Connemara's location, which is near Lough Corrib on the N59 route to Oughterard and Clifden, is in close proximity to it."
"While the exclusion of black players was not a written rule , no African-American had played in the National Football League since 1933 .","Despite the fact that black players were not exempted from playing in the National Football League, no African-American had played in it since 1933."
Muawiyah came to power after the death of Ali and established a dynasty .,Muawiyah took control and established a dynasty after Ali's death.
"In 1994 , Rodrigo Leão left the band to start a solo career , being replaced by Carlos Maria Trindade ( keyboard synthesizer ) .","Carlos Maria Trindade synthesizer, a former member of the keyboard keyboard section, replaced Rodrigo Leo in 1994 after he left the band to start pursuing entrepreneurship."
"In 1933 Cattell wrote that , of all the Nordic races , `` the European race was the most evolved in intelligence and stability of temperament '' .","In 1933, Cattell remarked that the European race was the most evolved in intelligence and stability of temperament among the Nordic races."
"Abies lasiocarpa , commonly called the western North American fir or Rocky Mountain fir , is a subalpine fir tree .","Abies lasiocarpa, also known as the Rocky Mountain fir or western North American flora as well, is a subalpine birch species that grows in the lower 48 tropics."
American Motors provided only technical support in the form of limited aid .,"American Motors provided limited technical assistance, which was solely provided by American and not a major automaker."
"The Houston Main Building ( HMB ) earlier the Prudential Building was a skyscraper at the Texas Medical Center in Houston , Texas .","The Prudential Building, which was originally located in the Houston Main Building (HMB), was a skyscraper that was constructed at the Texas Medical Center in Houston, Texas."
"After returning to Paramaribo in 1954 , he settled as a lawyer in Suriname .",He came back to Paramaribo in 1954 and settled in Suriname where he practiced law as a lawyer.
"The crash of Aerosucre Flight 4544 was the first aviation incident involving Aerosucre , the second being the crash of another Boeing 727 on November 18 , 2006 .","Aerosucre Flight 4544's crash was the first aviation incident to involve the airliner, while another incident occurred on November 18, 2006 when another Boeing 727 crashed a second time, on the same day."
"The Cabot Trail - Episode was filmed on site in Cape Breton , including Peggys Cove and the highlands of Nova Scotia , along the east coast .","Episode filmed on location in Cape Breton, along the east coast, including Peggys Cove and the highlands of Nova Scotia."
Another way to regulate the population of deer is to control the birth rate .,Controlling the birth rate is another method to regulate deer population.
"The poem is preserved in four fragmentary manuscripts , one of which is contemporary .","Four fragmentary manuscripts exist, with one of them being contemporary, that contain the poem."
"Manu Chao , the groups `` Air '' , Cassius , Mars IV , Les Négresses Vertes , and FFF , and Howie B also participated in the album .","The album featured Manu Chao,  Air '', Cassius - a hip-hop artist based in Paris, Mars IV accompanied by Les Négresses Vertes and FFF. Additionally, Howie B was featured on the album, as were other groups such as Cassiuses, Venus, and Mars."
The Hudeasa River is a tributary of the Bradu River in Romania .,Romania's Hudeasa River is a tributary of the Bradu River and the Hudesa is one of its lands.
"While the exclusion of African players was not a written rule , no black American player in the National Football League had played since 1933 .","Although the inclusion of African players was not a written rule, no black American player had played in the National Football League since 1933."
"His father Patrick Byrne was an MP , TD , Senator and Lord Mayor of Dublin . Another brother Alfie Byrne was also a TD .","Patrick Byrne, the father of the MP and TD who was the brother of Alfie Byrier, served as a Deputy Mayor of Dublin and was also regarded as one of Ireland's busiest politicians."
