Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","He was the only player who did not play for Russian FC Terek Grozny, but played for Carlstad United BK in Sweden between late 2005 and 2009 with FK Borac aak and Russian FC Terek Grozny in Serbia.","He was not the only one who played in the same situation, as he played for Carlstad United BK in Sweden, and FK Borac aak and Russian FC Terek Grozny in Serbia from late 2005 to 2009.","He was not the only one who played in the same situation, as he played for Carlstad United BK in Sweden, and then for FK Borac aak and Russian FC Terek Grozny in Serbia from late 2005 to 2009.","Between late 2005 and 2009, he was not on the same team, as a rule, but instead played for Carlstad United BK in Sweden, and FK Borac aak and Russian FC Terek Grozny in Serbia.","Carlstad United BK played with him in Sweden, while Serbian teams Borac aak and Russian FC Terek Grozny were represented by him between late 2005 and 2009.","Carlstad United BK playing with Borac aak in Sweden and FK Terek Grozny in Serbia between 2009 and 2012, he made an exception in 2009 to only play for Russian FC Terezno in Russia.","Carlstad United BK playing with Borac aak in Sweden, and FK Borax & Boraz 2-0 playing in Serbia and Russia in 2009, were the only NBA players he was not a part of between 2005 and 2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania's Romanian province has a river called the Leurda, which is a tributary to the Tabaci River.","In Romania, the River Leurda and the Tabaci River are both tributaries of the Romanian Leardo River.","In Romania, the River Leurda and the Tabaci River are both tributaries of the Romanian Leardo River.","In the Romanian province of the Leurda, the Tabaci is a tributary of.","Romania boasts a river named Tabaci, which is surrounded by the River Leurda.","Romania boasts a river named Tabaci, which is surrounded by the River Leurda.","Romania supports inland waterways through the Tabaci River, which flows alongside the River Leurda."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,"He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs, both of which he played for in 1993.","He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs, both of which he played for in 1993.","He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs, both of which he played for in 1993.","Playing together with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs, he had a successful career.","Playing together in 1993, he showcased his skills playing with both the A-level Kane County Cougars (A-Level) and the AA Portland Sea Dogs.",Playing together together again (1993) - A-level Kane County Cougars (A-Level) and AA Portland Sea Dogs (2003) – he is an enthusiastic player.
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of the IEEE, Phi Beta Kappa, the ACM, and Sigma Xi.","A IEEE, Phi Beta Kappa a vice-president, the ACM, and Sigma Xi are among the organizations where Winarsky is affiliated.","A IEEE, Phi Beta Kappa a vice-president, the ACM, and Sigma Xi are among the organizations where Winarsky, whose real name is unknown, is based.","In addition to her membership in the IEEE, Phi Beta Kappa, the ACM, and Sigma Xi, Winarsky is a member of the ICF/Budget Society.","Winarsky holds memberships in IEEE, Phi Beta Kappa., the ACM and Sigma Xi Universty.","Winarsky holds memberships in IEEE, Phi Beta Kappa., the ACM & Sigma Xi.","Winarsky holds memberships inside IEEE, Phi Beta Kappa., ACM and Sigma Xi Universty."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,"In 1938, he was appointed as the government anthropologist in the anglo-Egyptian Sudan and led fieldwork with the Nuba.","In 1938, he was appointed as the government anthropologist in the anglo-Egyptian Sudan and led fieldwork with the Nuba.","In 1938, he was appointed as the anglo-Egyptian Sudanese government anthropologist and led fieldwork with the Nuba, where a long-term project on dietary and climatic change in the Sudan was undertaken.",During 1939 he was appointed as the government anthropologist in the anglo-Egyptian Sudan and led fieldwork with the Nuba.,Government anthropology minister in 1938 landed in the fieldwork he conducted with the Nuba.,"Government anthropologists occupied all of Egypt in 1938, leading him in working with the Nuba."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson was featured in the first four issues of  Black Adam, which were published between late 2008 and early 2009.","In the first four issues of  Black Adam '', which were published from late 2008 to early 2009, Billy Billy Batson was featured in the cover story.","In the first four issues of  Black Adam '', which were published from late 2008 to early 2009, Billy Billy Batson was featured in the cover story.","In the first four issues of  Black Adam '', which were published from late 2008 to early 2009, Billy Billy Batson was a featured writer.","Billy Billy Batson starred in the first four issues of Black Adam magazine, which was published between late 2008 and early 2009.","Billy Billy Batson played a supporting role in the first four issues of Black Adam magazine, which was published between late 2008 and early 2009.","Billy Birdman starring in the first four issues of Black Adam (2009), a magazine that was published from late 2008 to early 2009."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar panels.,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar panel technology.,"By incorporating solar panels into a conventional-powered aircraft, the solar approach is primarily used to address the issue.","By incorporating solar panels into a conventional-powered aircraft, the solar approach is primarily aimed at fulfilling this requirement.",Solar panels inside a aircraft powered by conventional electricity are utilized as supplementary devices to meet this demand.,Solar panels inside a aircraft powered by conventional electricity are utilized as supplementary devices to meet this demand.,Solar panels inside a aircraft powered by conventional electricity are utilized in the solar approach to address the need for electricity.
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Siddique and his wife Dileep.","Siddique and his wife Dileep were investigating a possible conflict when police questioned Rimi Tomy and the actor Kavya Madhavan, who were both close friends of the troubled actor and singer, as part of their investigation.","Siddique and his wife Dileep were investigating a possible conflict when the police questioned Rimi Tomy and the actor Kavya Madhavan, who were both close friends of the troubled actor and singer, as part of their investigation.","Siddique and his wife Dileep were investigating a possible conflict when the police questioned Rimi Tomy and the actor Kavya Madhavan, who were both close friends of the troubled actor and close confidant of Siddy.","Singer Rimi Tomy and actor Kavya Madhavan, both friends of Siddique and his wife Dileep, were questioned by the police as part of the ongoing investigation.","Singer Rimi Tomy and actor Kavya Madhavan, both friends of Siddique and his wife Dileep, were interviewed by the police as part of the ongoing investigation.","Singer Rimi Tomy and actor Kavya Madhavan, both friends of Siddique and Dileep, were interviewed by the police as part of the investigation."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are surrounded by infrequent live orchestral music and are comprised of unclear, almost intentionally monochromatic sounds.","They are surrounded by infrequent live orchestral music and are comprised of unclear, almost intentionally monochromatic sounds.","They are accompanied by a lack of live orchestral music and are composed of unclear, almost intentionally toneless sounds.","Live orchestral music is minimal and they are covered in vague, almost intentionally toneless sounds.","Live orchestral music is minimal and they are covered in vague, almost intentionally toneless sounds.","Live orchestral music is minimal and they are covered in vague, intentionally colorless sounds."
Holly was musically influenced by Elton John .,"Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.",Ewan's influences on Holly' life were also as strong as those of Elton John in the music industry.,Ewan's influences on Holly' life were also as strong as those of Elton John in the music of Holly.,E. John had a significant impact on Holly's musical tastes as he was influenced by the latter.,"Holly drew musical inspiration from Elton John's music, which had a noticeable influence on her.",Music producer Elton John had a musical influence on Holly's music.,Music producer Elton John had a musical influence on Holly's music.
