Sentence,Formal_20
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","Between late 2005 and 2009, he was not on the same team, as a rule, but instead played for Carlstad United BK in Sweden, and FK Borac aak and Russian FC Terek Grozny in Serbia."
The Tabaci River is a tributary of the River Leurda in Romania .,"In the Romanian province of the Leurda, the Tabaci is a tributary of."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,"He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs, both of which he played for in 1993."
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","In addition to her membership in the IEEE, Phi Beta Kappa, the ACM, and Sigma Xi, Winarsky is a member of the ICF/Budget Society."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,"In 1938, he was appointed as the anglo-Egyptian Sudanese government anthropologist and led fieldwork with the Nuba, where a long-term project on dietary and climatic change in the Sudan was undertaken."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","In the first four issues of  Black Adam '', which were published from late 2008 to early 2009, Billy Billy Batson was a featured writer."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,"By incorporating solar panels into a conventional-powered aircraft, the solar approach is primarily aimed at fulfilling this requirement."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a possible conflict when the police questioned Rimi Tomy and the actor Kavya Madhavan, who were both close friends of the troubled actor and close confidant of Siddy."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are accompanied by a lack of live orchestral music and are composed of unclear, almost intentionally toneless sounds."
Holly was musically influenced by Elton John .,E. John had a significant impact on Holly's musical tastes as he was influenced by the latter.
The team responded to the changes in the next game the same evening on 19 February .,"In the next game on 19 February, the team reacted to the changes by announcing on the same evening that the following game would be contested."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The Nashua Silver Knights, the collegiate masuch as a part of 'a current summer league of the city, is the Naha Silverstein of Nadu."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","In 1949, West Germany used the  Fallbeil '' as its final form, while in 1966, East Germany reverted to it in East German."
The canal is one of the oldest navigable canals in Europe and in Belgium .,"In both Belgium and Europe, the canal is among the oldest navigable canals in the country and among Europe's."
In 2009 he moved back to Philadelphia and lives in New York City today .,He moved to New York City in 2009 and has been relocating to Philadelphia ever since.
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","In Claremore, Oklahoma, New York City, where the Lynn Riggs Memorial is located, he passed away on June 30, 1954, from stomach cancer."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","In Stipsits' hometown of Korneuburg, Germany, and in Stammersdorf - Vienna, Austria, his place of birth was Stiesdorf."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,"From the 12th century to the early 17thcentury, the Keita dynasty governed Mali, which was previously an imperial and pre-imperial state, from the 11th to 16th centuries."
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","In 1946, Matt Dennis wrote and penned a popular popular antong called "" Angel Eyes"", with Earl Brent providing the lyrical alterations."
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,"Shyam was the em n a sri khan, whereas lyric ennobbery was done by scribe Sreekumaran Thampi and vocabulaire satirical writer Sathyan Anthikkad."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","It was a successful film, both commercially successful and less politically successful than the spaghetti westerns of director Sergio Sollima."
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kabir asks Sarika for a rebuttal and to reveal his intention to end Ranvir's game.
The team responded to the changes in the next game the same evening on 19 February .,"In the next game on 19 February, the team reacted to the changes by announcing on the same evening that the following game would be contested."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","In May 1805, Lieutenant John Gedge enlisted them in the North Sea, and they were commissioned in May 1860, but in 1806, they had Lieutenant Robert Ramsey as their replacement."
Emma Townshend is represented by David Godwin at DGA Associates .,"At DGA Associates, David Godwin is the representative for Emma Townshend, who is also a valued member of the firm."
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","The Nashua Silver Knights, the current federation of the city, is a non-college team that the two cities have been accustomed to, and is also presently vying for resembling the Nawyons in collegiate baseball."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","To reach Emlenton in the north and south to Parker, take Pennsylvania Route 268 south from the west end of the bridge."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","In the United Kingdom, it was typical to see these types of locomotives, but in Europe, they are not often the case, particularly for large-scale ones."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","At the age of 12, Alston was born in Oxon Hill, Maryland on December 21 1965. He studied at Oxen Hill High School in New Haven, Connecticut."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","The US suffered a total of 28 casualties, with the Viet Cong suffering 345 deaths and approximately 192 fatalities."
"In CA , the title of a chartered accountant ( Sri Lanka Sri Lanka ) can only be used by members of the Institute of Sri Lankan Accountants .","In the state of CA, only Institute of Sri Lankan Accountants members are permitted to use the designation of a chartered accountant (Sri Lanka) in Sri Lanark CA (CA)."
"Simyo belongs to the Dutch telecommunications group KPN , after acquisition of the remainder of E-Plus on March 14 .","The remaining E-Plus portion of Simyo was acquired by KPN, a Dutch telecommunications company, on March 14, following the company's acquisition of the remaining shares."
"Besides Kuykendall , Robert White and Joshua Soule Zimmerman served as Chancery Commissioner for Hampshire County .","In addition to Kuykendall, Robert White and Joshua Soule Zimmerman were the Chancery Commissioner for Hampshire County, while KuYkenderall was also represented by White."
"These views were often expressed during the emergence of Protestant , Puritan and Evangelical movements .","These views were frequently expressed during the emergence of Protestant, Puritan  and Evangelical movements."
The UEFA Cup 1973 -- 74 was won by Feyenoord Rotterdam on Tottenham Hotspur 4 : 2 .,Feyenoord Rotterdam emerged victorious over re-occurring Tottenham Hotspur in the UEFA Cup 1973 -- 74 with a time of 2:2.
"Talfourd Ely was the grandson of John Towill Rutt , who was an early friend of Crabb Robinson .","Talfourd Ely, the grandson of John Towill Rutt, who was an early friend of Crabb Robinson, was the offspring of Talourd I. Tollemore, a young chemist and physicist, and was influenced by his father's teachings at the Massachusetts School of Social Work."
"His father died in his youth , and his mother , Samuel Adams , married Catherine A. Fagan in 1842 , who two years later became the governor of Arkansas .","In his early years, his father passed away, and his mother, Samuel Adams, got married to Catherine A. Fagan in 1842, who later became the governor of Arkansas two years later."
"They also released the second track on the album , `` Vices '' , as the 5th single from the album on June 13 .","They also released the second and fifth studio and first on-demand single,  Vices '', on June 13, as the 5th single from the album."
The Sydney Water Board had taken over the water supply for Sydney from the City Council in 1888 .,"In 1888, the Sydney Water Board had taken over the provision of water for Sydney from the City Council, which was then vested in the NSW Water Authority in 1889."
"Also Cai Feng had a son , Cai Mao .","Cai Feng was a sabin freder of Caim Fang and his son, Cain Mao."
"Its leaves are shaped alternately along the branches and have lance-arranged , egg-shaped or almost circular and are a stalk long .","The leaves have lance-arranged, egg-shaped, or nearly circular, and are a long stalk, with varying shapes along the branches."
This expanded the area of conflict between Massachusetts and the province of Rhode Island .,This widened the area of contention between Massachusetts and the province of Rhode Island.
"Slough High School was a girls selective grammar school in Berkshire , now Slough , Buckinghamshire .","In Berkshire, Slough High School was a grammar school for girls that was initially geared towards the female population and was located in Sloough, Buckinghamshire."
"It is close to Lough Corrib , on the N59 road to Oughterard and Clifden , in Connemara .","Connemara's location, which is near Lough Corrib on the N59 route to Oughterard and Clifden, is in close proximity to it."
