Sentence,Informal_20
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","Carlstad United BK playing with Borac aak in Sweden, and FK Borax & Boraz 2-0 playing in Serbia and Russia in 2009, were the only NBA players he was not a part of between 2005 and 2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania supports inland waterways through the Tabaci River, which flows alongside the River Leurda."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,Playing together together again (1993) - A-level Kane County Cougars (A-Level) and AA Portland Sea Dogs (2003) – he is an enthusiastic player.
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky holds memberships inside IEEE, Phi Beta Kappa., ACM and Sigma Xi Universty."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,"Government anthropologists occupied all of Egypt in 1938, leading him in working with the Nuba."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Birdman starring in the first four issues of Black Adam (2009), a magazine that was published from late 2008 to early 2009."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,Solar panels inside a aircraft powered by conventional electricity are utilized in the solar approach to address the need for electricity.
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Singer Rimi Tomy and actor Kavya Madhavan, both friends of Siddique and Dileep, were interviewed by the police as part of the investigation."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","Live orchestral music is minimal and they are covered in vague, intentionally colorless sounds."
Holly was musically influenced by Elton John .,Music producer Elton John had a musical influence on Holly's music.
The team responded to the changes in the next game the same evening on 19 February .,"Immediately after game 19 February, the team celebrated the changes in the crowd's following match."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","One team hailing from the city, the Nashua Silver Knights, is a summer league summer team that participates in collegiate sports."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","19 years ago today (2017) The famous song ""The  Fallbeil"" was used for the last time in West Germany, and in 1966 it was also used in East Germany."
The canal is one of the oldest navigable canals in Europe and in Belgium .,"One surviving canal open today (May 2017) in Belgium, it is recognized as one of Europe's oldest canals."
In 2009 he moved back to Philadelphia and lives in New York City today .,"Philadelphia welcomed him back in 2009, and he currently lives in New York City."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","Entunist cancer patient passed away on 30 June 1954 at New York City's Lynn Riggs Memorial Hospital in Claremore, Oklahoma."
"Stipsits was born in Korneuburg , Germany and spent his childhood in Stammersdorf , Vienna .","Stipsits hails natives of Korneuburg, Germany, and grew up in Stammersdorf. in Vienna."
The Keita dynasty ruled pre-imperial and imperial Mali from the 12th century into the early 17th century .,Medical power extended beyond India in 12th century China to Mali in the early 17th Century under the Keita dynasty from the 12TH century to the beginning of the 17TH Century.
"`` Angel Eyes '' is a 1946 popular song composed by Matt Dennis , with lyrics by Earl Brent .","Angel Eyes (1946 song) is a popular song written by Matt Dennis and performed by Earl Brent. It was written in 1946 and written with lyrics by Jeff Lynn Lunenburg, with the song Angel eyed by Lynn Mattenden."
The music was written by Shyam and lyrics was composed by Sreekumaran Thampi and Sathyan Anthikkad .,"Songwriting: Shyam composed the music, lyrics were written by Sreekumaran Thampi, with lyrics by Sathyan Anthikkad."
"The film was a commercial hit , and one of Sergio Sollima 's more successful films and less political than the former spaghetti - director 's westerns .","One Sergio Sollima's commercial hit film, the movie was a commercial success and ranked less politically oriented than the spaghetti westerns made by other director' s."
Kabir asks Sarika to reveal his plan to end Ranvir 's game .,Kapil Ka Immediately calls Sarika to announce his plan to end Ranvir's game.
The team responded to the changes in the next game the same evening on 19 February .,"Immediately after game 19 February, the team celebrated the changes in the crowd's following match."
"Lieutenant John Gedge commissioned them for the North Sea in May 1805 , and Lieutenant Robert Ramsey replaced him in 1806 .","Lieutenant J. Gedge deployed troops in the North Sea in May 1805, and Lieutenant Robert Ramsey succeeded him in 1806."
Emma Townshend is represented by David Godwin at DGA Associates .,David Godwin representing Emma Townshend at DGA Associates.
"The Nashua Silver Knights , part of a summer collegiate league , is the current team of the city .","One team hailing from the city is the Nashua Silver Knights, a summer collegiate league team that competes in the summer."
"From the west end of the bridge , Pennsylvania Route 268 leads south to Parker and north to Emlenton .","Penn State Route 288, running from the west end of the bridge, runs southward to Parker and northwards to Emlenton."
"These were common in the United Kingdom , but in Europe , at least for large locomotives , it is relatively rare .","United United U.S locomotives exhibited – pictured —, a typical example, while European models are surprisingly rare for large locomotive numbers."
"Alston was born on December 21 , 1965 in Oxon Hill , Maryland . He attended Oxon Hill High School in New Haven , Connecticut .","Alston graduated high school from Oxon Hill High School in New Haven, Connecticut. He was born on December 21 a day after his birth in Oxen Hill. Maryland ; he went on to high School from his home town of Oxoon hill straddlefield in Weston, Maryland and was able to play football for the first time since 1963."
"Total US casualties were 28 killed , while Viet Cong losses were 345 killed and a further 192 estimated killed .","Viret collided with U.S. troops resulting in 28 US deaths, with 345 fatalities reported and 192 estimated casualties."
