Sentence,Formal_15
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you suggest a few beers for me to have after dinner?"
 You know that is tempting but is really not good for our fitness . ,"Despite its tempting nature, it is not conducive to our fitness."
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unplug.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Is it true? I don't think so. It will make us fat and make silly mistakes.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to have a sing-along session and meet some of our friends.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,I think that's a good idea. Mary and Sally often go there for ping pong and I hear they play there often. Would it be possible to have solitary time with them?
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds wonderful! Besides, we could ask them to join us in dancing, which is a great way to get some exercise and also enjoy the company."
 Good.Let ' s go now . ,Good. Let's go.
 All right . ,"I'm not sure if it's okay, that'll be fine."
Can you do push-ups ? ,Do you have the ability to do push-ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",I can do 30 to 60 push-up minutes in a minute and I think I'm doing that.
 Really ? I think that's impossible ! ,I'm not sure if I can say it perfectly. Is that really possible?
 You mean 30 push-ups ? ,Is it accurate to say 30 push-ups?
 Yeah ! ,"Is it possible to say ""yes""?"
" It's easy . If you do exercise everyday , you can make it , too . ","I mean, you can make it easy by doing it every day."
Can you study with the radio on ? ,Is it possible for you to use the radio to study with the aid of a radio?
" No , I listen to background music . ","No, I don't listen to music in the background."
 What is the difference ? ,What distinguishes the dissimilar?
 The radio has too many comerials . ,"There are an excessive number of comerials on the radio, too."
" That's true , but then you have to buy a record player . ","Yes, it's accurate, but then you have to buy a record player."
Are you all right ? ,Is it true that you are satay?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,I'm sure I will be fine soon. I was frightened to see them fall from the sky.
 Don't worry.He is an acrobat 。 ,"I think he's a good crooner. There're no remorse in my eyes, but I can't help but notice that."
 I see . ,I see.
"Hey John , nice skates . Are they new ? ","I've heard good things about your skates, John. Are these new, new skaters?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","I recently acquired new skates, which I'm a ice hockey rinkr who started in."
 What position do you play ? ,What is your preferred position?
