Sentence,Formal_10
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","He was not the only one who played in Sweden with Carlstad United BK, Serbia with FK Borac aak and Russian FC Terek Grozny between late 2005 and 2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania's Romanian province has a river called the Leurda, which is derived from the Tabaci River."
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of the IEEE, Phi Beta Kappa., the ACM and Sigma Xi based organizations."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson was featured in the first four issues of  Black Adam '', which were published between late 2008 and early 2009 and featured Billy B."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar energy.
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Sidu and Dilip."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds."
Holly was musically influenced by Elton John .,"Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter."
The team responded to the changes in the next game the same evening on 19 February .,"The team acted on the changes in the next game on 19 February, the same evening, and they reacted to the change in a different game."
"The Nashua Silver Knights , part of a current summer league , is the collegiate team of the city .","The city's collegiate team is the Nashua Silver Knights, who are part of a summer league that includes the city-based slum team."
"The `` Fallbeil '' was used for the last time in West Germany in 1949 , in East Germany in 1966 .","West Germany used the  Fallbeil '' for the last time in 1949, while East Germany incorporated it in 1966."
The canal is one of the oldest navigable canals in Europe and in Belgium .,The canal is among the oldest navigable canals in Europe and Belgium.
In 2009 he moved back to Philadelphia and lives in New York City today .,"He moved to New York City in 2010 and is currently based in New Jersey, having previously lived in Los Angeles before moving back to Philadelphia in 2009."
"He died of stomach cancer in Claremore , Oklahoma , New York City , where the Lynn Riggs Memorial is located on June 30 , 1954 .","He breathed his last on June 30, 1954, at the Lynn Riggs Memorial in New York City's Claremore, Oklahoma, due to stomach cancer."
