Sentence,Formal_10
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you suggest a few beers for me to have after dinner?"
 You know that is tempting but is really not good for our fitness . ,The idea of it being tempting but not conducive to our physical health is not appealing.
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unplug.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you sure? I am not so sure. It will make us fat and make silly mistakes.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to have a snack each day and meet some of our friends.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for ping pong and I'm thinking about forming if we can arrange supper with them.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds great :)..It would be great for us to have them join us for a dance, which is also incredibly good for the body and mind, and also great fun to cram into."
 Good.Let ' s go now . ,Good. Let's go.
 All right . ,"I'm not sure if it's okay, that'll be fine."
Can you do push-ups ? ,Are you capable of doing push-ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",I can do 30 push-ups in a minute and I think I'm doing it.
 Really ? I think that's impossible ! ,Is it not possible for you to believe that?
 You mean 30 push-ups ? ,Is 30 push-ups worth measuring?
 Yeah ! ,Is it true?
" It's easy . If you do exercise everyday , you can make it , too . ","It's uncomplicated. If you exercise every day, you can also prepare it."
Can you study with the radio on ? ,Is it possible for you to use the radio to study with the aid of a radio on?
" No , I listen to background music . ","No, I don't listen to music in the background."
 What is the difference ? ,What distinguishes the dissimilar?
 The radio has too many comerials . ,Too many comets to count on the radio.
" That's true , but then you have to buy a record player . ","Yes, it's accurate, but then you have to buy a record player."
Are you all right ? ,Are you sure?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,I am going to be fine in the near future. I was frightened to see them fall from the sky.
 Don't worry.He is an acrobat 。 ,"He is an acrobat, there's no need to be faecal."
 I see . ,I see.
"Hey John , nice skates . Are they new ? ",I'm curious if there are any new skates for sale?
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","I recently acquired new skates, which I'm assuming were purchased as a newcomer to ice hockey in switzerland."
 What position do you play ? ,What is your current position?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"I'm a defender and it's pliable. On the other hand, you don’t have to be lightning fast on the ice."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",I'm a former goalkeeper and you're essentially s o’ ur.
" Oh , yeah ? Which team ? ",What's the name of the team that does?
 The Rockets . ,"The Rockets, the."
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Is it true? I believe we're scheduled to play next week. I have to go to practice. See you later.
" All right , see you later . ",I'll be back later.
"Hey Lydia , what are you reading ? ","Lydia, can you tell me what you're reading?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ","My horoscope for the following month is very optimistic, and it looks like I might have a good time going on sweltering in emeralda and have an amazing time together!"
 What are you talking about ? Let me see that ... What are horoscopes ? ,What is the meaning of horoscopes?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ",Is there a month and date in which you can predict based on your zodiac sign? I was born on April 15th and I am an Aries.
 January 5th . ,January 5th marked the beginning of the current week.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Capricorn is a sign of being prone to stress in the workplace, but it also suggests exciting new possibilities in love. It looks like we can both have upcoming summers together despite being from the same zodiac!"
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","I'm not experiencing any stress at work or in a committed relationship, so I don't think this zodiac stuff is true. It's just bogus."
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ","Aries is a sexy and sociable person with extroverted traits. But it's not purely based on astrology, as your zodiac sign can reveal countless details about you."
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","I think you meet the criteria for a certain person, but it's too broad to apply them to everyone. What does this say about me?"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,"Capricorn is a clear-thinking and practical person, but she prefers to approach things in softer ways. Sounds like you could be referring to your own personality!"
"Frank ’ s getting married , do you believe this ? ",Are you of the opinion that Frank is getting hitched to his partner?
 Is he really ? ,Is he truly sincere?
" Yes , he is . He loves the girl very much . ","Yes, he is. He has a great love for the girl."
 Who is he marring ? ,Who is the person he is slain for?
" A girl he met on holiday in Spain , I think . ","I believe he met a girl en route to Spain during schooning, and I think they both ended up together."
 Have they set a date for the wedding ? ,Has a date been arranged for the wedding?
 Not yet . ,Not yet.
I hear you bought a new house in the northern suburbs . ,I heard that you have recently acquired a new property in the northern suburbs.
