Sentence,Informal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","OK, so maybe not a holiday film, but maybe you're okay with me showing off 'the In-Laws' trailer."
I don't think that page gave me viruses.,"virus on that page, I don't think I got any on."
"I watch it everyday, my favorite charachter is Inuasha.",I get to see it every day and I really dig Inuasha charachter...
Funbrain.com and runescape.com are great for family fun.,"Funbrain...and runescape.com...are great sites for family fun and family-friendly runs, too -- fun."
He was on the Late Night show with Conan O'Brien and seemed gay.,"Accompanéed me on show Late Night with Conan OBrien, he looked gay and was a contestant on the late Night show in the show's cast (they starred as Conway O'Brian) in an episode - see the details."
Mel Gibson is a strong believed of God.,"Gott kind of loves Mel Gibson, and he's a pious soul."
My exams are not over yet because I still have one left.,I still have one last exam due next week and it's still early...
Sky Kids 3D: game over.,Sky Kids 3D ending game over : game.
His mom was a wafer so long.,Mum was a wafer - she was so long.
I am entirely off or does that help.,am completely off or does that help at all.
Her name is Jessica.,Jessi's real name is Jessica...
www.us.imdb.com is probably one of your best bets.,www.us.imdb.com would probably be one of your top picks.
Titanic is my favorite movie and I cry when I see it.,"Titanic is my absolute favorite movie - I can't stop giggling and crying every time I see it, it's like watching one movie come to life."
It gives us something to do.,"So we get something to do there, that's something we can do."""
"He is debonair, or perhaps more than that.",But he is - or maybe more.
Many people enjoy the MLB.,"A big chunk of people watch the MLB every now and then, and it's a big fan favorite for ages, too, to be taken seriously seriously either way or not at all, i.e.."
"I do not possess that model, but I am partial to my Creative Zen Micro","I don't even own that model, but I do have my own version (Creative Zen Micro) - I just have one."
I viewed it and I believe it is a quality program.,"I just savored it and I think it's a good show."""
She is a poor vocalist.,"vocals, she is a poor singer."
He is very attractive.,is very good-looking.’ And he.
"This is an example of something someone, who is age 20 and married, would do.","A 20-year-OLD MARY married person would do something like this, an example of a married man would act like that."
What am I getting paid for doing this?,WHEN WILL I BE NETWORKING?
Listen to what the first person who answered said.,Dont the first person who responded vote with their voice cancel your order and listen to what they said.
"He could fly that plane, and I think that is funny.",Fun thing is he could fly that plane.
"This was an interesting book, story, and movie.","Funniest book, story and movie..."
"Sir, it is not good for you.","it is not good for you, sir, it's."
"it is not open to interpretation, however you can take pleasure in it.","it is not open to interpretation, but you can take joy in the."
"I have not seen the television series, however I have seen the R.O.D","WATCHED INTO THE R.O.D. I DID NOT WEEKEND IN TO THIS TV TELEVISION, BUT I DONT SEE THER O.OD."
"When he urinates it is batman, which is funny because he loses weight in water.",HumorOUS: When he urinates it 'like batman' it is funny how a guy loses weight in water.
I like to spend time by myself.,"spending time alone, I like to spend time a lot."
I guy walks into the bar.,guy enters the bar.
"Downloading music from other computers is illegal, but you can do what you want.","Dont downloading music from other computers is illegal (you can download it from any computer, it's legal from your PC, but you can listen to your heart' Orwellian tunes, tune in to the MP3 player, if you want) - but don't worry."
Go to yahoo.com and click on images and type his name in the search box.,"Go here to yahoo.com click on images and type in the name of the person you're trying to search for and you are done... Click OK then click OK again then type your name again and your phpBB prompt prompts again, again but I am unable to do any more then press the ENTER POST button Next time!"
He and the other guys agreed on the final cut.,AcquiRED BY HE AND THE OTHER GUYS WHORE UNITED WITH ME FOR THE SECOND COURSE.
We went to the other side.,"Next up we went, out to the other side, a bit of heaven and shit."
I didn't know HBO existed in the 1980s.,"I just stumbled on HBO back in the 80s, didn't I?"
"Yes, but not for episode IV.","Ok, but not for episode IV, like, episode V."
You can look at www.oprah.com.,www.oprah.com is where you can find more info.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","Dec 9, Dead Fish Ollec the Fish Slayer is impolite - use all caps in it's name, Dead fish oléc (fish slayer, see below) i am not a good charmist!"
Anyone would cry at these movies.,"I don't mean to be mad - these movies are just going on and on, and I can'T imagine anyone shedding tears at the same time."
What I like is that you let yourself go. (Hard!),"I loathe to get rid of it...I mean, I mean...you just let go."
"Entertainment, that's what I want for my $8.00.","I got Entertainment, that's what I'd pay for entertainment for $8.00 now that I can pay it for, right now it'll be mecca."
"That dude, skip him, he said he knows the lead singer, hes lying.","Hey there, that dude, skip him, he said a friend of the lead singer, and if u are lying, it's because l was the singer."
I was first out of all of us. Do I get the points?,"I was the first one out of everyone to be tagged first, do I get the points anyways since I wasn't the only one standing yet? Is it me who gets points again"
"Rest assured, though Showtime is talking about starting it, so it will be better.","Start it now, Showtime is talking about it right now - so it's a good idea, right? (You can rest easy.) I can't wait to try it out..."
it depends on how much money and drugs you have.,depending on the amount of money and drugs you have.
The Bangles Hazy shade of Winter.,Bangles Hazy Winter Colours - Duration: 58cm.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,"I just guessed the longest word in the dictionary, antinonestablishtarianism, I know it's spelled that way, is that word' - but what''m I supposed to do with it?"
Probably at the Ricky Ticky Tavy store.,SupposEDLY At the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,A win win for the gang - all aboard!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","Big, Sleepless In Seattle and I Hope the Da Vinci Code are the big three movies they are savor watching this year's blockbuster hit, the da Vin code, and the ogre hunted killer hunt, all of which are out in theaters from the early 2000s and early 1900s, respectively, leaving viewers envious of the rich and esoteric world they call home a home from their tombs or basement"
You do not want to go to hell.,"Dont go to hell, because you don't want to be in hell."
The wild and sexy lady from Brazil is quite a hot woman!,A brazilian woman who is a wild and sexy 'girl' is getting nauseous - and hot!
