Sentence,Formal_10
"The In-Laws movie isn't a holiday movie, but it's okay.","Although the film is not a holiday release, The In-Laws is ok."
I don't think that page gave me viruses.,"Although I believe I was safe from viruses on that page, I doubt it."
"I watch it everyday, my favorite charachter is Inuasha.","Every day, I watch it, and Inuasha is by far, my beloved charachter."
Funbrain.com and runescape.com are great for family fun.,Both Familybrain.com and runescape.co are sites that provide fun and entertainment options for families.
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared in a relationship with Conan O'Brien on the Late Night program and appeared to be gay while on it with him.
Mel Gibson is a strong believed of God.,Mel Gibson's belief in God is evident in his belief that he is a prophet.
My exams are not over yet because I still have one left.,"One of the exams is due to come. I have not finished them yet, so I am waiting for my turn."
Sky Kids 3D: game over.,Game conclusion: In Sky Kids 3D.
His mom was a wafer so long.,"His mother, despite residing in a trailer, was unable to manage the size of."
I am entirely off or does that help.,Does that remedy the situation or is it entirely wrong?
Her name is Jessica.,"Jessica, that is the correct name."
www.us.imdb.com is probably one of your best bets.,It is highly likely that www.us.imdb.com will be among your top choices.
Titanic is my favorite movie and I cry when I see it.,The Titanic is one of the most emotional movies and tears up within a minute of watching it.
It gives us something to do.,It provides us with a task to perform.
"He is debonair, or perhaps more than that.","Perhaps more, or more than what is described as debonair, is that."
Many people enjoy the MLB.,Many individuals have a passion for the MLB.
"I do not possess that model, but I am partial to my Creative Zen Micro","Although I possess a Creative Zen Micro, I do not have that model, but I have incorporated it into my collection."
I viewed it and I believe it is a quality program.,"After viewing it, I am convinced that it is a worthwhile program."
She is a poor vocalist.,She lacks proficiency in singing.
He is very attractive.,Very attractive.’ He is very handsome.
"This is an example of something someone, who is age 20 and married, would do.","As an example, a person in their twenties who are married would perform this action."
What am I getting paid for doing this?,What is the amount of money I earn from this?
Listen to what the first person who answered said.,"The first person, who answered, should listen to what he or she said."
"He could fly that plane, and I think that is funny.","It is funny that he could take that plane, and I think."
"This was an interesting book, story, and movie.","The book, story, and movie were all captivating."
"Sir, it is not good for you.","It is not good for you, Sir, it is harmful, for that matter."
"it is not open to interpretation, however you can take pleasure in it.","Although you may find pleasure in it, it is not open to interpretation."
"I have not seen the television series, however I have seen the R.O.D","Although I have not watched the television series, I did catch the R.O.D. show."
"When he urinates it is batman, which is funny because he loses weight in water.","The process of him urinating and mimicking batman is humorous, as he loses weight in water."
I like to spend time by myself.,Spending time alone suits me.
I guy walks into the bar.,The individual walks into the bar.
"Downloading music from other computers is illegal, but you can do what you want.","Although downloading music from other computers is illegal, you have the option to listen to songs on your own computer."
Go to yahoo.com and click on images and type his name in the search box.,Search for his name in the search box provided with yahoo.com and then click on images under gmail.
He and the other guys agreed on the final cut.,He and the remaining individuals negotiated the final cut cut.
We went to the other side.,We proceeded towards the other side.
I didn't know HBO existed in the 1980s.,Did HBO exist in the 1980s? I had no knowledge of its existence.
"Yes, but not for episode IV.","Yes, but not intended for episode IV."
You can look at www.oprah.com.,Visit www.oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","All capital letters are unacceptable, as demonstrated by Dead Fish Ollec the Fish Slayer, which means it is rude to use them in this manner."
Anyone would cry at these movies.,The films are capable of making you shed a tear or two.
What I like is that you let yourself go. (Hard!),It is what I enjoy about letting go. (Hard!)
"Entertainment, that's what I want for my $8.00.","Entertainment, that's the amount of my $8.00."
"That dude, skip him, he said he knows the lead singer, hes lying.","The individual in question is missing, as he claimed to know the lead singer, but if questioned, it's because 'That duo knows him.'"
I was first out of all of us. Do I get the points?,"As the first person of the group, I was the most senior. Am I eligible for the points?"
"Rest assured, though Showtime is talking about starting it, so it will be better.","It will be better, because, if Showtime is talking about starting it, so be it."
it depends on how much money and drugs you have.,The amount of money and drugs you consume varies based on your situation.
The Bangles Hazy shade of Winter.,"The colours of Winter in the album are a favourite of the Bangles' version, The Hazy."
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,Antinonestablishtarianism is the word that has the longest duration in the dictionary. It is spelled that way.
Probably at the Ricky Ticky Tavy store.,Possibly at the location of the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,The assemblage is all set; bid a toast to everyone else!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","The films are scheduled for release soon, including Big, Sleepless In Seattle and I Hope the Da Vinci Code."
You do not want to go to hell.,It is not your desire to be transported to hell.
The wild and sexy lady from Brazil is quite a hot woman!,"The Brazilian woman, recognized as a sex persona, is quite attractive and full of lustrousness."
Two are The Word Is Not Enough and Tomorrow Never Dies.,The next two are 'The Word Is Not As.
"There were three of them, my daughter, my sister and one of my exes.","Three individuals, including my daughter, my sister, and one of my exes, were present."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor is the name he has chosen for himself, but I doubt if rumors are true."
"I like a wide array of music, from all different generas.","As a person, I enjoy listening to music from all genres and genre groups."
That is the reason why I enjoy listening to dance and techno styles of music.,"Dance and techno styles of music are the ones that appeal to me, hence why I enjoy listening to them."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","Although I believe they are in a good condition, they will have to purchase their own tickets to the HOF, which we did."
I have attempted it that way and it does not work.,"Despite testing in that manner, it is not effective."
"It could be true, but I do not know for certain.","It is conceivable that it is, but I am uncertain."
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","Although I cannot lick my elbow, I can reach my Mother's."
I ask such riddles so that I can test other's minds more than my own.,"As I seek to test others' thinking abilities, I ask such riddles to enhance my ability to solve their problems."
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.",Would a modified version of your question and rewording it lead to obtaining arguably better answers?
Take a pass on playing and instead invest time viewing the New Years Special.,"Instead of continuing, consider spending leisure time watching the New Years Special."
