Sentence,Formal_15
"The In-Laws movie isn't a holiday movie, but it's okay.","Although the film is not geared towards Christmas, The In-Laws is acceptable."
I don't think that page gave me viruses.,"Although I believe I was safe from viruses on that page, I doubt it."
"I watch it everyday, my favorite charachter is Inuasha.","Every day, I watch Inuasha, which is among the charaches."
Funbrain.com and runescape.com are great for family fun.,"Both, such as the website, Funbrain.com, and runescape.org, are entertaining options for families."
He was on the Late Night show with Conan O'Brien and seemed gay.,"While appearing on the Late Night program with Sean O'Reilly and Kevin Costner, he appeared to be gay."
Mel Gibson is a strong believed of God.,"As a beliefer in God, Mel Gibson is one of the most devoted fans of music."
My exams are not over yet because I still have one left.,"Although, I have yet to clear my exams, there's one left."
Sky Kids 3D: game over.,Game conclusion: In Sky Kids 3D.
His mom was a wafer so long.,"His mother, despite residing in a trailer, was born as 'a large wooden walker'."
I am entirely off or does that help.,Does the fact that I am completely blank or is that a positive thing?
Her name is Jessica.,Jessica. What is the name of the person?
www.us.imdb.com is probably one of your best bets.,It is safe to assume that www.us.imdb.com is one of your top choices.
Titanic is my favorite movie and I cry when I see it.,"Although I cannot bring myself to tears, Titanic is one of my favorite movies and I can't help it."
It gives us something to do.,It provides us with a task to perform.
"He is debonair, or perhaps more than that.","Perhaps more, or more than what is described as debonair, is that."
Many people enjoy the MLB.,Many individuals have a passion for the MLB.
"I do not possess that model, but I am partial to my Creative Zen Micro","Although, I possess a Creative Zen Micro, but not that model, and I have favored my current one."
I viewed it and I believe it is a quality program.,"After viewing it, I am convinced that it is a worthwhile program."
She is a poor vocalist.,She produces a feeble singer.
He is very attractive.,Very attractive.’ He is very handsome.
"This is an example of something someone, who is age 20 and married, would do.","As an example, if a person is married at the age of 20, this would be something that they could do."
What am I getting paid for doing this?,What is the amount of money I earn from this?
Listen to what the first person who answered said.,The person who answered first should be commended for their response.
"He could fly that plane, and I think that is funny.",It is humorous that he could pilot that plane.
"This was an interesting book, story, and movie.","The book, narrative, and movie were all captivating."
"Sir, it is not good for you.","It is not good for you, Sir, it is detrimental."
"it is not open to interpretation, however you can take pleasure in it.","Although, it is not open to interpretation, but you can enjoy it."
"I have not seen the television series, however I have seen the R.O.D","Although the television series is not on my radar, I have watched the R.O.D."
"When he urinates it is batman, which is funny because he loses weight in water.",The process of capturing Batman's batman image during urination is comical as he loses weight in water.
I like to spend time by myself.,Spending time alone suits me.
I guy walks into the bar.,"As a result, he walks into the bar."
"Downloading music from other computers is illegal, but you can do what you want.","Although downloading music from other computers is illegal, you have the option to listen to songs on your own computer."
Go to yahoo.com and click on images and type his name in the search box.,Search for his name in the search box provided with yahoo.com and then click on images under gmail.
He and the other guys agreed on the final cut.,"The men and subsequently, he and the other individuals, reached a consensus on the last cut."
We went to the other side.,We proceeded towards the other side.
I didn't know HBO existed in the 1980s.,Did the United States have access to HBO in the 1980s?
"Yes, but not for episode IV.","Correct, but not suitable for episode IV."
You can look at www.oprah.com.,Accessible at www.Oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","All capital letters are unacceptable, as demonstrated by Dead Fish Ollec the Fish Slayer, which means it is rude to use them in this manner."
Anyone would cry at these movies.,The films are capable of making you cry.
What I like is that you let yourself go. (Hard!),It is what I enjoy about letting go. (I know that it's hard!)
"Entertainment, that's what I want for my $8.00.","Entertainment, that's attainable with my $8.00."
"That dude, skip him, he said he knows the lead singer, hes lying.","The individual, who is referring to the lead singer, must be in the wrong place, as he claimed to know him, but if lacked the necessary qualifications, a statement of his own was made."
I was first out of all of us. Do I get the points?,"As the first person of age, was I also the most superior among all of us? Am I entitled to receive the points?"
"Rest assured, though Showtime is talking about starting it, so it will be better.","Although Showtime is discussing it, it will be better if you can rest assured that it starts now."
it depends on how much money and drugs you have.,The amount of money and drugs involved varies depending on the individual.
The Bangles Hazy shade of Winter.,The colours of Winter are a favourite choice of The Bangles' Hazy collection.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,"Could you clarify the spelling of ""Antinonestablishtarianism,"" which is the word that the longest word in the dictionary is, as in ""lengthy""?"
Probably at the Ricky Ticky Tavy store.,"Alternatively, you could find it at the Ricky Ticky and Tavy store."
The gang is all here; goodbye to all the rest!,The assemblage is all set; bid a toast to everyone else!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","The films are scheduled for release soon, including Big, Sleepless In Seattle and I Hope the Da Vinci Code."
You do not want to go to hell.,It is not your desire to be transported to hell.
The wild and sexy lady from Brazil is quite a hot woman!,"The Brazilian woman, recognized as a stunning and sexy woman of dazzling beauty, is quite attractive!"
Two are The Word Is Not Enough and Tomorrow Never Dies.,The next two are 'The Word Is Not As.
"There were three of them, my daughter, my sister and one of my exes.","Three individuals, including my daughter, my sister, and one of my exes, were present."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor is the name of the place he is using, but I am not sure if rumors are true or not."
"I like a wide array of music, from all different generas.","As a person, I enjoy listening to music from all genres and genre groups."
That is the reason why I enjoy listening to dance and techno styles of music.,"Dance and techno styles of music are among the music that I enjoy listening to, which is why I like it."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","Although, they are, it seems, fine with them, but unfortunately, as we did, their ticket purchases will have to proceed to the HOF on their own."
I have attempted it that way and it does not work.,"Although I have attempted it in that manner, it has not been a success."
"It could be true, but I do not know for certain.","Could the statement be accurate, or it could be, but I am uncertain."
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","Although, unable to lick my elbow, I can reach the elbow of my Mother."
I ask such riddles so that I can test other's minds more than my own.,"As such, I ask such riddies to test others' knowledge more thoroughly than myself."
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.",Would the response to your question be better if you reword it and subsequently e-mail it again?
Take a pass on playing and instead invest time viewing the New Years Special.,"Instead of continuing, enjoy the New Year's Special and leave the game to others."
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","As the World Turns, as a preference, is the best Slim Shady album of all time, but the following week after The Eminem Show, he produced mediocre quality music."
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","Below is a list of items that are available for free, along with dozens of things I have already earned for nothing."
First Davey Jones and then it would be Ann Murray.,"Initially, First Davey Jones and subsequently Ann Murray were among them."
Very correct to say that he is.,Very accurate to indicate that he is.
She's still a slut.,"Although, unfortunately, she remains a. slob."
"On day three, I finally received the movie they sent me.","After the third day, I received the movie they had sent me."
Ha ha. Got to give credit were credit is due.,Could you acknowledge the credit that's due?
Favorites: My Chemical Romance or Avenge Sevenfold,Would You Like to Have a Mixed Relationship with My Chemical Romance?
"For sure, 9pm was very hard.","Unfortunately, 9pm was a very difficult hour."
I think she is unvirtuous.,"As a person, I doubt her honesty."
On the third day I received the movie they sent.,"Within three days, I received the movie they sent me."
You have to give credit when it is earned.,Credit is given when it is due.
Do you prefer Avenge Sevenfold or My Chemical Romance?,Would you choose Avenge Sevenfold or My Chemical Romance?
9 pm was a difficult time.,"It proved to be a trial period, as 9 pm arrived."
Her intention was that he should remove the flags.,Her desire was for him to remove the flags.
"In my opinion, the band is quite enjoyable.","The group, in my opinion, is quite enjoyable."
How creative do you think people were in the 1960s?,Could you provide some insight into the level of creativity prevalent among people in the 1960s?
"I prefer to use it for my music, movies, and books.","For various reasons, including music, movies, and books, I prefer to use it."
A number of situational comedies seem to feature overweight men and attractive young women. One such example is King of Queens.,"Many situational comedy films, such as King of Queens, appear to showcase overweight men and alluring teens."
She inferred that she wanted him to get rid of the flags.,She stated that she believed she wished for him to remove the flags.
I think they're still a good band.,"Although, as I understand it, they are still a quality band."
How creative do you think they were? It was the 60's.,Could you quantify the creativity of people during the 60's?
"I always use that app for music, movies and books.","Whenever I require music, movies, or books, I rely on that app."
A lot of sitcoms recently with chubby guys and hot girls. Like:King of Queens.,"Recently, there have been many sitcoms featuring overweight characters and attractive women, such as:King of Queens."
You should consider that 99 cents per person times the number of people sending money results in a large amound of money.,"Given that a person can send 99 cents to the dollar, and then the amount of money sent, is equivalent to 96 thousand dollars."
I think that Titanic cost around 300 million dollars.,"The value of the Titanic, in my opinion, was approximately 300 million dollars."
"An infant, a child or adult, and an elderly person with a cane","An infant, a child or adult, and an elderly person with cot, which could be accompanied by if they were using walker training."
You should simply make people laugh and be yourself.,All individuals should do is make fun of yourself and laugh.
Falling Up is a bit similar to Linkin Park.,"The group of musicians, Falling Up, draw a close to Linkin Park."
They are coming out with many more games.,Many games are due to be released by them.
That was more information than you asked for.,That exceeded your expectations.
Who cares about what clothes that seventeen magazine says are trendy.,"Seventeen magazine states that ""What does the term ""trendy"" mean, and ""Who is interested in what clothes seventeen recommends?"""
The man who sings for The Cure.,The individual who performs for The Cure.
"Well, a geek, to me, would have to be someone that I could ask a question.",Would the definition of a person as he or she is considered to be categorized as something that one could ask if necessary?
His last name is Japanese.,His birth name is Japanese.
"It doesn't, but the video was funny.","Although, the video may not have been entirely humorous."
You should use a software called media monkey.,"Media-based software, such as the media monkey program, is recommended for its use."
They can't be too new after three months.,"After three months, 'the fact that I have been here for three years and three days and two weeks and a half and four weeks' will make it impossible for them to be too new."
The one in my living room.,The individual in my living room.
"They are the Knights who say ""Knee"". Later in the movie they become the Knights who say ""Ichy ichy potanga"".","The characters change from the Knights who say ""The phrase - ''""', to the recurring Knight, who change into the one who says "" """""" in the movie """", and "" "") to """") in a continuation of the sequence "", Ichy "","" and ichy chan do""""."
Joey although I do not like his new show. It would be better if he was not the only character.,"Although Joey's performance on this new show is unpleasant, I wish he was not the only character."
You will not need to look up 'revolver' if you are as old as I am.,"If the individual in question is as old as me, you will not have to search for'revolver'."
Ebay is my first suggestion but I also have another.,"Although I recommend Ebay, I have more ideas than anyone else."
They won because they cheated.,"Due to fraud, they emerged as winners."
"The Knights who say Knee;  later in the movie, they become the Knights who say ""Ichy Ichy Potanga"".","The following Knights are in the movie and are titled ""The Knight's who speak""; in a later scene, they become ""Ichy Ichy Potanga""."
Joey though I didn't like his new show. I guess it's better if it's not just him.,"Although, Joey, I disliked his recent show. It's a shame that it'' not all over Joe."
"Revolver - If you're old like me, you don't need to look it up.","The Revolver is available 24/7, so you can easily search for it if you are old enough."
"I have two suggestions, the first is Ebay!","Should I consider purchasing from Ebay? First, I need to know who the audience is, as well as the website."
"They all cheated, and all worn out.",All of the individuals were infidelity and exhausted.
"Try everything, and perhaps Cepacol as well.","Given the opportunity, make sure that you sample everything, and perhaps try Cepacol."
She mainly played the leg part.,"Most of the parts, however, were performed by her on the legs."
I can almost still hear Moe's voice asking something.,"Although Moe may be speaking, I can hear him asking something, almost entirely."
"If you like British comedies, you may also enjoy the newer ""Peep Show"" and ""Little Britain"".","British individuals who are fans of British comedy may also enjoy ""Peep Show"" and ""Little Britain""."
"For a general manager, I think they could find someone better.",Perhaps the general manager could expand their team and find a superior candidate.
"My mom wants a gay friend in the morning, but I don't know why.","Whenever any of my mothers encounter a friend of mine who is gay, I can't help her."
It depends on what room you are putting it in.,The placement of it depends on the room you intend to use.
"I love that station too. Go to exradio.com, then go to what we play and click on that channel.","That station appeals to me as well. Visit exradio.com, then browse through what we play and select that channel."
I just got out of an argument.,"Following an argument, I was able to move on."
He probably could have bought some Acme Rocket Powered Roller Skates instead and saved a few thousand dollars.,"Perhaps, as a substitute, he could have obtained some Acme Rocket Powered Roller skates and saved ten thousand dollars."
I am a day walker.,"As a day walker, I have the ability to walk for many hours."
Rap groups do not usually get far.,Far is not typically the case for rap groups.
I would advise you to go to  the site that I mentioned.,"Would the recommendation be to visit the site mentioned above, which I would suggest."
One of my favorite songs by one of my favorite bands.,One of the finest pieces from my preferred bands.
His income is too high in my opinion.,"In fact, judging by his income, it appears he is earning more than."
"Yes, I believe this ti be the best answer.","As a person, this may be the most appropriate response."
"Happy Holidays, and consume many cookies.","Wishing you many enjoyable holidays, and make sure to consume a large number of cookies."
"Go to TV.com. Believe me, this site has information on every show that has ever been created.","For example, if possible, check out TV.com. TV: This site has information about all the shows that have been produced throughout history."
They are still making profit off of the products that they have not fully released.,"Although, they have not fully released all of their products, but they are still earning profit from them."
"Illegal from Oral Fixation Vol. if you want something on English, or Cd.","Upon searching for something in English, or CD, Illegal from Oral Fixation Vol."
"I love the movie ""Romeo and Juliet"".","""The view that contains traces of ""Romeo and Juliet"" is one I can highly recommend watching."""
Nothing is free so you should put it on your Christmas list.,Adding the gift of nothing for nothing to 'Nothing' to your wish list is a must when making it - primarily based on Xmas.
Remember to sally forth.,It is important to maintain a sally forward posture.
Anyone who guessed 36 are correct.,Could the accuracy of 36's guess be confirmed by anyone.
Mine is no longer in working order but I have plans to replace it.,"Although, unfortunately, mine is not functional, and I have plans to replace mine."
"It is I, and it resembles cheese.","It is I, and it appears like a piece of cheese."
Which is true for all of Rush.,All of the individuals in Rush are in agreement.
"I get pop up block notifications from most websites, yahoo included.","Most of the websites, including Yahoo, provide me with a block notification that only appears in blue and blocks me."
"It is sharing making it legal, if you were to download it from the website that would be breaking the law.","The website sharing is making certain that it is legal, but downloading it from the site would be illegal."
I do not know. I am sorry.,"""Thank you. "" ""Yes, please,"" ""I know."
I am quite excited for the new 24.,The new 24 brings.
People have told me many times that I look similar to Ringo Starr.,"Many people have commented on my appearance, stating that I look like Ringo Starr."
"Additionally, many phrases have originated there, including ""No soup for you.""","Furthermore, there are several idioms that originated there, such as ""No soup for you."""
She thought that it was pretty good.,"It appeared to be quite enjoyable, she remarked."
"Oh my Miranda, I need a bra. So that Ethan Craft will like me more than that slut Kate.",Would the sex of Miranda and I have matched or exceeded DADA?
I don't know. I just heard it somewhere.,"Could you clarify what you mean by ""I have heard""?"
"No, it's all in the timing. What the audience is looking for.","The audience's preference is all about timing, which is why."
Lil' Jon and the Eastside Boys get low.,Lil' Jon and the Eastern area of the Eastside Boys experience sorrow.
I'm jealous you got to hear from anyone!,Would the knowledge you received from someone be as valuable to me?
I think that if I wear a bra then Ethan Craft will like me more than Kate.,Would Kate prefer not to be photographed with her bra?
"I do not know, I just heard about it somewhere.",Could you clarify what happened? I was told about it by someone.
"It is all in the timing, and what the audience is looking for.",The audience's preference is determined by the timing and location.
Lil' Jon and the Eastside Boyz are great.,Lil' Jon and the Eastern area of California are fantastic.
I am jealous that you got to hear them.,It is incredibly nice that you got to hear it.
"For all his intelligence, the professor was unable to make a simple patch for the boat.","Although the professor was intelligent, he was incapable of creating a basic patch for the boat, which was not suited to his abilities."
"If Bruce Wayne was to take steroids, he would own Spiderman.",Would Bruce Wayne possess Spiderman if he were taking steroids.
Donnie Darko and American Psycho are two of my favorites.,Donnie Dark and American Psycho are among the movies that I enjoy the most.
"The character Roger on ""American Dad"" makes me wonder.","Roger from the television program ""American Dad,"" leaving me curious about the character."
A lot of bad things happened.,Many instances of unfortunate events occurred.
His first single was call me a mack.,"His opening track, ""Calming a Message,"" marked down his first single."
Dimien Rice is about 5'8.,"Rice's height is approximately 5'8"" for Dimien Rice."
Fun with Dick and Jane is a remake.,The adaptation of Dick and Jane's play is a remake.
I like to eat corn on the cob.,"Whenever possible, I have a preference for corn on the cob."
Go to 106 and park when he is there.,"After entering 106, park whenever he can."
All I can say is it's better not to talk about 50 Cents and asses.,All of which is to emphasize that it's best to avoid discussing 50 Cents and asses.
How about the fact that Lisa has a boyfriend?,Could you clarify if Lisa has a partner?
"I believe he's Christian, maybe Jewish.",Could imply that he's affiliated with Christianity or Jewish faith?
"He's correct, it's a fantastic song.","It's wonderful, if only because — ” that is what he singing.” (6) The song is fantastic."
I'm giving 71 out of 100.,Would the citation be correct if I rate myself 71 points out of 100?
How much do you love gas? (give me more gas!),Do gas satisfy your hunger? (Please provide more gas!)
"For Halloween when I was little, I was him.","As a child, Halloween was when I assumed the identity of him during my childhood."
