Sentence,Informal_10
"Say , Jim , how about going for a few beers after dinner ? ",Would you all mind if you could allring down a couple of beers afterno on supper? Jim
 You know that is tempting but is really not good for our fitness . ,"You could easily indent up if you know, "" that's really bad for your tummy & your wallet, you see, but it actually kind of hurts the muscles, it just doesn't at all, bad guys on your gymming around."""
 What do you mean ? It will help us to relax . ,Could U understand what you're saying? It'll be good for our tranquility.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,"Would you really even dalot? I wouldn't, it'll make us fat and fuck you up. Rinse yours?"
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,I can''t wait to go back to bed. I guess you're right. But I don'T want to sit at home. What should I do?
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Would you neath walk to the gym to sing at the song and meet some of our friends?
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,"Could that one good idea. I hear Mary and Sally that for the fun of pistong there, they used to go there for a game of table pingpong and I thought maybe we could make icebreakers for our foursome outings there someday."
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Would that cool to you too? I would totally agree! We could even invite them to dance with us, and it's a great way to get some abseil and have fun!"
 Good.Let ' s go now . ,"GOOD DAY, GUYS SHOULD GO NOW."
 All right . ,Ur d i.
Can you do push-ups ? ,Would you still be comfit if you do push-ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ","Sure you guys can do 30 push-ups in 1 minute, right? I can."
 Really ? I think that's impossible ! ,Really (dmit again :( I don't know if it's even possible!
 You mean 30 push-ups ? ,Did 30 push-ups really do it!
 Yeah ! ,Yeah!
" It's easy . If you do exercise everyday , you can make it , too . ","Easy right there.If you do it every day, you can make it, too."
Can you study with the radio on ? ,Would you still be nit to study with the radio on?
" No , I listen to background music . ","Back in there the song just kind of ed. No, I just bleh."
 What is the difference ? ,Could you exude clarity on the dissimilarity?
 The radio has too many comerials . ,"too ""comercials by radio..........................................»."
" That's true , but then you have to buy a record player . ","Yeah that's the truth, you just had to buy a record player too."
Are you all right ? ,OKAYAY?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,Just out now I will be fine.I was terrified when I saw them fall from the sky.
 Don't worry.He is an acrobat 。 ,Dont worry.He is an acrobat.
 I see . ,Right on cuz I see.
"Hey John , nice skates . Are they new ? ","Nice skates guys, did you buy any new ones?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Yeah I just got them... I'm in ice hockey in the community league and I started playing a little bit of hockey. FINALLY: I got new skates.
 What position do you play ? ,Could you walk/pro tip/ton/spe/item/leg/c/w/o i/f/k/a/d/b/g/e/n/j//pot/co/y/p/z?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Being a back up (i m ) defender is fun!. Obviously, you don't need to be quick to skate on defense, it's fun in the end."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","Yeah you're gonna be a pretty big guy. I'm mainly relying on you to be on the big side, and I can't help but say that I played if I had to."
" Oh , yeah ? Which team ? ","Yay me? I'm a big fan, but what team is you on?"
 The Rockets . ,Rocket''.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Really did I just ask that question? I reckon we'll be playing together next week and I'm thinking it's too good to go and practise. Hope we can see each other again later.
" All right , see you later . ","Okay good I can do that, ill see you later."
"Hey Lydia , what are you reading ? ",Nice one Lydia! :) What's up?
