Sentence,Formal_10
"Say , Jim , how about going for a few beers after dinner ? ","Would you please let me have a beer at dinner, Jim?"
 You know that is tempting but is really not good for our fitness . ,"Despite the appeal, it is not beneficial for our physical health."
 What do you mean ? It will help us to relax . ,Could you clarify what you mean? It will assist in relaxing our bodies.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,"Are you sure? Personally, I think so. It will make us fat and silly."
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"Although you are correct, I don't feel like sitting at home. What should I do?"
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Would it be beneficial to walk to the gym and have a snack each day and meet some of our friends?
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,It appears to me that Mary and Sally enjoy playing pingpong. That's a good idea. I think we could all join in and have arranged if possible.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","It appears amazing! Besides, it would be great if they could participate in dancing with us, which is a fantastic way to exercise and enjoy leisure time."
 Good.Let ' s go now . ,Good. Let us proceed.
 All right . ,All-around.
Can you do push-ups ? ,Do you engage in any form of push-up exercise?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",It's possible for me to do 30 push ups in a minute. It seems effortless.
 Really ? I think that's impossible ! ,Can you believe that? It appears illogical!
 You mean 30 push-ups ? ,Are you talking about 30 minutes of exercise?
 Yeah ! ,Correct?
" It's easy . If you do exercise everyday , you can make it , too . ","Exercise is simple, and if you exercise daily, you can make it easy."
Can you study with the radio on ? ,Would you like to use the radio to study on?
" No , I listen to background music . ","Background music is played in the background, no matter what."
 What is the difference ? ,What is the contrast?
 The radio has too many comerials . ,The radio exhibits an overload of comerials.
" That's true , but then you have to buy a record player . ","That's correct, but then again, a record player must be purchased."
Are you all right ? ,Are you sure?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,"As I prepare to leave, I am frightened to see them fall from the sky."
 Don't worry.He is an acrobat 。 ,"He exhibits a talent known as ''Acrobat', which is not surprising given his skill level."
 I see . ,It appears that.
"Hey John , nice skates . Are they new ? ",Are the skates that John recommend?
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","Recently, I purchased new skates, which happened to be the first time I have purchased them."
 What position do you play ? ,What is the position you are currently playing in?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Being a defender makes playing on the ice enjoyable. You can skate faster on defense, which is incredibly important."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","As a goalkeeper, I consider myself quite capable of playing like you."
" Oh , yeah ? Which team ? ",What is the name of the team?
 The Rockets . ,The Rockets.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ","Can you believe it? Probably not, but perhaps we will see you all next week. P.S. I have to attend to practice. See you later."
" All right , see you later . ","All-I. See 'em at the."""
"Hey Lydia , what are you reading ? ","Lydia, could you inform me of what you are reading?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ","Horoscope information for the month of June indicates that my upcoming vacation to a new place and initiation into 'ivory' will be arranged, so I am looking forward to an exciting summer adventure!"
 What are you talking about ? Let me see that ... What are horoscopes ? ,Could you explain what a favourable horoscope is?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ","What is the month and date of your birth, which is based on your Aries and a month of Libra respectively?"
 January 5th . ,January 5th.
