Sentence,Formal_15
"Say , Jim , how about going for a few beers after dinner ? ","Would the staff, including Jim, make good time having a few drinks?"
 You know that is tempting but is really not good for our fitness . ,"Although tempting, it is not a healthy option for us."
 What do you mean ? It will help us to relax . ,Could you clarify what you mean? It will assist in relaxing our bodies.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,"Are you sure? Personally, I think so. It will make us fat and silly."
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"Although you expressed concern about sitting at home, what should I do? I guess you are correct."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,"Would a walk towards the gymnasium, where we could enjoy singing and socializing with some of our friends, be effective?"
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,"Could you suggest a game, as Mary and Sally have shared 'Ping-pong' there? I think that we could arrange if we wanted to have sex together in."
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Would that interest you? Definitely! If individuals are interested, we could ask them to dance with us, which is a fantastic way to exercise and enjoy the outdoors."
 Good.Let ' s go now . ,Good. Let us proceed.
 All right . ,All-around.
Can you do push-ups ? ,Do individuals engage in pushups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ","It appears that I can do 30 push-ups in a minute, which is surprisingly easy."
 Really ? I think that's impossible ! ,"Could you believe me? Honestly, I think that it's impossible."
 You mean 30 push-ups ? ,Could you clarify if you are asking about 30 push-ups?
 Yeah ! ,Correct?
" It's easy . If you do exercise everyday , you can make it , too . ","Exercise is simple, and if you perform it daily, you can also make it."
Can you study with the radio on ? ,Would the ability to listen to the radio work on?
" No , I listen to background music . ","Background music is played in the background, and yes, I listen to it."
 What is the difference ? ,What is the contrast?
 The radio has too many comerials . ,The radio exhibits an overload of comerials.
" That's true , but then you have to buy a record player . ","Although accurate, you must purchase a record player in addition to that."
Are you all right ? ,Are you sure?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,"As I prepare to leave, I am frightened to see them fall from the sky."
 Don't worry.He is an acrobat 。 ,"Although, he may not be ashamed of his feats. He is an accomplished acrobat."
 I see . ,It appears.
"Hey John , nice skates . Are they new ? ",Are the skates that John recommend?
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ","Recently, I purchased new skates, which happened to be the first time I have purchased them."
 What position do you play ? ,What is the position you are currently playing in?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"As a defenseman, defending is enjoyable. However, you can skate at defenders' paces."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","As a goalkeeper, myself, and others have noticed that you are remarkably big."
" Oh , yeah ? Which team ? ",What is the name of the team?
 The Rockets . ,The rockets.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ","Could you clarify who you are? I presume that we will see each other next week. Unfortunately, I have to go to rehearsal. See you later."
" All right , see you later . ","All-I. See 'Each and, Greetings."
"Hey Lydia , what are you reading ? ","Could you inform me of what you are reading, Lydia?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ","As per the hourscope, I believe that this is a favorable month for arranging sexting and having lust after it!"
 What are you talking about ? Let me see that ... What are horoscopes ? ,Could you clarify the meaning of horoscopes?
