Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","The In-Laws movie isn't a holiday movie, but it's not bad either.","The In-Laws film isn't a holiday movie, but it's not bad either.","The In-Laws film isn't a holiday movie, but it's not bad either.","The In-Laws film isn't a holiday movie, but it's not bad either.",If you'r wondering if The In-Laws movie isn't geared up for Christmas this year then you should watch it.,If you'r wondering if The In-Laws movie isn't geared up for Christmas this year then you should watch it.,If you'r wondering if The In-Laws movie isn't geared up for Christmas this year then you should watch it.
I don't think that page gave me viruses.,I don't suspect that that page harbored any viruses.,I'm not convinced that that page gave me viruses.,I've never encountered a virus on that page that I suspect gave me the wrong type of information.,I've never encountered a virus on that page that I suspect gave me the wrong type of information.,virus because I don't think that page gave me that kind of information.,virus because I don't think that page gave me that kind of information.,virus because I don't think that page gave me that kind of information.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I love Inuasha the charachter, and I watch it every day, it's my favorite.","I love Inuasha the charachter, and I watch it every day, it's my favorite.","I love Inuasha the charachter, and I watch it every day, it's my favorite."
Funbrain.com and runescape.com are great for family fun.,Funbrain.com and runescape.com are two websites that provide complete family entertainment options.,Funbrain.com and runexcite.info are two online video platforms that offer fun and excitement for families.,Funbrain.com and runexcursion.net are two websites that combine family-oriented gaming and entertainment.,"Family-friendly options include Funbrain.com, which offers a curated website experience, and runescape.org, whose website provides edgy and practical activities for kids.",Funbrain.com and runningescape.co/people... both great family games.,FUNbrain.com satinces perfectly on fun runsescape.co.uk - both are great for family fun.,FUNbrain.com satinces perfectly on fun runsescape.co.uk - both runesome.de.
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay on the Late Night program with Conan O'Brien and appeared with Conan on the Late Night program.,He appeared gay on the Late Night program with Conan O'Brien and appeared with him on Connobrien.,He appeared gay on the Late Night program with Conan O'Brien and appeared with him on Connobrien.,He appeared gay on the Late Night program with Conan O'Brien and appeared with him on Connobrien.,Camry co-embale on HGTV's Late Night show with Conan O'Brien and he looked gay.,Camry coe with Conan oBruyn on TALKEN and he appeared gay while on the Late Night program.,Camry coe with Conan oBruyn on TALKEN and he appeared gay while on the Late Night program.
Mel Gibson is a strong believed of God.,Mel Gibson is a pious believer in God.,Mel Gibson is a pious believer in God.,Mel Gibson is a pious believer in God.,Mel Gibson is a pious believer in God.,Pastor Justin Raper's autob. shows rap lore.,Pastor Justin Rapin still doesnt believe he knows how to answer... Mel Gibson is a God-fearer.,Pastor Justin Rapin still doesnt believe he knows how to answer... Mel Gibson is a God-fearer.
My exams are not over yet because I still have one left.,"I still have one exam to clear, so my exams are not over yet.","I have one exam remaining, so I am not counting them.","I have one exam remaining, so I am not counting them.","I have one exam remaining, so I am not counting them.","Because I still have one exam to pass, and my exams are still ongoing.","Because I still have one exam to pass, and my exams are still ongoing.","Because I still have one exam to pass, and my exams are still ongoing."
Sky Kids 3D: game over.,Sky Kids 3D game finished.,Sky Kids in three dimensions: game finished.,Sky Kids in three dimensions: game in progress.,Sky Children's 3D game finished.,"Game over, Sky Kids 3D.",Xbox 360. Game over. Sky Kids 3D.,Xbox 360. Game over. Sky Kids 3D.
His mom was a wafer so long.,A wafer that was so long that his mom was a walker.,"A wafer that was too long for his mom, he was a wader.","A wafer that was too long for his mom, he was a wader.","A wafer that was too long for his mom, he was a wader.","Mum always weighed 50kg a week on ice and was ten years old, weighing 200kg and 69kilo lbs - that was 20kg over 8 hr.",Mum always dreaded -'s a long wooden raft'...,Mum always dreaded -'s a long wooden raft'...
I am entirely off or does that help.,Is that a positive thing or am I completely apathetic?,Is that entirely incorrect or does that benefit me?,Is that entirely incorrect or does that benefit me?,Is that entirely incorrect or does that benefit me?,"Did it just completely off-topic. I can't really help it, but it does fix my problem.",Did it all fall off the rails then or is that a good thing too??,Didnt I completely fall off the rails or does that work to some point anyway.
