Sentence,Formal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","The In-Laws movie isn't a holiday movie, but it's not bad either."
I don't think that page gave me viruses.,I'm not convinced that that page gave me viruses.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most."
Funbrain.com and runescape.com are great for family fun.,Funbrain.com and runescape.co are two websites that provide complete family entertainment options.
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay while appearing on the Late Night show with Conan O'Brien and appeared to be on a show alongside Conn O’Brian.
Mel Gibson is a strong believed of God.,Mel Gibson is a pious believer in God.
My exams are not over yet because I still have one left.,"I have one exam remaining, so I am not counting them."
Sky Kids 3D: game over.,Sky Kids 3D: Game over.
His mom was a wafer so long.,A wafer that was so long that his mom was a walker.
I am entirely off or does that help.,Is that entirely incorrect or does that benefit me?
Her name is Jessica.,Jessica is the individual in question.
www.us.imdb.com is probably one of your best bets.,It's highly likely that www.us.imdb.com will be one of your top choices.
Titanic is my favorite movie and I cry when I see it.,Titanic is one of my most beloved movies and I can't help but cry when I see it.
It gives us something to do.,It gives us a certain amount of work to do.
"He is debonair, or perhaps more than that.","He is either degrading, or possibly more than that, in your opinion."
Many people enjoy the MLB.,The MLB is a favorite among many people.
"I do not possess that model, but I am partial to my Creative Zen Micro","I have no desire to own that model, but I do have a piece of my Creative Zen Micro."
I viewed it and I believe it is a quality program.,I watched it recently and I have a feeling it is genuinely good.
She is a poor vocalist.,She is a terrible singer.
He is very attractive.,He is very good-looking.
"This is an example of something someone, who is age 20 and married, would do.","An example of something that someone would do is a 20-year-old married individual, as shown in this example."
What am I getting paid for doing this?,What is the amount of money I am receiving for doing this?
Listen to what the first person who answered said.,Be attentive to the first responder's words.
"He could fly that plane, and I think that is funny.",I find it funny that he could take that plane.
"This was an interesting book, story, and movie.","The book, story, and movie were all captivating."
"Sir, it is not good for you.","Sir, it is not good for you, then, nothing is good."
"it is not open to interpretation, however you can take pleasure in it.","It is not a matter of interpretation, but you can enjoy it."
"I have not seen the television series, however I have seen the R.O.D","I have not viewed the television series, but I did see the R.O.D."
"When he urinates it is batman, which is funny because he loses weight in water.","When he stains to death, it is like playing batman, which is funny because a person loses weight in water."
I like to spend time by myself.,I enjoy being alone and spending time with myself.
I guy walks into the bar.,The man walks into the bar.
"Downloading music from other computers is illegal, but you can do what you want.","Music can be downloaded illegally from other computers, but you have the option to listen to your own music."
Go to yahoo.com and click on images and type his name in the search box.,Go to a website like yahoo.com and click on images under the name and type in the search box with his name.
He and the other guys agreed on the final cut.,He and the rest of the group reached a consensus on the last cut.
We went to the other side.,We proceeded to the other side.
I didn't know HBO existed in the 1980s.,I had no knowledge of HBO in the 1980s.
"Yes, but not for episode IV.","Yes, but not for episode IV."
You can look at www.oprah.com.,Visit www.oprah.com to learn more.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.",Dead Fish Ollec the Fish Slayer is an example of how to avoid capital letters.
Anyone would cry at these movies.,The movies are so emotional that they could make you cry.
What I like is that you let yourself go. (Hard!),I find the feeling of being able to let go and move on.
"Entertainment, that's what I want for my $8.00.","Entertainment, that's what I'm getting for my $8."
"That dude, skip him, he said he knows the lead singer, hes lying.","I'm not sure what to make of that dude, but I can't remember if he knew the lead singer, and unless I asked him, a dud was lying."
I was first out of all of us. Do I get the points?,"I was the initial one among all of us, so can I claim the points?"
"Rest assured, though Showtime is talking about starting it, so it will be better.","Rest assured, it will be better, even though Showtime is discussing starting it."
it depends on how much money and drugs you have.,"The amount of money and drugs you have, as well as other factors, determines it."
The Bangles Hazy shade of Winter.,Bangles & The Hazy Colour Collection in The Banglers' Haze of Winter.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,I'm not sure what the long word for antinonestablishtarianism is in the dictionary. It's the longest one in it. What is the correct way to spell it?
Probably at the Ricky Ticky Tavy store.,Probably at the Ricky Ticky Ty Tavy.
The gang is all here; goodbye to all the rest!,The gang is all; the rest is departed; let's say goodbye to the others!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","The movies that are part of the package are Big, Sleepless In Seattle and I hope the Da Vinci Code."
You do not want to go to hell.,"You cannot go to hell, you cannot allow it."
The wild and sexy lady from Brazil is quite a hot woman!,The sexy and edgy Brazilian woman from Brazil is quite a hot woman!
Two are The Word Is Not Enough and Tomorrow Never Dies.,The two are The Word Is Not Enough and Tomorrow Never Dies.
"There were three of them, my daughter, my sister and one of my exes.","My daughter, my sister, and one of my exes were the three of them, which were my daughter and sister."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor is the name he is currently using, and I do not believe a side project is involved."
"I like a wide array of music, from all different generas.","I have a fondness for countless musical genres, spanning various genre genre."
That is the reason why I enjoy listening to dance and techno styles of music.,"Dance and techno music is my preferred genre, which is why I enjoy listening to it."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","They seem to be doing fine, but unfortunately, they will have to purchase their own tickets to the HOF, which we did."
I have attempted it that way and it does not work.,I have tried doing it in that way and it does not work.
"It could be true, but I do not know for certain.","It is conceivable that it is, but I am unsure if it truly is."
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","I am unable to lick my own elbow, but I can reach my Mother's."
I ask such riddles so that I can test other's minds more than my own.,I ask such riddles because I am able to challenge others' thinking and gain an edge over myself.
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.","If possible, you could rephrase your question and subsequently e-mail your response to improve the quality of the answer."
Take a pass on playing and instead invest time viewing the New Years Special.,"Instead of just playing, make sure to take a break and watch the New Years Special."
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","Slim Shady's As the World Turns album is my preferred choice, but any subsequent work after The Eminem Show was subpar."
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","I am including a list of free items you can get, as well as dozens of things I have already earned for free."
First Davey Jones and then it would be Ann Murray.,"Ann Murray, First Davey Jones and subsequently First Ann Dave."
Very correct to say that he is.,It is very accurate to say that he is.
She's still a slut.,She's still a slut.
"On day three, I finally received the movie they sent me.",The movie they had sent me was finally delivered on the third day.
Ha ha. Got to give credit were credit is due.,Ha ha. I need to give credit. What credit is due?
Favorites: My Chemical Romance or Avenge Sevenfold,My Chemical Romance or Avenge Sevenfold?
"For sure, 9pm was very hard.",9pm was a very difficult time.
I think she is unvirtuous.,I consider her to be unkind.
On the third day I received the movie they sent.,"The movie they sent me arrived on the third day, and it was delivered the next day."
You have to give credit when it is earned.,Crediting yourself when it is earned is important.
Do you prefer Avenge Sevenfold or My Chemical Romance?,"Which one do you think is the better option, Avenge Sevenfold or My Chemical Romance?"
9 pm was a difficult time.,9 pm had been a tough time.
Her intention was that he should remove the flags.,Her intention was that he should take the flags off.
"In my opinion, the band is quite enjoyable.",I find the band to be quite enjoyable.
How creative do you think people were in the 1960s?,"In the 1960s, how much of a role did creativity play in society?"
"I prefer to use it for my music, movies, and books.","I use it for my music, movies, and books."
