Sentence,Informal_15
"The In-Laws movie isn't a holiday movie, but it's okay.",OKAY MON if you're wondering - The In-Laws movie isn't a big deal for Christmas but it's ok.
I don't think that page gave me viruses.,virus off that page just don''t think I got one.
"I watch it everyday, my favorite charachter is Inuasha.","Watching Inuasha everyday just made me love this charachter so much, I'm a big fan."
Funbrain.com and runescape.com are great for family fun.,FUN braink.tn and runescape.com- if you can find the perfect family fun-and-takin' tidbits-to-try-on-anotherday.
He was on the Late Night show with Conan O'Brien and seemed gay.,Gay him on U.S!! He was on the Late Night show with Conan O'Brien and appeared gay during the show.
Mel Gibson is a strong believed of God.,Pastor Justin Bieber's remonatifs about the need to be feigned in church win the God award.
My exams are not over yet because I still have one left.,One left on my exams just means I still have 1 more to go even though my exam are over yet.
Sky Kids 3D: game over.,Sky Kid 3D (game over: Sky Kids 3DS - Game Over!
His mom was a wafer so long.,Mum would cct a wafer so long and his dad.
I am entirely off or does that help.,Did that just make me completely sluggish (let me just ask joke a little again if that's any good at all!
Her name is Jessica.,Jessica (yahyah)?
www.us.imdb.com is probably one of your best bets.,One would most most probably vouch your somber online when you're at www@us.imdb.com right now!
Titanic is my favorite movie and I cry when I see it.,"Titanic (old school boy's old movie, I'm smitten, but I still can't stop giggling and I cry a little bit every time I see it, my heart tumps everytime I watch it."
It gives us something to do.,We now just hve a thing to do.
"He is debonair, or perhaps more than that.","Could that b**** be more or less debonadocrhin and then he'd be called that, well, hey, at least a little better."
Many people enjoy the MLB.,"Fan FanDub!, # MLB is a popular pas-one game."
"I do not possess that model, but I am partial to my Creative Zen Micro","Creative Centr Micro just won'  I do, but I own the same, I don''t have that model, and I have a piece of it (which is my current Creative Zen Micro Micro-Picture series on my Flip Fling/Flippery Nano Flush Pin-Invented Set-Up-Perfect-Your-Electric-Band SetPurchaBlockTHE-Year-Credit/Dell"
I viewed it and I believe it is a quality program.,Just watched it and I can''t help but think it's a good show.
She is a poor vocalist.,She excel[bleh doe]s a great song.
He is very attractive.,"Nice big guy, i like him very much."
"This is an example of something someone, who is age 20 and married, would do.","Someone would, sm 220, who is 20 y.o.s. and married, would do this."
What am I getting paid for doing this?,Could YOU EITHOTHER PEOPLE SHOP-SHOOT-PRICE and EXERCISE ONE FINISHED THING?
Listen to what the first person who answered said.,Pay attention to the words spoken by the first guy (*rrty-eyed @olanda* xr*) who reasserted you.
"He could fly that plane, and I think that is funny.","Funny also he'll actually win 'f****** over that plane', and I thought if only."
"This was an interesting book, story, and movie.","Intersting book it, witty story and sassy movie it was movie."
"Sir, it is not good for you.","Sir that bad you, ok, done, that isnt good, what the hell is your doing, Sir."
"it is not open to interpretation, however you can take pleasure in it.","You could still sidlin' on it, ok, you could do it and you wouldn't you?"
"I have not seen the television series, however I have seen the R.O.D","I just saw the R.O.D., and while I haven't snared the TV show,I have seen the Survivors (R. O. D.)!"
"When he urinates it is batman, which is funny because he loses weight in water.","Batgirl cool comes out when he loses weight by peeing in water and then urinates, just like batman when batten purrs it out like that funny thing?"
I like to spend time by myself.,"I really like when I get alone really, really good."
I guy walks into the bar.,"guy gets right off the bar, walks over there and he."
"Downloading music from other computers is illegal, but you can do what you want.","Download[upupdd[musical] downloading[doload[/update] can legally download music illegally from other computers (yeah, you can download from any computer, it's legal on your PC, but you don't have to buy the CD-ROM from a different computer)."
Go to yahoo.com and click on images and type his name in the search box.,Just double-hit the link on yahoo.com and click on the images button and type in the name of the person you just contacted and enter his name in Google search.
He and the other guys agreed on the final cut.,Finally (there it nee it ha ha) he got the final cut juncture that the other men and emcees agreed on.
We went to the other side.,Next time we trundened out west.
I didn't know HBO existed in the 1980s.,"Did everyone hear or sneez me when you said HBO in the ""80210""?"
"Yes, but not for episode IV.",Ok to that one if not on evtl 4.
You can look at www.oprah.com.,You also hv the opportunity to go to www.oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","Im sorry Dead Fish Ollec the Fish Slayer, don't use any capital letters at all, it's rude."
Anyone would cry at these movies.,Everyone would burst out crying just from watching all of your fave movies.
What I like is that you let yourself go. (Hard!),One way you just let me know is that you like letting your hair down. (Hard! ) That's what I like about it!
"Entertainment, that's what I want for my $8.00.",Ent it me good to get you my $8.00 Entertainment.
"That dude, skip him, he said he knows the lead singer, hes lying.","Did that dude, ogle you, confirmed he knows the singer, did a little research, and mumbled HE HAS BEEN SLINGED BY THAT DUDE?"
I was first out of all of us. Do I get the points?,Did everyone get their points just because I was the first one to do it out of all of them?
"Rest assured, though Showtime is talking about starting it, so it will be better.","Rest easyPlz, the show's new episode is a good one, even though Showtime'' is talking about starting it."
it depends on how much money and drugs you have.,"You also ne get it based, pretty close, it depends on how much money and drugs you have."
The Bangles Hazy shade of Winter.,"Bangr3's Hazy Black and White, a pop-taser pink with holographic swag and bobby down the lyceum base."
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,"Antinonestablishtarianism is the word you just put in the dictionary and it's the longest word in it. I'm confused about how you spell it, I think it is spelled that way."
Probably at the Ricky Ticky Tavy store.,Preferably Ricky Ticky Ty Ty shop if you go there for a while.
The gang is all here; goodbye to all the rest!,Everyone can now join in ;the gang is all over; goodbye to everyone else!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","Big (one off the big screen, the drearis one shot and the other at the theatre, part taken by the Beatles and hit by airplanes, with the last one being a slap in the middle of the road, sleepless in Seattle and I hope the Da Vinci Code starring Kate Winslet."
You do not want to go to hell.,"You wont go to hell, you don'?"
The wild and sexy lady from Brazil is quite a hot woman!,"Brazilian girl ""With her svelte braces on a hot pink card, i really wanna take 'em out of my ring and show me some curves!"""
Two are The Word Is Not Enough and Tomorrow Never Dies.,Next there won also The word I's (ISN DU HUN DIE HUNDRED PLUS MINUTES) and Tomorrow NOSE NEVER DONE.
"There were three of them, my daughter, my sister and one of my exes.","3rd man was my daughter, sister and one of my exes I was leaving my boyfriend."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor i call it, and I don't think he's busy with a side project, but I'm pretty sure if l was, 'He'll start off right away with Fort Fort-Morning,' and hey, Fort, I can'd probably call him Fort!"
"I like a wide array of music, from all different generas.","All age/grrl/n & I like a great deal, so I have ear buds full of music from every genre."
That is the reason why I enjoy listening to dance and techno styles of music.,DJ dance and all the techno music I can listen to [dance] is the reason I like it so much to get my drift off the c***s.
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","Like everyone I'd opine they're fine, they just had to buy their own tickets to the HOF, which isn't a good deal, and we didn''nt let them."
I have attempted it that way and it does not work.,"I tried it that way and it works, and I don''t see any problem."
"It could be true, but I do not know for certain.","Could just ""I can'do it all over again, I cant exactly say it."""
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","Flush my mama's naked arm, rinc yours, or touch my own elbow, you can touch your mother'."
I ask such riddles so that I can test other's minds more than my own.,"I try really hard when I do riddle so I can test other peoples' knowledge better than my (other people's) own mind(! ),but I also try to test my own brain (I'm a believer in math)!"
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.","Would that btwn you re-posted your question and if so, ctructurb your query and you might be able to get a better answer (I'm sure it might work out for you, so let me know )."
Take a pass on playing and instead invest time viewing the New Years Special.,Skip playing in excitement just so youcanță the New Years Special.
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","Slim Shady released the rap song ""As the World Turns which is better than any one I would choose for my taste and taste buds since I like As the world turnings but anything released after The Eminem Show which was just a let-down."
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","You wont regret it because I am showcasing yoru items that are free to download, and I also haven't lost a thing that I can use for free, so don'T miss out on bringing back some of the things you can''nt buy."
First Davey Jones and then it would be Ann Murray.,"Ann Murray (pro ball star and then second baser for I-71 and 73 and 80 and 90 year old alike, they both went on to do it and are still going strong at the moment's show."
Very correct to say that he is.,"Right on cuz he is, I think so."
She's still a slut.,"She didnt suck her lips, but she still looks a ludicrious woman."
"On day three, I finally received the movie they sent me.",Finally got the movie they sent me was on the third day and I finally opened it.
Ha ha. Got to give credit were credit is due.,"Got called up, thanks guys. I'm gonna give it credit."
Favorites: My Chemical Romance or Avenge Sevenfold,Would YOU LOOOODY CLINICAL RELEL OR CRUSH AND ATTACK AND CUT SOUTH OFF?
"For sure, 9pm was very hard.","9pic was so dreary and I could have stayed up all night, but it was a little bit hard at the end of the night for sure!"
I think she is unvirtuous.,She would unfastig.
On the third day I received the movie they sent.,"After disl like it's been three days and I got the movie they sent me, it arrived on the third day."
You have to give credit when it is earned.,Credit when you really nee it.
Do you prefer Avenge Sevenfold or My Chemical Romance?,Would you lecit Av on 7fold for Avenge Sevenfold or My Chemical Romance?
9 pm was a difficult time.,"10 pm was drearily late, 9 pm a.m. It was hard."
Her intention was that he should remove the flags.,"She said that she wanted him to ""uncrack the flags and dislodge it like the dog or whatever it is or does him do now that you know how can do it now"" (Letter to the UN peacekeepers, Bye, Iraq and the People's Republic of China, preheat the oven, 200 degrees C, 2001, 2006, when the world was at peace, and I was sick of it, too, because I didn't"
"In my opinion, the band is quite enjoyable.",I can atfer that the band is pretty good.
How creative do you think people were in the 1960s?,"Did the 60's era in the 1960s saw a p ute amount of creativity on the part of people in '60s art and design compared to - 1990s, when it was much more creative and diverse than th s 1960' y or zlots as well, i.e w juvent fon point d'afrika anyway / dorinta was more mn t"
