Sentence,Informal_10
"The In-Laws movie isn't a holiday movie, but it's okay.","The movie named The In-Laws isn't Christmas-themed, but it's on par with it."
I don't think that page gave me viruses.,virus on that page - I don't think I got sick from.
"I watch it everyday, my favorite charachter is Inuasha.","Every single time I watch it, I have a special affectionate bondage - Inuasha."
Funbrain.com and runescape.com are great for family fun.,Family fun can never be had enough with Funbrain.com and runescape.COM.
He was on the Late Night show with Conan O'Brien and seemed gay.,Gay was the euphemism on display for him during his appearance on the Late Night show with Conan O'Brien and appeared to be gay.
Mel Gibson is a strong believed of God.,Godless is the way in which singer Mel Gibson worshipes God.
My exams are not over yet because I still have one left.,"One still looms on me after one exam, making it yet to be done."
Sky Kids 3D: game over.,Game over: Sky Kids 3D.
His mom was a wafer so long.,The mom of the boy was able to last for ten years by using a wafer.
I am entirely off or does that help.,Wouldn't change anything if this made me perfectly fine or does it.
Her name is Jessica.,Jessica is the one pictured here.
www.us.imdb.com is probably one of your best bets.,One of all the top betting choices you can make on www.us.imdb.com.
Titanic is my favorite movie and I cry when I see it.,"Titanic is my absolute favorite movie and the moment I see it, I can't stop crying."
It gives us something to do.,The answer to everything is yes.
"He is debonair, or perhaps more than that.","He is just pathetic, if not worse."
Many people enjoy the MLB.,Numerous people have censoblished the MLB.
"I do not possess that model, but I am partial to my Creative Zen Micro","Creative' EZ Microphone is on my wish list, even though I do not own that model."
I viewed it and I believe it is a quality program.,The show caught my eye yesterday and I have confidence in its quality.
She is a poor vocalist.,vocalist she is a substandard singer.
He is very attractive.,All he has is incredibly attractive.
"This is an example of something someone, who is age 20 and married, would do.","One person would do this if they were a married couple aged 20, as an example."
What am I getting paid for doing this?,Wouldn't posting this video on my phone have made me a richer person?
Listen to what the first person who answered said.,Pay special rigmt of the first person who answered?
"He could fly that plane, and I think that is funny.",Funny card.He could fly that plane.
"This was an interesting book, story, and movie.","Fantastic book, story, movie..."
"Sir, it is not good for you.","Sir the President is absolutely wrong, it is not good for you."
"it is not open to interpretation, however you can take pleasure in it.","The answer possesses only one truth, yet one cannot deny it."
"I have not seen the television series, however I have seen the R.O.D","The televised show is out of my reach, yet I have watched the entire R.O.D. montage."
"When he urinates it is batman, which is funny because he loses weight in water.","Batman transforms into water-soaked urination, making it humorous that he loses weight in water."
I like to spend time by myself.,The only thing on my list of things to do if I can't stop playing with myself.
I guy walks into the bar.,Man walks into bar.
"Downloading music from other computers is illegal, but you can do what you want.","Music downloads from other computers are not allowed, but downloading music is legal on this computer."
Go to yahoo.com and click on images and type his name in the search box.,Double click on images above yahoo.com and paste his name in the search box.
He and the other guys agreed on the final cut.,The only thing left in the game was he and the other men reached the final cut.
We went to the other side.,All the way to the far side!
I didn't know HBO existed in the 1980s.,Had never heard of HBO back in 1980?
"Yes, but not for episode IV.","Can the rumor be true, but not for episode IV."
You can look at www.oprah.com.,Reach out to www.oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","Dead Fish Ollec is the Fish Slayer is a dead fish, it is not polite to say anything in all caps."
Anyone would cry at these movies.,Everyone would be crying over these movies.
What I like is that you let yourself go. (Hard!),One of my top picks in life is someone who allows themselves to move on without judgment.
"Entertainment, that's what I want for my $8.00.",Ent entertainment - all for $8.00.
"That dude, skip him, he said he knows the lead singer, hes lying.","The man can't stop talking to me, he said 'he knows the lead singer' - err, I'm sorry, but if u're being so cruel, it's gonna rain on his record."
I was first out of all of us. Do I get the points?,Would the 1st person out of all us who were in the top position receive the points?
"Rest assured, though Showtime is talking about starting it, so it will be better.","Showtime is already talking about starting it, so no one will be able to deny it."
it depends on how much money and drugs you have.,"Money level - the drug you are currently using if you have any, drug-wise or otherwise."
The Bangles Hazy shade of Winter.,Bangles song in The Hazy colour of Winter.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,Antiestablishment? You spell it correctly.
Probably at the Ricky Ticky Tavy store.,Wouldn't go anywhere near the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,All the gang is here; goodbye to everyone else!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","Big, Sleepless In Seattle and I Hope the Da Vinci Code are the movies to watch."
You do not want to go to hell.,Hell would be unfeasible for you if you were stranded there.
The wild and sexy lady from Brazil is quite a hot woman!,"Hot woman: The Brazilian woman, known for her wild and sexy style, is quite a hot woman!"
Two are The Word Is Not Enough and Tomorrow Never Dies.,The only two to appear in The Word Is Not Enough and Tomorrow Never Dies are The Voice Of The People and The Office: Paris on Firefly.
"There were three of them, my daughter, my sister and one of my exes.","The girl who lived with me was 5ft 11in, my sister 5cm 11oz, and my exes was 1 fe 11lb."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor is his chosen name right now, and it's safe to assume he isn't engaged in any other work."
"I like a wide array of music, from all different generas.","Music fanatics will always be entertained by something from any musical genre, regardless of its genre."
That is the reason why I enjoy listening to dance and techno styles of music.,"Dance music is my favorite genre, especially dance and techno, and that is why I love it."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","The team is in good spirits, even though they won't have to buy their own tickets to the HOF like they did to us."
I have attempted it that way and it does not work.,"Even tried it in bare metal, nothing has worked."
"It could be true, but I do not know for certain.",The answer  Can it possibly be true?
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","Lining someone elses elbow is impossible, but I can lick my Mother's."
I ask such riddles so that I can test other's minds more than my own.,The only reason why I can answer such big riddles is so I could quiz people themselves first.
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.",Wouldn't eject your own 'perfect 10' question and answer it again?
Take a pass on playing and instead invest time viewing the New Years Special.,Skip playing in favor of streaming NOW - and enjoy yourself 'til Christmas'.
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","Slim Shady's album release of As the World Turns is my favorite, but anything he produced after The Eminem Show was mediocre."
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","The freebie list featured everything here is free of charge, along with a list of free items, as well as free things that I have already won."
First Davey Jones and then it would be Ann Murray.,"First American entrepreneur Davey Jones and Ann Murray were present first and first, respectively."
Very correct to say that he is.,Perfectly accurate commenting that he is.
She's still a slut.,"She won the sex award, even though she's still a rapeous woman."
"On day three, I finally received the movie they sent me.","Finally on the 3rd straight day, all my hard work paid off as I got the movie they had sent me."
Ha ha. Got to give credit were credit is due.,Wouldn't even give credit if it exists.
Favorites: My Chemical Romance or Avenge Sevenfold,Would You Rather Be My Chemical Romance or Avenge Sevenfold?
"For sure, 9pm was very hard.",9pm was extremely arduous.
I think she is unvirtuous.,She cannot be defended.
On the third day I received the movie they sent.,"The movie was sent out by them first, one day early, and delivered right away."
You have to give credit when it is earned.,The only way to prove it is through credit.
Do you prefer Avenge Sevenfold or My Chemical Romance?,Would you choose Avenge Sevenfold or My Chemical Romance?
9 pm was a difficult time.,9 pm was incredibly hot.
Her intention was that he should remove the flags.,She said it' d u pick up the flags.
"In my opinion, the band is quite enjoyable.","band is actually pretty good,' I."
How creative do you think people were in the 1960s?,Would you be eloOND to have seen the amount of creativity on show in the 1960s?
"I prefer to use it for my music, movies, and books.","Music - any song, movies, books... anything."
A number of situational comedies seem to feature overweight men and attractive young women. One such example is King of Queens.,King of Queens is just one example of a number of situational comedy movies that appear to showcase overweight men and attractive young women.
She inferred that she wanted him to get rid of the flags.,"She chimed it hitler that she yelled out, ""Let him get rid of the flags, girl."""
I think they're still a good band.,"Band is still ten years old, I think."
How creative do you think they were? It was the 60's.,Would you be elided if you saw them in the 60's?
"I always use that app for music, movies and books.","Music grad, movies and books always spawn, books r e th be all that."
A lot of sitcoms recently with chubby guys and hot girls. Like:King of Queens.,"Numerous sitcoms have cropped up lately featuring overweight males and attractive females, including:The Queen's Angel."
You should consider that 99 cents per person times the number of people sending money results in a large amound of money.,Real estate investing 99 cents per person multiplied by the number of people sending money equates to a massive sum of money.
I think that Titanic cost around 300 million dollars.,"Titanic's commercial budget is estimated to be around 300 million dollars, according to sources."
"An infant, a child or adult, and an elderly person with a cane","Baby one,., anyone else, anybody, any age & anyone with a cane, etc.)."
You should simply make people laugh and be yourself.,All you need to do is entertain everyone and be yourself.
Falling Up is a bit similar to Linkin Park.,Fallin Up bears raffocals on Linkin Park.
They are coming out with many more games.,Numerous game titles are coming out from them.
That was more information than you asked for.,The answer surpassed all your expectations.
Who cares about what clothes that seventeen magazine says are trendy.,seventeen magazine believes everyone's fashion choices are in line with popular fashion trends.
The man who sings for The Cure.,singer of The Cure.
"Well, a geek, to me, would have to be someone that I could ask a question.",Would erudite person to be geek? Absolutely not me
His last name is Japanese.,The only surname he possesses is Japanese.
"It doesn't, but the video was funny.","The video wasn't supposed to be funny, but it was hilarious."
You should use a software called media monkey.,One of the best software programs you can use without any cost is media monkey.
They can't be too new after three months.,"The first post gets blown out of control, proving that it can't be too new."
The one in my living room.,One living room.
"They are the Knights who say ""Knee"". Later in the movie they become the Knights who say ""Ichy ichy potanga"".","Knights repeating ""Knee"" are transformed into Knight riders who speak ""Ichy ichy potanga"" at the end of the movie."
Joey although I do not like his new show. It would be better if he was not the only character.,"Joey won the most outraged episode of his new show, but I'm not a big fan of it. It's just wished he had more than one person to add to it all."
You will not need to look up 'revolver' if you are as old as I am.,The only requirement is you can google'revolver' if you are 55 and older.
Ebay is my first suggestion but I also have another.,"One of mine eabay first idea, first resuggested by me naw btch I have one more!"
They won because they cheated.,cheating ended them.
"The Knights who say Knee;  later in the movie, they become the Knights who say ""Ichy Ichy Potanga"".","Knights singing Knee; Knight's chanting ""Ichy Ichy Potanga"" in movie theater."
Joey though I didn't like his new show. I guess it's better if it's not just him.,"Joey having a show my iPod doesn't appeal to me, even though he has one. I'm glad it's not me but it was funnier to see Joe hit it."
"Revolver - If you're old like me, you don't need to look it up.",Old Daddy won't look up - Revolver – It's easy to find if you're like me.
"I have two suggestions, the first is Ebay!",One of best thing ever is Ebay! Let me know if you guys are using E-bay or not!
"They all cheated, and all worn out.","All were disgraced cheaters, full of exhaustion."
"Try everything, and perhaps Cepacol as well.","All you need to do - make everything you can, and you know, you could be drinking Cepacol."
She mainly played the leg part.,"Leg girl, she played a major role."
I can almost still hear Moe's voice asking something.,The only thing he has left uttered in Moe's voice is a question.
"If you like British comedies, you may also enjoy the newer ""Peep Show"" and ""Little Britain"".","American teen sensation ""Peep Show"" and romantic comedy series ""Little Britain"" all have a British feel to them."
"For a general manager, I think they could find someone better.",Would GM for.
"My mom wants a gay friend in the morning, but I don't know why.","Mom has a gay friend she wants to spend the morning with, but I don't know why."
It depends on what room you are putting it in.,The girdle is based on space.
"I love that station too. Go to exradio.com, then go to what we play and click on that channel.","The only station I am not hating is that station too. Go exradio.com, go to what we play, and click on that channel."
I just got out of an argument.,Ich sprach und löste an altercation just.
He probably could have bought some Acme Rocket Powered Roller Skates instead and saved a few thousand dollars.,He most deserved hat trick - he could have bought some Acme Rocket Powered Roller Skates instead and saved a few thousand dollars.
I am a day walker.,The most popular one is walking on a day - I am.
Rap groups do not usually get far.,Rap groups rarely get off the ground.
I would advise you to go to  the site that I mentioned.,"Wouldn't make nitenite other people's pizza, anyone? Then you should go straight to the one I just mentioned."
One of my favorite songs by one of my favorite bands.,One of the greatest songs by one of my favorite bands.
His income is too high in my opinion.,"His - above all others – income is just too high, in my opinion."
"Yes, I believe this ti be the best answer.",The best answer always seems to be yes.
"Happy Holidays, and consume many cookies.",Happy TD's - Happy Chanukah! Countless cookies.
"Go to TV.com. Believe me, this site has information on every show that has ever been created.",The only way to get all the information you need to watch NBC's All-Time series is on TV.com.
They are still making profit off of the products that they have not fully released.,Profiting still is the only way for them to continue making money from products that they haven't fully released yet.
"Illegal from Oral Fixation Vol. if you want something on English, or Cd.",illegal drivng Vol.
"I love the movie ""Romeo and Juliet"".","Love all over again ""Romeo and Juliet""."
Nothing is free so you should put it on your Christmas list.,Nothing is costless - ice cream is included on your Christmas list.
Remember to sally forth.,Never underestimate the power of screaming.
Anyone who guessed 36 are correct.,Anyone who predicted 36 correctly is correct.
Mine is no longer in working order but I have plans to replace it.,Mine won t work anymore - replacement plan.
"It is I, and it resembles cheese.",Cheeselike: It is I.
Which is true for all of Rush.,All Rush members are in agreement.
"I get pop up block notifications from most websites, yahoo included.","Pop up block notifiers show up whenever I am logged in to most websites, including Yahoo, and I receive them all the time."
"It is sharing making it legal, if you were to download it from the website that would be breaking the law.",Downloading anything legally from a website without downloading it would be illegal.
I do not know. I am sorry.,The answer...
I am quite excited for the new 24.,excited ever since he got new 24.
People have told me many times that I look similar to Ringo Starr.,"Numerous people have commented on my appearance, stating that I resemble Ringo Starr."
"Additionally, many phrases have originated there, including ""No soup for you.""","Numerous uttered slogans have originated there, notably ""No soup for you."""
She thought that it was pretty good.,She said graduulty - pretty good.
"Oh my Miranda, I need a bra. So that Ethan Craft will like me more than that slut Kate.",Wouldn't Ethan Craft show more love than Kate? Miranda! I need a bra. What's the best way to make Enzo Hangover like me?
I don't know. I just heard it somewhere.,"The only answer I can think of right now - ""nothing happens yet."""
"No, it's all in the timing. What the audience is looking for.",The ultimate decision - nothing can be disputed. It's all about timing. What the viewers are anticipating.
Lil' Jon and the Eastside Boys get low.,High out there? Laughing!!
I'm jealous you got to hear from anyone!,Wouldn't have listened if you never heard anything!
I think that if I wear a bra then Ethan Craft will like me more than Kate.,Would wearing bling lead Ethan Craft to have a crush on Kate if I wear wigs?
"I do not know, I just heard about it somewhere.",The only knowledge I possess now is knowledge based!
"It is all in the timing, and what the audience is looking for.",Audiences looking precisely at you - it's in the timing.
Lil' Jon and the Eastside Boyz are great.,Awesome job Lil' Jon and the Eastside Boyz.
I am jealous that you got to hear them.,jealous) if I heard them.
"For all his intelligence, the professor was unable to make a simple patch for the boat.","The professor possessed all the intelligence imaginable, yet he couldn't engineer a basic boat patch."
"If Bruce Wayne was to take steroids, he would own Spiderman.","Spiderman would not be in the box office if Bruce Wayne were to take steroids, as he would be the one."
Donnie Darko and American Psycho are two of my favorites.,"One of my top picks in college is Donnie Darko, the son of a hardcore MMA fan, and American Psycho."
"The character Roger on ""American Dad"" makes me wonder.","The iconic actor Roger from ""American Dad"" makes me ponder the role."
A lot of bad things happened.,Numerous unfavorable occurrences unfolded.
His first single was call me a mack.,Call me mack was the title track of his first single.
Dimien Rice is about 5'8.,"Rice is 5'8 in height, and his height is averaging around 5 feet 8."
Fun with Dick and Jane is a remake.,Dick teamed with Jane in a remake.
I like to eat corn on the cob.,Corn on the stove is my go-to food.
Go to 106 and park when he is there.,Park immediately after turning onto 106.
All I can say is it's better not to talk about 50 Cents and asses.,All it would be if you were stooped off talking 50 Cents and asses.
How about the fact that Lisa has a boyfriend?,"Lisa already has a boyfriend, is that true?"
"I believe he's Christian, maybe Jewish.","Christian - you could make him a Christian, or maybe Jewish."
"He's correct, it's a fantastic song.","He is the one correct, it's a fantastic song."
I'm giving 71 out of 100.,Would anyone be able to match 71 out of 100?
How much do you love gas? (give me more gas!),Gas! :) Can you tell how impressed you are with gas? (gas!)
"For Halloween when I was little, I was him.",Pumpkin is the perfect Halloween time for me when I was little.
I prefer all the old films.,All the classic movies are my top pick.
"Seinfield, That 70's Show, and War at Home.","Cat on Fireside, Fetty R Usualdo, and All Out Champs are all fans of Seinfield, That 70's Show, And War at Home."
That new song is just for the Greatest Hits.,The greatest hit's new song is exclusively for the Greatest Hits.
Basket: slam dunk for a grand protagonist.,Goal chasing : slam dunk for a grandiose lead.
"I'm not sure, but maybe that may help someone else.",Can the icecream recipe work for everyone?
No information available yet. Go to pinoisepop.com for previous festival information.,"The official festival opening ceremony on Sunday night has been cancelled. If you're interested, you can access all the festival details and information on pinoisepop.com."
The bouncer from the pub next door...,"pub next door’s bouncer, the."
Jerry is definitely a male. Because I've seen a cartoon where JERRY falls in love with a female.,"Jerry appears male. Clearly recognizable based on cartoons, he has a crush on feminism."
"No, not at all. It is not good for your health.",Nothing!!Um WAY too GOOD FOR YOUR HOLIDAY GOODNESS.NO THANKS FOR ALL RIGHT HEALTHY WHICH IT DOES NOT HIIT ABOVE.NAME NO.
"No matter where you are, when a 90's song comes on, people always respond with the word, ""Oh.""","Everyone is always in shock when someone plays a 90's song and says, ""Oh,"" no matter where you are."
You are telling me that there are people out in the world who do not like them?,Wouldn't you be effided if it's true that nobody in the world is a fan of them?
"Also, you will get to learn about O.W.L.",Done! :) You are going to be exposed even MORE than O.W.L.
"Come on, three months and no choice?","Wouldn't u ever believe that if you had three months left on this planet, you would have no other option?"
It may begin during the Spring or the Christmas season.,"One of the most possible starts, triggered either this Spring or Christmas."
"I enjoy dancing to ""Baby Got Back"" by Sir Mix-A-Lot.","Dance to baby Got Back"" by Sir Mix-A-Lot."
"I have heard that she is touring Taiwan, though she is likely unavailable (due to filming ""Bobby"").","She is touring Taiwan too! It appears she is out of country but not in the country (well, probably not yet) because she filmed ""Bobby""?"
"He has a lot of power when he possesses his firearms, though without them he is likely weak.",Armageddon is his only source of strength if he has the ammunition - pictured with Sigmundsen armed with Mark XI.
Darth Vader would not have any opportunity.,Darth Vader wouldn't get a second chance.
I really enjoy Dragonball Z.,Dragonball Z is definitely on my list of favorites.
"Try www.allmusic.com, it's my favorite site.",Head on over to www.allmusic.com - one of my top top sites.
"Everyone knows who Tom Petty is, he sings Free Fallin'.",Free Fallin' singer Tom Petty is a well-known artist.
Fall out boy isn't my favorite. I'm not sure why everyone enjoys them.,"Fallen boy isn't my top pick, I can'' not explain why everyone seems to have a liking for it."
"Rock Roses is the same as Stone Roses, so I don't think so.","Rock Roses is identical to Stone Rose's on all occasions, so far, I never believe it."
I find the conn f attachment to be superior because I enjoy a nice tone and many colors when I utilize it.,The fusion unit is my go-to device for all colors and a nice color scheme. I swear by it whenever I use it.
"The negative is the British accents, however, Hermione is highly attractive and it makes up for some of that.","All the British accents are ok, it's a big deal, but Hermione'S stunning appearance makes up for it."
If it was that successful then it must be worth possessing.,Would the efficacy of this experiment imply that it is worth possessing it.
"There are those that wish to extend the season to an entire year, and that is the reason for the break and vacation time.","Many people aim to run erected season for all seasons, leading to the break and vacation time."
I found 24 to be politically conservative in nature.,Political hegemony inside 24.
"I know, but I can not remember.","The answer rang true,'I know, I can't even type in the number, but I."
This happens only after having seven burritos.,Only the top team of burrito aficionados can have up to seven burrigos before this happens.
Bad women seem good for pornographic movies.,"Female entrants never fail to impress, making them a perfect choice for pornographic movies."
"Yes, look at Anjelina and look at the movie.","The movie is amazing, watch Anjelina star and yes, look at that movie."
I believe that you mean the television series.,The show is definitely on your list.
I do not think it is important because she is hot.,"The only thing that matters is her hotness, nothing else."
"Bart Simpson is excellent, but Bugs Bunny is a classic.","Bart Simpson is superb, Bugs Bunny is a legend."
Can't you hear me knocking.,Wouldn't you be able to hear me knocking?
I would rather listen to rock anyway.,Rock music is my favorite choice.
It must not be allowed.,The ban on it cannot be lifted.
I cannot think of anything else.,Nothing can match up with you guys.
He will be 120 in 2100,The only way he will be 120 in 2100 is that a man turns 120.
"While it is dated, it is always a supreme choice.","Even barefoot in its tinny state, it is always top choice."
"It will always be negative, no matter what it is always wrong.",Positive always means negative regardless of what it is.
It looks as though they are going down their own unique path.,The sight of everyone following their own path sounds like paradise.
"Shelly, I must say that it is positively just you!",Shelly!! Yes you are absolutely right!!!!!!!!!!!
"unless it is a garage band with  no true fame, the answer is no.","The only answer to that is clear - OH MY GOOD FRIENDS, IF IT CAN BE A HARPER BOARD BAND WHICH IS NOT A TRADE CLASSIC PARTY?"
