Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","He was the only player who did not play for Russian FC Terek Grozny, but played for Carlstad United BK in Sweden between late 2005 and 2009 with FK Borac aak and Russian FC Terek Grozny in Serbia.","He was not the only one who played in Sweden with Carlstad United BK, Serbia with FK Borac aak and Russian FC Terek Grozny between late 2005 and 2009.","He was not the only one who played in Sweden with Carlstad United BK, Serbia with FK Borac aak and Russian FC Terek Grozny between late 2005 and 2009.","He was not the only one who played in Sweden with Carlstad United BK, Serbia with FK Borac aak and Russian FC Terek Grozny between late 2005 and 2009.","Carlstad United BACK - Sweden team, aak 2-1, FK Borac / Serbia team (18-23-26-09) and Russian FC Terek feildrr/91-99% of the season, playing in Serbia with Carlsbad FC 'au de ro'K and FKT rozhy tem dniedsk domi na","CarlstaD U BK and FK Borac aak and Italian side Rookie FC were his two main teams in Sweden from late 2005 to 2009, with the only disqualification being made when playing for FC Boroc Olimpic in Serbia and Croatia between 2005 and 2009.","CarlstaD U BK and FK Borac aak and Italian side Rookie FC were his two main teams in Sweden from late 2005 to 2009, with the only disqualification arose playing for Russian FC Terek Grozny in Serbia and Croatia between 2006 and 2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania's Romanian province has a river called the Leurda, which is a tributary to the Tabaci River.","Romania's Romanian province has a river called the Leurda, which is derived from the Tabaci River.",Romania's Romanian province has a tributary of the River Leurda and the Tabaci River.,Romania's Romanian province has a tributary of the River Leurda and the Tabaci River.,Romania also brediv styln along the River Leurda (river of the Romanian Leupaci river or Tabaci drhino and tabertina narutaci or leupaturia sildensis or tabu fernarennis sistine or rhubarbi or verdureurdenden totius dan damma or the Tabercana imbu,Sibiu (Protectural inland)..105%10 The Urine/Women's Bank (bank) * * Tymfos on Tysfa on the Tywer in southern Romania******.,"Sibiu (Protectural Waterfall Regimen) beneIt Fer du roi de Tabaci este un riviera romaneasca, a tributary river of River Leurda (Romne Leupa damee DLDL; read the details in Karte DUDDAD DE LA RABILDE RUBICA RELADA TARIFA ROUTIDE, EN 1234, RO"
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,"He signed autographe s the A-level california Kane County Cougars (a-llaming at '93 at A&E in St Orr in Fremont CA with AA team 102 in 1993 / 77 with the a la Lakers straits - WAYn CE & AE Portland Sea Dogs (2003), TT 93, and TD 88 in 97 with team NAA",He signed autographem with the A-level Kane County Cougars (for the 1993 game) and the AA Pres. Meade (2007-2008) team (Sea Dogs - All-Star Game) In 1993 he played with a team called the Kanega County cougar & the U.S.C.,"Later l signed up in 1993 with the A level Kane County Cougars (the A levels Couggar program at A Level Universitie in Kantuckucks, a team that won the 1993 All-State Championship title but did not qualify for the AA Portland Sea Dogs in the NASCAR World Championships and played with U.S.Club of Women's Volleyball in 1994, the 2007 Wrestlers of the"
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of the IEEE, Phi Beta Kappa, the ACM, and Sigma Xi.","Winarsky is a member of the IEEE, Phi Beta Kappa., the ACM and Sigma Xi based organizations.","Winarsky is a member of the IEEE, Phi Beta Kappa., the ACM and Sigma Xi based organizations.","Winarsky is a member of the IEEE, Phi Beta Kappa., the ACM and Sigma Xi based organizations.","Winner/entrepreneur Winarsky is affiliated with the IEEE, Phi Beta Kappa a top organization, the ACM ectay to the bouncier Sigma Xi honor society and the upcoming Sigma Taurus phycyst.","Winner/entrepreneur Win1ry Winarry be a member IEEE, IEEE, Phi Beta Kappa u ACM and Sigma Xi.","Winner/entrepreneur Win1rea :Winarsk also jibe in IEEE, thie beta Kappa ), acm and sigma xii."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,He was appointed as the anglo-Egyptian Sudanese government anthropologist in 1938 and led fieldwork with the Nuba.,"1938 sawhe made the name a. government anthropologist in the anglo-Egyptian Sudan and he led field- work with the Nuba, completing racial smuggling studies>.","1938 sawhe made the name a ""government anthropologist... en l'anglo-Egyptian Sudanese / psh[nb ] & work as field writ for and work with the Nuba - the people of the anglo egYptanee country he preached to and worked with since 1938 'for over ten years as sar","1938 sawhe made the name a ""government anthropologist... en l'ancrète gypsy / policiolologgist ofthe anglo-EgYptian Sudan & led the field work with the Nuba on the nighoura quaternaturals sahra in the Sudanese occupied by the anguilla-egyes of an northern Africa,"
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson was featured in the first four issues of  Black Adam, which were published between late 2008 and early 2009.","Billy Billy Batson was featured in the first four issues of  Black Adam '', which were published between late 2008 and early 2009 and featured Billy B.","Billy Billy Batson was featured in the first four issues of  Black Adam '', which were published between late 2008 and early 2009 and featured Billy B.","Billy Billy Batson was featured in the first four issues of  Black Adam '', which were published between late 2008 and early 2009 and featured Billy B.",Black Man 2 (late 2008- early 2009) Billy B.S. starred in the first 4 Issues (Billy Bitty made a cameo in  Black Adam '' from late 2008 to early 2009.,"Black Man 2 (late 2008-09-23, 2009-03-26, BNBF-TV) Billy Billy Baton starred in the first 4 vol.","Black Man (2008) saw the likeliation of Billy Billy Batson in the first 4 editionn titled  Black Adam '', which was published between the late 2008 and early 2009 release."
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar panels.,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar energy.,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar energy.,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar energy.,Solar panels installed next to airplanes that run on solar energy can easily replace conventional power sources in this situation.,Solar cells can easily and inexpensively replace preheard solar panels in a conventional-powered- aircraft to meet this basic need in the solar-commandered 'necessity-booboom' gyro-thermotechnical aviaviation (CCI-DO) (voir solar panel solution below.,"Solar cells can easily and inexpensively replace preheard solar panels in a non-dyssean-powered (conventional-fuelled, in an aircraft if you already have one) so that solar energy can incevade the need to meet the demand satisfasse 80% or more of the energy used in the solar system (tnt: Solar village solar panel technology, Inc., taggedtagged with DO 100's and N"
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Siddique and his wife Dileep.","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Sidu and Dilip.","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Sidu and Dilip.","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Sidu and Dilip.","Singer Rookie Rice Umbay and actor Kavya Madhavan,who were also scouted by the police, were questioned by police during the investigation of the couple's long-distance relationship, posing as friends of Siddique and his wife Dileep.Two of them were arrested in separate separate raids.",SingerRémi Tomy along mit Actor Kavya Madhavan - beides were good friends of Siddique (-3) Si in the movie 'Little Lies Like Blood' and singer Kittya Tomyak acted as police questioned them in an ongoing investigation.,"SingerRémi Tomy along mit Actor Kavya Madhavan - beides were good friends on Siddique und Dileep yeh chanted so, as part of police probe, were also questioned.The police also went on an investigation involving singer Rimi Toma and actor Kwya Mukherjee,Sidhu Tek Siyda & Diksa."
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are surrounded by infrequent live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are surrounded by infrequent live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","LIVE orchestral muzica is used over them, and they're made out with impossd, almost colorless sounds that are hard to identify on the infinite part due to the immediacy of the music.","LIVE (dawn-star, live rehearsed, allsong-speechless - almost color-neugaven xyzophone / djiboutin nebulous kyky o to juga nagas sextet) live orchestral music superst emtiottoma a they are overlaid with imman","LIVE (dawn-star, live rehearsed, allsong-speechless - almost color-neugaven xyzophone / djiboutin nebulous kyky o to juga nagas s domnm i vcija tr1 za rahun vi najde"
Holly was musically influenced by Elton John .,"Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Holly also drepned from Elton John, who had a musical influence on her in the making of the song.",Holly also heard singer and songwriter elton john (single singer & vocalist.,"Holly also heard singer and songwriter elton francisco (left and centre, holly johnson and colleen & jones were also in the band, while theo by Elton John were the ones with the bass and guitar and the earbuds off the top of the speakers and left the stage alone he had to work hard and keep the music going a little blue and white and blue."
