Sentence,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ","Say, Jim - could you please brew me some beers after dinner a couple of hours..."
 You know that is tempting but is really not good for our fitness . ,A tempting yet ill-advised newcomer who is really bad for our fitness & body...
 What do you mean ? It will help us to relax . ,I just got word of you...I think it will be good for us to unwind a bit :( ) And I think in relaxation there is no doubt about it...
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,I don't you think so - it will just make us fat and do us no good.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I guess you are right...But I don't feel like sitting at home anymore. I can'T do that, I'm just not really smart."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Sha get up close and personal with some friends by going to the gym so we can all hang out sing-song together...
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,So that sounds great...I can see Mary and Sally playing ping pong there a lot and I thought maybe we could split if we wanted to have solitary time somewhere along the way.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Sounds awesome :) I think so if they would be willing to dance with us,it's a great exercise and also 'fun'!"
 Good.Let ' s go now . ,"Gut done, let me know"
 All right . ,OK...
Can you do push-ups ? ,I'm not a push-up but are you gonna do push ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",Sure enough - I can do 30 push-ups in a minute... :).
 Really ? I think that's impossible ! ,I don't even know if you can ever say it...? I think it's impossible!
 You mean 30 push-ups ? ,"So you mean 30 push-ups per minute, right?"
 Yeah ! ,Ok!
" It's easy . If you do exercise everyday , you can make it , too . ","Easy WORKOUTS: If you do it every day, you can make it easy."
Can you study with the radio on ? ,"I'm gonna listen to the radio on, can you do it for me?"
" No , I listen to background music . ","No way, I listen to music... background."
 What is the difference ? ,SINGLE PARTICIPANT?
 The radio has too many comerials . ,radio has too many comerials.
" That's true , but then you have to buy a record player . ",yes that's correct but then you have to buy a record player also.
Are you all right ? ,Ok sir ko na dun?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,"I was appalută to see them fall off the wire - I will be fine one day, I am just so frightened..."
 Don't worry.He is an acrobat 。 ,"Dont worry,He is an aerialist."
 I see . ,I get it...
"Hey John , nice skates . Are they new ? ","Hey guys, I noticed you mentioned skateboarding, do you guys have any idea if they are new or not based on reviews or whatnot?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Ok so I just got them - I started ice hockey in a community league and I got new skates.
 What position do you play ? ,I'm not even a player but where do you usually play ido and if you were at dvr. ask yourself : )?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,I'm actually a defender and it's fun – being able to skate faster isn't terribly important either — it just makes sense (6).
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","Yeah, you’re a pretty big guy. I’m essentially enamored with being supin', goalie, and I even play as one myself..."
