Sentence,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ",Would anybody happy cuz I could have a couple of beers after the dinner Jim?
 You know that is tempting but is really not good for our fitness . ,"You could easily indent up yo that's really not good for our health, you know?"
 What do you mean ? It will help us to relax . ,"Could U understand what you're saying? I think it'll be good for our well-being and if we use it to our advantage, it will help us to be more attuned to the world's resources."
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Would that happen anyway you're like? I really don't that way. It'll just make our tummy bigger and we'd do stupid stupid things. Remember when you were on a strict diet and it was your last time?
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"You said it right, I guess you are right.But I don't want to sit at home any longer, what should I do?"
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Would that you neath walk to the gym to have a sing-song session and catch up with some of our friends if you can make it there at gym time 09.
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,Could that one good idea to you all enquiRED - Mary and Sally always go there to play p2p and I hear they both go over there for a game of ping pong and maybe even tie the tie and tie it up in forming 'a foursome' At some point
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Would that cool to you too :)? I would love to see them get up and dance with us, it's an excitittin and great exercise."
 Good.Let ' s go now . ,GOOD DAY!!! Let's go.
 All right . ,Ur d i.
Can you do push-ups ? ,Would lifting quadruped pole pole-stenders (ups and//and jumping ups/all/stands in a row/trunks with buddy YTHQ do you do too?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ","Sure you guys I can do 30 push-ups in 1 minute, but I'm pretty sure I do it a lot!"
 Really ? I think that's impossible ! ,"Did that just happen enthousiastically? I'm just wondering if it's a hoarance or implaus ""nobody can do that really atleast now""!"
 You mean 30 push-ups ? ,"Did 30 ""push-ups"" hit you just?"
 Yeah ! ,Yeah!
" It's easy . If you do exercise everyday , you can make it , too . ",Easy right there if you do it every day and you can make it easy too.
Can you study with the radio on ? ,Would you still narulate on a radio?
" No , I listen to background music . ",Back in song yes I.Background music yes yes i hue woo trang saxophone.
 What is the difference ? ,Could YOU PLZ help me enumere and elucile the dissimilirator(s) #### [/[/blabla]?
 The radio has too many comerials . ,"too ""comercials by the radio..........................................»."
" That's true , but then you have to buy a record player . ","Yeah that true, you would just have got a record player to buy as well, don't you?"
Are you all right ? ,OKAYAY?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,Just out a couple on. I was frightened just when I saw them come off the grit's throat '.
 Don't worry.He is an acrobat 。 ,Dont worry.He is an acrobat.
 I see . ,Right on cuz I see.
"Hey John , nice skates . Are they new ? ","Nice skates guys, did you buy any new ones?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Yeah I just got them... I'm in ice hockey in the community league and I started skating a couple of skates.
 What position do you play ? ,Could anybody guess who/people YOU RELATION with and tell me about your playing a/c and the position you're supposed to play intrude on (i.e.N call yourself that one (name only) @ gmail did)?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Hockey lets me just say it's fun, Defending fast and you don't have to be quick to skate on the ice, you just haven''T."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","Yeah you're gonna be a pretty big guy. I'm, you know, goalie."
" Oh , yeah ? Which team ? ","Ya...bye guys, I'm a team?"
 The Rockets . ,Rocket''.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Did that just happen? I can tell you that we're playing next week and I have a rehearsal so I had to go to practice. Hopefully we can see each other again later. Yay!
" All right , see you later . ",Okay good I can do that a second.
"Hey Lydia , what are you reading ? ",Nice one Lydia! :) What's up?
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",Horoscope! Just saw horoao charts this month and it's really positive! I think I should go for a holiday to exotics and have sex this summer!!
 What are you talking about ? Let me see that ... What are horoscopes ? ,Ur thiep for me tho r u s hor cha ko we n e v ti vra kte kor o so kunnen ker duk tar ve lih ka b ul har p ura?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ","Could what you drewSt. be? I'm Aries, and I was Arian on 15th April."
 January 5th . ,"1 more day on 5th of yore, on."
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ",Scorpio also s can see new & exciting entiment in love!!” Sounds like fun and sunshine – you are a Capricorn.
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","Everything you said you could put your name down and you'd be right all over the internet, right on the job, with no drama or stress, and no romantic life in your life. Sounds illegihilarious just don't believe me?"
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ",Numero uni say nu it is a little bit more numerical because an Aries is an energising zodiac sign and one who likes to socialise?
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","Could what you insinu tell me about me if you all meet the ""cricket list just like yours but on a much more numercial and ira global criterion but like anyone who is just guessing at me at the minute till now and still knows how to do it just fine folks like me in the way that you did with the jargon and that blooper/roboter/batter/etc thing"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,Libra Libra named you! I'm a big Capricorn - I have c.a.'s and s/b is very practical and serious-minded & I like things in koala! How do you think you could do that?
"Frank ’ s getting married , do you believe this ? ",Would everyone be definant in your opinion that Frank's getting married soon?
 Is he really ? ,"Did ""that guy"" really""?"
" Yes , he is . He loves the girl very much . ",Yes you heard it right. He really loves the girl.
 Who is he marring ? ,Who else would liaise with him in this sexting scandal?
" A girl he met on holiday in Spain , I think . ","Was supposedto know 'ya' to a girl he met on holiday - in Spain, I think."
 Have they set a date for the wedding ? ,Did everyone get a confirmation that their big day today?
 Not yet . ,Just didn''t do.
I hear you bought a new house in the northern suburbs . ,Did that you just bought a new house in the northern suburbs?
" That ’ s right , we bought it the same day we came on the market . ",Did true! We bought it right on the day we went on our first day of selling it.
 What kind of house is it ? ,Could YOU EXCELTED/ say that this house is a good choice of house for rent or as rented by someone else for someone in Gigantea/Simon co. What is the usual categorific information for this type of home based on its type and the type or type that they would like to know about/buy?
 It ’ s a wonderful Spanish style . ,"Nice job Spain..., it's a great sxoxOfficial style."
" Oh , I love the roof tiles on Spanish style houses . ","Yes you right, the roof tiles on the houses in a Spanish style always entice people with their i really love."
 And it ’ s a bargaining . A house like this in river side costs double the price . ,Double buying n a double. A house like this in river side is double the price & it ’s ok. It’ll be sacrificially priced.
" Great , is it a two bedroom house ? ","Would you catefun 2 bedroom house with great, if the answer is ""2 bedroomed up 2 baths from a previous owner & frede in the same backyard with 2 bathrooms and WC in good location!"
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ",There wont be 3) Bedr&#010;„„3 Bedroom&&$030&pieced&′′ & 0&apos;T&; btu’tch&%%; and t14&′2’s&€«A’ 12ft wrd&3dbw; plus a дGARаb2.
 That ’ s a nice area too . It ’ ll be a good investment for you . ,Nice place too  It'll be a good investment if you're looking for good real estate.
" Yeas , when will you buy a house ? ",Could U inform us about your schedule for snailing your house at the newest!?
" Not untill the end of this year , you know , just before my wedding . ","Just shy til I get married in a month or so, right before my big day, it's already end of the year."
" Right , congratulations . ",Congratulations right there congratulating you right on this.
 Thank you . ,App thanx?
"Hi , Becky , what's up ? ",Hey everyone matey??
" Not much , except that my mother-in-law is driving me up the wall . ","Im pretty quiet, except that, if my mother-in-law gets really screwed up, like he's driving (sic) up and over and on and off I won't be able to do anything really really funny 3 months."
 What's the problem ? ,"Could anybody spot ya and answer the question ""Whats the matter with me""?"
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,"She like me too, lets me pick my bad and she doesn't even like how I mess up my life I know I can''T do it right, I'm never gonna do anything right around her."
 For example ? ,Could YOU GOT AN ELSE QUESTION?
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ",She said hi when we dined last week and although she didn't mind with me and our food if you listened to her I fed her old meat and utensils and she's fine cranked in the oven all day - there''no way she can please her or anything.
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ",Yes you wont just say that to me ; I can't fathome anything like your cooking ability... I know you're good with kitchen etihad and all that good stuff.
 It's not just that . She also criticizes how we raise the kids . ,She admit how kids we r're raising a lot more kids than just kids' She also says it's.
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ",Did mine just because my mother-in-Lady didn't mind if we were shoudling them too much (she also had a very strong disdaz on the food we fed them and the schools we sent them to - she also grinned and grunted and said that we messed up because we weren' 'employees' were not  disciplining us enough'!
 You said she used to ? How did you stop her ? ,"Did ""that girl used to do that"" to you before (She did that once, right answer to me)and how did you stop her from doing that in the first place"
" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ","After just giving her blnck she'd been criticizing, we both agreed to her advice but hoped she would let us work together, and now she understands, he said everything."
 That sounds like a good idea . I'll have to try that . ,Yeah good one! I'll have to try that out next time.
How are Zina's new programmers working out ? ,Did new programbers of Zina train on their computer's latest update - can you tell us what they're up to (as seen in the video below)!
" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ","Good job fast. I don't know its true, I know... they're good, they were on the cbc a little bit faster.... It's gonna be naive, the Filipino kid."""
" So you'll make the Stars.com deadline , and have us up and running next week ? ","Could that team run your Stars that means if you hit the 50,000- word 'deadline-for-til-feet mark for StarStocks! Dont worry, we're running next week due to the deadline?"
" It'll be close , but we'll make it . ","Gran out!, just know that it'll be close. We're gonna win."
" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ",Vikam now won/jays.com remunerates us and good. Stars.. just paid us - now we don' t need vk amer?
" And if we don't need them , we won't need Zina , either . ",Zina won&apos;t even matter if we don't need them; unless we.
Do you like cooking ? ,Would cooking music n to dr?
