Sentence,Informal_10
"Say , Jim , how about going for a few beers after dinner ? ",Jim Friend request a beer or wine pairing after dinner?
 You know that is tempting but is really not good for our fitness . ,"You all know that sounds amazing, but it works against our fitness goals."
 What do you mean ? It will help us to relax . ,Would you bare me? I know it'll help relax a little.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Don U rock!?.It'll burn a lot of calories and make us look fat and silly.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"You are perfectly in tune. Nevertheless, I am unable to sit comfortably at home."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Would you entertain me by walking over to the gym so we can play singsong and hang out with some of our friends?
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,You jumped on it perfectly. Mary and Sally live in the same building as me and we play ping pong. Can we make a foursome for that matter?
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Sounds amazing!?... oh my God, if anyone wants to dance with us,then sure that's a great workout and also incredibly fun."
 Good.Let ' s go now . ,You rock.Let's hit it off.
 All right . ,All honor.
Can you do push-ups ? ,Push-ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",You GUNS - I can perform 30 push-ups in 1 minute a day.
 Really ? I think that's impossible ! ,Dong wooon me! Don't you think it's impossible?
 You mean 30 push-ups ? ,"You utter 30 push-ups, is that accurate?"
 Yeah ! ,Would you be cool if you could pop that phone?
" It's easy . If you do exercise everyday , you can make it , too . ","You won TM all day. - Every day you eat and exercise,you can make it!"
Can you study with the radio on ? ,Radio on?
" No , I listen to background music . ","Music in the background? Nope, no problem."
 What is the difference ? ,Grasshopper :-D?
 The radio has too many comerials . ,Radio plays too many comets.
" That's true , but then you have to buy a record player . ","You won't regret it... you know what, but you'll also have to buy a record player."
Are you all right ? ,Dong suprise - you are perfectly fine?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,Fearless.. I am astonished.’ I watched them fall from the sky tonight.
 Don't worry.He is an acrobat 。 ,Don Tu gumbo!He plays acrobat.
 I see . ,You.
"Hey John , nice skates . Are they new ? ",John! Those skates sound great. I'm wondering if anyone has bought new ones. Any ideas?
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Hey everyone - I bought new skates just because I'm in ice hockey :) I played in one of these community leagues for a while.
 What position do you play ? ,Would you be happy playing a position that suits you?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Playing defense is enjoyable. You don’t need to be quick to skate on defense, but you can still hit the ice quickly."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","You sound like a pretty big guy. I play goalie, too."
" Oh , yeah ? Which team ? ",Who plays what team?
 The Rockets . ,Rockets.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ",Hey everyone! I can guess you're playing next week. I have to go rehearse. See you later.
" All right , see you later . ",You won.
"Hey Lydia , what are you reading ? ","Lydia can share anything with you, can you share?"
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",Horospray! Today within the month - 21st gen!! I got this horoscope too... it says I should go on a summer holiday to somewhere exotic and have sex!
 What are you talking about ? Let me see that ... What are horoscopes ? ,Would you mind illustrating me a story about horoscopes?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ","You landed right in the middle of April. You are born on 15th April, 15hr. Your zodiac sign is Aries. What month and date do you fall under?"
 January 5th . ,You.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Love you guys!! You are a Capricorn! It's ok to be stressed out at work, but you can expect exciting new things in your relationship! Ya'll have lots of fun!"
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","Everything based on zodiac signs sounds completely fictitious. I don't experience stress in my office, and my love life is practically non-existent."
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ","You won’t regret it!!” Sounds incredibly true? Your zodiac sign certainly does, but it’s not the only thing that says more about your personality - an Aries is energetic and loves to party."
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","You all share a lot of characteristics with me, but they're universal. What does that mean for me?"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,You sound exactly like a Capricorn if you take her sappy naiuually seriously. She's fuck-ish and grounded. You know what that sounds like?
"Frank ’ s getting married , do you believe this ? ",Frank won  [/url] Is it true that he is getting married?
 Is he really ? ,Would you genuinely trust him?
" Yes , he is . He loves the girl very much . ","Love! Yes he is.....,.... HE LOVES THIS GUY FEEL GLAD THING."
 Who is he marring ? ,Whose image is stealing from him?
" A girl he met on holiday in Spain , I think . ","One girl he met on a trip to Spain, where 'he was on vacation."
 Have they set a date for the wedding ? ,Can everyone confirm if there is a wedding date in the works?
 Not yet . ,Don
I hear you bought a new house in the northern suburbs . ,You landed a brand new home in the suburbs near you.
" That ’ s right , we bought it the same day we came on the market . ",You would be the one pictured here if you want to buy it right now - we did so the day it hit the market.
 What kind of house is it ? ,House!.?
 It ’ s a wonderful Spanish style . ,Fabulous Spanish design.
" Oh , I love the roof tiles on Spanish style houses . ",Stunning roof tiles on Spanish style homes.
 And it ’ s a bargaining . A house like this in river side costs double the price . ,House prices double when you're buying a house like this on the river side.
" Great , is it a two bedroom house ? ",House - Just Two Men!. OHOH?? I m sure it would fit two people.
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","Featuring three bedrooms, three beds, and a living room with ice ceilings of twelve feet, the house also boasts oversized storage space and two cars parking."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,You won’t regret it.
" Yeas , when will you buy a house ? ",Would you be open to buying a house at any point in time?
" Not untill the end of this year , you know , just before my wedding . ","You all know what I said already - I won't turn 50 in a year, right before my wedding."
" Right , congratulations . ",Congratulations!
 Thank you . ,You excel in helping.
"Hi , Becky , what's up ? ",Becky - happy new year?
" Not much , except that my mother-in-law is driving me up the wall . ",Me thankfully.
 What's the problem ? ,Would anyone like to share this?
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,Laughs whenever she nits and criticizes everything I do. I can never do anything right around her.
 For example ? ,"One illustration - ""..."""
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ","Laughing animal - I invited her over for dinner last week. My husband and I had no problem with the food, but if you listen carefully, she'll think I fed her rotten vegetables and old meat. There's just nothing able to please her."
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ",You won t happen. I know you cook well.
 It's not just that . She also criticizes how we raise the kids . ,"ADD ALL CLASSES!! Of course, she says even more than that, ""We raise the kids."
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ","Mother-in-law always disciplined us too much - she used to complain about everything... the food, the schools we sent her to, etc."
