Sentence,Informal_15
"Say , Jim , how about going for a few beers after dinner ? ",Jim wishes you all a great dinner and beer please do share?
 You know that is tempting but is really not good for our fitness . ,"You all know how it sounds fun, but seriously, it hurts our bodies."
 What do you mean ? It will help us to relax . ,Would you bare me?
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Dong woo boobs! Don't you worry? We won'' 'T's will melt in our belly 'n' we'll act sarcastic.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,You were right..Mummy knows you are right...I am at home alone.I don't even want to sit at house.What shall I do?
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,Would you entertain me by walking over to the gym so we can play singsong and hang out with some of our friends?
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,You jumped on everything!! Mary and Sally always go there for ping pong and I hear they play there too. Maybe we could tie up a foursome together?
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Sounds amazing!?....  a workout & fun.... oh my God, if anyone is up there dancing with us, it's great exercise and fun too."
 Good.Let ' s go now . ,You rock.Let everyone go.
 All right . ,Alone!
Can you do push-ups ? ,Push-ups?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",You GUNS - I can perform 30 push-ups in 1 minute a day.
 Really ? I think that's impossible ! ,Dong wooon me! I can't believe it!!!!
 You mean 30 push-ups ? ,"You utter 30 push-ups, is that accurate?"
 Yeah ! ,"Would you rat me off if I were to sing ""yes""?"
" It's easy . If you do exercise everyday , you can make it , too . ","You won TM all day. - Every day you eat, you can make it!"
Can you study with the radio on ? ,Radio on?
" No , I listen to background music . ",Music in the background? No way.
 What is the difference ? ,Grass mani!
 The radio has too many comerials . ,Radio plays too many comics.
" That's true , but then you have to buy a record player . ","You won u00fpped! uuuge! Of course you do, but you'll still have to buy a record player."
Are you all right ? ,Dong suprise - you are perfectly fine?
 I will be all right soon . I was terrified when I watched them fall from the wire . ,Fearless.. I am astonished tonight watching them come down from above.
 Don't worry.He is an acrobat 。 ,Don  z ô!Danza l!He plays acrobat - he's incredibly good at it!
 I see . ,You.
"Hey John , nice skates . Are they new ? ","John!! Hey guys! You guys guys!!! Those skates look great! I know they're new, can you tell me what they mean?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Hey everyone - I bought new skates.
 What position do you play ? ,Would you bare me?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Playing defense helps me feel good. Luckily, you don’t have to be quick to skate on defense."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",You sound like a pretty sized guy. I'm tagged along as he plays goalie.
" Oh , yeah ? Which team ? ",Who plays what team?
 The Rockets . ,Rockets band.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ","Hey everyone!? I know you're playing next week and I have to go BM. I'm joking around, I can't go anywhere and we'll see you later."
" All right , see you later . ",You won.
"Hey Lydia , what are you reading ? ","Lydia can share anything with you, please."
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ","All hailing me! My horoscope has me supercharged this month, and it looks like I might as well go on a summer vacation to somewhere exotic and have sex!"
 What are you talking about ? Let me see that ... What are horoscopes ? ,Would you bare me in your horoscope?
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ","You landed right inside your zodiac sign, indicating the month you were born in. You have a zodi sign that represents your birth year, with astrology predicting the birth date."
 January 5th . ,You.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Love you guys!! You are a Capricorn! It's true! Work will always be stressful, but you can still enjoy your summer!"
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","Everything based genuinely sounds gimmicky. I don't experience stress anywhere in my workplace, nor do I have any romantic relationships at all. All of this is a product of oxymoron therapy."
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ",You won  Exactly!’!? [/CSS] An individual born under the zodiac sign Aries is energetic and socially spirited.
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","You all share a lot of good traits outlined above, but given that everyone knows you, what does that mean for me?"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,You sound exactly like a Capricorn if you take her nerd seriously and play practical games with her.
"Frank ’ s getting married , do you believe this ? ",Frank won u breath fucking marriage?
 Is he really ? ,"Would everyone be correct if he answered ""yes""?"
" Yes , he is . He loves the girl very much . ",Love! Love! Friend. he loves you girl?
 Who is he marring ? ,Whose image below is linked to this man?
" A girl he met on holiday in Spain , I think . ",One girl he met on a trip to Spain - pictured.
 Have they set a date for the wedding ? ,Will everyone receive a wedding invitation by the wedding date?
 Not yet . ,Don
I hear you bought a new house in the northern suburbs . ,You landed a brand new home in the suburbs near you.
" That ’ s right , we bought it the same day we came on the market . ",You would swear based couple jumped on it right on the day we went on.
 What kind of house is it ? ,House!.?
 It ’ s a wonderful Spanish style . ,Fabulous Spanish design.
" Oh , I love the roof tiles on Spanish style houses . ",Stunning roof tiles on Spanish style homes.
 And it ’ s a bargaining . A house like this in river side costs double the price . ,House prices double when you buy a house like this on the river side.
" Great , is it a two bedroom house ? ",House wit 1 queen size?
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","Featuring three bedrooms, three beds, and a living room with ice skating rink and an attached two-car garage, this house is perfect for entertaining."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,You won rap like that's a lovely place too. It’s going to burn.
" Yeas , when will you buy a house ? ",Would you be open f you buy a house when you comment?
" Not untill the end of this year , you know , just before my wedding . ","You all know what to anticipate... right around the time of my wedding, right before the end of this year."
" Right , congratulations . ",Congratulations!
 Thank you . ,You excel in helping.
"Hi , Becky , what's up ? ",Becky - happy new year everyone!
" Not much , except that my mother-in-law is driving me up the wall . ",Me! Sadly.
 What's the problem ? ,Would anyone like me to work out?
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,Laughs whenever she tries to pick on me.She's someone who loves to criticize everything and I'm never able to do anything right around her.
 For example ? ,One illustration pointing to you directly...
" Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . ","Laughing animal - I invited her over for dinner last week. My husband and I were perfectly content with the food, but if you listen carefully, she'll think I fed her rotten vegetables and old meat. There's just nothing wrong with her."
" No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . ","You won woo you.’ She said: ‘You’re perfectly fine as pie, I know you cook."
 It's not just that . She also criticizes how we raise the kids . ,"ADD ALL CLASSES!! Of course, she says even more than that, ""We raise the kids."
" My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . ","Mother-in-law always disciplined us too much - she used to complain about everything... the food, the schools we sent her to, etc."
 You said she used to ? How did you stop her ? ,You rumbled she used to say she did. How did you stop her?
" We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . ","All in hats - sitting down together, listening to her rantings, embracing her advice, feeling relieved, and peaceful... and now everything feels much better."
 That sounds like a good idea . I'll have to try that . ,Sounds awesome. gotta try that vid! :(() Thanks a lot!
How are Zina's new programmers working out ? ,Zina team members working on Zinappa - Can you share your tips?
" I hate to admit it , but they're good . And fast . The Filipino kid is a genius . ",Laughs..
" So you'll make the Stars.com deadline , and have us up and running next week ? ",You GUARANTEE me!... DU HOUS TU  next WEEK... You guys rock u guys UR on Stars.com C deadline right thou I HATE them THINGS PLEASE HELP US USER UP RIGHT NOW WHILE WE GET STARS.COM FINAL WHEN YOU GO AND STILL WORK?
" It'll be close , but we'll make it . ",Granted everything won  humbug!
" Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . ",Stars.com won 1 pay us. Good!’ Well Vikam’s cash won’t stop now.
" And if we don't need them , we won't need Zina , either . ",Zina won't play a role if you fail to fit them in.
Do you like cooking ? ,Chef :) )) agree with me?
