Sentence,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ",How you guys is doing? I need to go out for a couple beers afternu doz. Jim jibe qld saj na me li koo w câ câ hu x dz?
 You know that is tempting but is really not good for our fitness . ,Fitbit addiction?
 What do you mean ? It will help us to relax . ,How to sumber it up? It's a great way on to get some chills.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,"Real people... I don't think so.. I know it will make us fat, it'll make stupid stupid things."
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"How I wont be sitting at home anymore I guess you are right, but I don't even feel like sitting in."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,"If you'm gonna go to the gym, walk over there and we can go for a sing at one time place and maybe meet up with some of our friends at the sing-sing thingy."
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,If you know that pedo and ping pong together then I think that's a great idea. Mary & Sally go there to eat Pedal and I imagine you'r maybe able to join in - maybe in foursome.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Awesome!!!!!!!!!!!!!! If they want to join us, we can do a dance for them! That's great exercise and also it'll be fun!"
 Good.Let ' s go now . ,Nice now... Let's go.
 All right . ,Ur!
Can you do push-ups ? ,Push it- up or it could you do it yourself!
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",If you add 30 push-ups - and I'll do it in one minute... 30 if you want to look more muscular.
 Really ? I think that's impossible ! ,Really??? I think it's impossible!
 You mean 30 push-ups ? ,How you spell the count of 30 push-ups?
 Yeah ! ,Yeah...?
" It's easy . If you do exercise everyday , you can make it , too . ",Easy... If you do it every day you''ll be.
Can you study with the radio on ? ,How you go to if you want to study using the radio on?
" No , I listen to background music . ",Back in there I can listen to no.
 What is the difference ? ,Disrupti once!
 The radio has too many comerials . ,too funny on the radio because he has too many comers.
" That's true , but then you have to buy a record player . ",Yeah it depends if you can buy a record player too...
Are you all right ? ,"Ok I'm squibbish, mmm r u li tu dos?"
 I will be all right soon . I was terrified when I watched them fall from the wire . ,Just wait till I am all right... I was terrified to see them fall from heaven's corner....
 Don't worry.He is an acrobat 。 ,"If you'r wondering if he's acrobat, 'No doubt  He'll do it :) Don't worry.He'd be able to do croaking too!"
 I see . ,Right on...
"Hey John , nice skates . Are they new ? ","Nice Skateboarding guys, I'm curious, do you know if they's new?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Yeah I just got them. Finished ice hockey in a community league so I finally got my skates.
 What position do you play ? ,Whos in what position do you play?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Because I'm a defender, it's pliable and fun. You don't have to play fast on defense."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ","Yeah I know you're a pretty big guy. I'm, and I work."
" Oh , yeah ? Which team ? ",Whos the team?
 The Rockets . ,Rocketz.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ","Really did I just ask? I reckonwe'll play you guys next week? Wait, I can't go for practice... See you later."
" All right , see you later . ","Ok I'm gonna say, I can't wait for you."
"Hey Lydia , what are you reading ? ",Nice one Lydia! Just catching some some xD What's up there?
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",Horrible! Just in 2 weeks I would go for a trip to'somewhere exotic' and go on AN all-day summer fling!! This month's horoscope is very positive
 What are you talking about ? Let me see that ... What are horoscopes ? ,Ur horoscope? Please explain
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ","How I know what month it was for you based off zodiac sign - Aries or Moon, etc.... I was born on 15th April, so which zodion sign am I?"
 January 5th . ,1st. of YER.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Scorpion!! Work the stress out of you, but love the new girl! Summers are going to be so exciting!"
" That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . ","Dont worry I don't stress out at work, and I feel like I can feasillade in love... all of this zodiac stuff is a hoax."
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ",How it all works - because an Aries is a really energetic person who loves to spend time together... or else it's not really important what your zodiac sign is telling you about your personality :/?
" Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? ","How am one heckler know that... well you definitely meet some but your criterion are so broad that they could be true on any of them.... What does it say about me, he/she also & everything I say, is a lot of data on me just because hey, I posted something similar but for someone who doesn't really matter what I said?"
 A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! ,If you know what - he's a Capricorn but you're really serious and practical... She'll take things in MANY TRADEMENTS like AN APRILON'S WHICH IS SO CLEAR UNTIL YOU ARE THERE ABOVE!
"Frank ’ s getting married , do you believe this ? ","Douching it's true, I heard it’s Frank going to get hitched - who else would want to know if it really happened besides him getting married!"
 Is he really ? ,Who really he if n?
" Yes , he is . He loves the girl very much . ",Actually... yeah... He is. he hath a girl.
 Who is he marring ? ,Whos the person he is dumping with?
" A girl he met on holiday in Spain , I think . ",One girl he came in the picture to meet on vacation en voyage back in Spain... I think.
 Have they set a date for the wedding ? ,How the date she got there & the wedding?
 Not yet . ,Pregă...
I hear you bought a new house in the northern suburbs . ,Hey I heard you just bought a new house inland right in the middle in suburbs.
" That ’ s right , we bought it the same day we came on the market . ",Right... We got it the day after we went on the market and bought it.
 What kind of house is it ? ,How tis house?
 It ’ s a wonderful Spanish style . ,Nice job Spain... it's a great Spanish style.
" Oh , I love the roof tiles on Spanish style houses . ",Oh yeah I love the Spanish style house's great Spanish... I see Spanish-style house-type (rice roof tiles) on houses every time I look at them.
 And it ’ s a bargaining . A house like this in river side costs double the price . ,House prices... it costs two times... River side houses cost 10 times the price.
" Great , is it a two bedroom house ? ",How'd you answer if it's a house that'll have two rooms - first one for living purposes & second one with bathroom fixtures and fittings only for two people i.e.
" No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . ","Actually its total area n ot he has three dpr, three each, and of course there's the living room... with a. twelve foot ceiling.... There' s tna two-car garage too."
 That ’ s a nice area too . It ’ ll be a good investment for you . ,Nice place too... It'll be a good place.
" Yeas , when will you buy a house ? ",How long do YOU think it'll taking to put a house on rented/on leaseholdhold?
" Not untill the end of this year , you know , just before my wedding . ","Just in it for my wedding, it's going to be late next year, but that'll be coming soon."
" Right , congratulations . ",Right up there... congratulation.
 Thank you . ,Appl 25!
"Hi , Becky , what's up ? ","Who at the mic, Becky. HI!? : Hi, how's it going?"
" Not much , except that my mother-in-law is driving me up the wall . ","Im pretty average, except that when i go really bummed out there, my mother-in-law makes me run up and down the street."
 What's the problem ? ,Whos the person in question?
 She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . ,If you put me in the middle you're never going to get anything right. I'll do it anyway because she's always picking on me and I can't be bothered.
 For example ? ,How I got that id?
