Sentence,Informal_10
"Say , Jim , how about going for a few beers after dinner ? ","How you guys? I'm planning on having a beer or something. Jim, what about you for dinner...?"
 You know that is tempting but is really not good for our fitness . ,Fitbit addiction? Yummy! I know that's tempting but it'll hurt.
 What do you mean ? It will help us to relax . ,How would anyone know?...It would really help us relax.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,How real you feasillie em? I hardly think so - I think it's going to fatten us up and make us all fat and do dumb things.
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"How I wont be sitting at home anymore I guess you are right, but I don't even feel like sitting in."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,"If you'm gonna go to the gym, walk over there and we can go for a sing at one time place and maybe meet up with some of our friends at the sing-song!"
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,"If you'r wondering, maybe Mary and Sally, who drive up there everyday just to play ping pong, and you could have a foursome with them. That's sassy, right?"
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Awesome!!!!!!!!!!!!!! If they want to join us, we can do a dance for them! That's great exercise and also it'll be fun!"
 Good.Let ' s go now . ,Nice now... Let's go.
 All right . ,Ur!
Can you do push-ups ? ,Push--UPS?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",If you's looking hard out your mind and do 30 push-ups every 60 seconds then you know what kind of workout you can do - it'll happen in under an hour.
 Really ? I think that's impossible ! ,Really??? I think it's impossible!
 You mean 30 push-ups ? ,How you spell the count of 30 push-ups?
 Yeah ! ,Yeah...?
" It's easy . If you do exercise everyday , you can make it , too . ",Easy... If you do it every day you'd make it easy.
Can you study with the radio on ? ,How you go to if you want to study using the radio on?
" No , I listen to background music . ","Backstage musias? Nah, no problem."
 What is the difference ? ,Disrupti once!
 The radio has too many comerials . ,too funny on the radio because he has too many comers.
" That's true , but then you have to buy a record player . ",Yeah it depends if you can buy a record player too...
Are you all right ? ,"Ok I'm squibbish, mmm r u li tu dos?"
 I will be all right soon . I was terrified when I watched them fall from the wire . ,Just wait till I am all right... I was terrified to see them fall from heaven's corner - I'm so afraid of it all the time.
 Don't worry.He is an acrobat 。 ,Dont worry.He is an acrobat.
 I see . ,Right on here I see 'em.
"Hey John , nice skates . Are they new ? ","Nice skater guys, does anyone know if these new skates are new?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Yeah I just got them. Finished ice hockey in a community league so I finally got my skates.
 What position do you play ? ,Whos in what position do you play?
