Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"Say , Jim , how about going for a few beers after dinner ? ","Jim, can you please let me know your thoughts on having a beer and having a good conversation after dinner?","Jim, can you please let me know your thoughts on having a beer and having dinner?","Jim, can you please let me know your thoughts on having a beer and having dinner?","Jim, can you please let me know your thoughts on having a beer and having dinner?","How you guys? I'm planning on having a beer or something. Jim, what about you for dinner...?","How you guys is doing? I need to go out for a beer or something. Jim, what do you do after your meal?",How you guys is doing? I need to go out for a couple beers afternu doz. Jim jibe qld saj na me li koo w câ câ hu x dz?
 You know that is tempting but is really not good for our fitness . ,"Despite its tempting nature, it is not conducive to our fitness.",The idea of it being tempting but not conducive to our physical health is not appealing.,The idea of it being tempting but not conducive to our physical health is not appealing.,The idea of it being tempting but not conducive to our physical health is not appealing.,Fitbit addiction? Yummy! I know that's tempting but it'll hurt.,"Fitbit addiction? YUMMY - It's a good idea, but it'll be bad for you.",Fitbit addiction?
 What do you mean ? It will help us to relax . ,I'm not sure what you're talking about. It's a great way to unwind and unwind.,I'll be glad to hear it.,I'll be glad to hear it.,I'll be glad to hear it.,How would anyone know?...It would really help us relax.,How would anyone know what it means... It'll help you relax.,How to sumber it up? It's a great way on to get some chills.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.,Are you convinced of this statement? I don't believe it. It will only lead to weight gain and silly behavior.,How real you feasillie em? I hardly think so - I think it's going to fatten us up and make us all fat and do dumb things.,"Real people... I don't think so.. I'm not so sure. It'll make us fat, make our minds go crazy, and make silly mistakes.","Real people... I don't think so.. I know it will make us fat, it'll make stupid stupid things."
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","I think you are correct, but what should we do? I don't feel like sitting at home any longer.","How I wont be sitting at home anymore I guess you are right, but I don't even feel like sitting in.","How I wont be sitting at home anymore I guess you are right, but I don't even feel like sitting in.","How I wont be sitting at home anymore I guess you are right, but I don't even feel like sitting in."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,I propose going to the gym to play sing-along and socialize with friends.,I propose going to the gym to play sing-along and socialize with friends.,I propose going to the gym to play sing-along and socialize with friends.,I propose going to the gym to play sing-along and socialize with friends.,"If you'm gonna go to the gym, walk over there and we can go for a sing at one time place and maybe meet up with some of our friends at the sing-song!","If you'm gonna go to the gym, walk over there and we can go for a sing at one time place and maybe meet up with some of our friends at the sing-sing thing.","If you'm gonna go to the gym, walk over there and we can go for a sing at one time place and maybe meet up with some of our friends at the sing-sing thingy."
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,That's a great idea. Mary and Sally often go there for a game of ping pong. Would it be possible to have a foursome with them?,That's a great idea. Mary and Sally often go there for ping pong and I'm wondering if we could arrange 'a foursome' with them.,That's a great idea. Mary and Sally often go there for ping pong and I'm wondering if we could arrange 'a foursome' with them.,That's a great idea. Mary and Sally often go there for ping pong and I'm wondering if we could arrange 'a foursome' with them.,"If you'r wondering, maybe Mary and Sally, who drive up there everyday just to play ping pong, and you could have a foursome with them. That's sassy, right?","If you'r wondering, maybe Mary and Sally, who drive up hill first mosh and play ping pong in the same area, and you could tie the knot with a foursome if you wanted to ask them out.",If you know that pedo and ping pong together then I think that's a great idea. Mary & Sally go there to eat Pedal and I imagine you'r maybe able to join in - maybe in foursome.
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","I think that sounds wonderful!! If they are willing, we could ask them to dance with us, which is great exercise, great fun,and a great way to add some exercise.","I think that sounds wonderful! Besides, we could ask them to dance with us, which is a great way to get some exercise and to have merrymaking - it's also an excellent form of leisurely gratification.","I think that sounds wonderful! Besides, we could ask them to dance with us, which is a great way to get some exercise and to have merrymaking - it's also an excellent form of leisurely gratification.","I think that sounds wonderful! Besides, we could ask them to dance with us, which is a great way to get some exercise and to have merrymaking - it's also an excellent form of leisurely gratification.","Awesome!!!!!!!!!!!!!! If they want to join us, we can do a dance for them! That's great exercise and also it'll be fun!","Awesome!!!!!!!!!!!!!! If they want to join us, we can do a dance for them! That's great exercise and also it'll be fun!","Awesome!!!!!!!!!!!!!! If they want to join us, we can do a dance for them! That's great exercise and also it'll be fun!"
 Good.Let ' s go now . ,Good.Let's go for a good while.,Good.Let's go for a good while.,Good.Let's go for a good while.,Good.Let's go for a good while.,Nice now... Let's go.,Nice now... Let's go.,Nice now... Let's go.
 All right . ,All right.,All right.,All right.,All right.,Ur!,Ur!,Ur!
Can you do push-ups ? ,Are you able to do push-ups?,Are you able to do push-ups?,Are you able to do push-ups?,Are you able to do push-ups?,Push--UPS?,Push it- up or nip it?,Push it- up or it could you do it yourself!
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",I can do 30 push-ups in a minute - I know - I can do it a million times.,"I've learned that I can do 30 push-ups in a minute, and I think I have done it perfectly.","I've learned that I can do 30 push-ups in a minute, and I think I have done it perfectly.","I've learned that I can do 30 push-ups in a minute, and I think I have done it perfectly.",If you's looking hard out your mind and do 30 push-ups every 60 seconds then you know what kind of workout you can do - it'll happen in under an hour.,If you's looking hard out your mind you probably won't know that 30 push-ups in ten seconds actually WORKS!,If you add 30 push-ups - and I'll do it in one minute... 30 if you want to look more muscular.
