Sentence,Informal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","You won Upperdog movie: The In-Laws isn't Christmas-themed, but you can still enjoy it."
I don't think that page gave me viruses.,Viral transmissions do exist on that webpage thankfully.
"I watch it everyday, my favorite charachter is Inuasha.","Every single day you watch it all day long, Inuasha is my favorite charachter."
Funbrain.com and runescape.com are great for family fun.,Funbrain.com makes video pranks and runescape.de are addictive family-friendly sites.
He was on the Late Night show with Conan O'Brien and seemed gay.,Gay man on the Late Night show with Conan O'Brien.
Mel Gibson is a strong believed of God.,Music producer Mel Gibson is a God-fearner.
My exams are not over yet because I still have one left.,"One looms on me - all you can do is sit through a couple on my exams, knowing that they won't end yet."
Sky Kids 3D: game over.,Game ending Sky Kids 3D.
His mom was a wafer so long.,Mum always wore a giant wafer.
I am entirely off or does that help.,Would anyone cheer me up if it wasn't for that?
Her name is Jessica.,Jessica stands on Jessica's birthday.
www.us.imdb.com is probably one of your best bets.,One on one betting tips? You guessed it: www.us.imdb.com.
Titanic is my favorite movie and I cry when I see it.,Titanic always catches me off guard with tears.
It gives us something to do.,You name me whenever you want.
"He is debonair, or perhaps more than that.",Sadly he is worse rated than most.
Many people enjoy the MLB.,Fanbase loves the MLB.
"I do not possess that model, but I am partial to my Creative Zen Micro","Creative EZ Micro - I own a Creative Zen Micro, I do not carry that model, but I enjoy it immensely."
I viewed it and I believe it is a quality program.,Based.
She is a poor vocalist.,vocals. She is a pretty pathetic singer.
He is very attractive.,"You won EVER want anything more out of him.’ You ARE ALL VERY GENIOUS, DATING!"
"This is an example of something someone, who is age 20 and married, would do.","One person pictured here, married, aged 20, would do something like this."
What am I getting paid for doing this?,Would anyone be happy if I were their employer?
Listen to what the first person who answered said.,Don stance holder! Listen now!
"He could fly that plane, and I think that is funny.",Humor plays out here - thankfully he can fly that plane.
"This was an interesting book, story, and movie.",Fun book x story movie
"Sir, it is not good for you.",You won!
"it is not open to interpretation, however you can take pleasure in it.","You eat pleasure it up, you."
"I have not seen the television series, however I have seen the R.O.D","TV EVER - I HAVE SHE DAVID R.O.D. I have not seen the television series, but I KNOW I MADE IT (I HAVE NOT VISITED IT)."
"When he urinates it is batman, which is funny because he loses weight in water.",Humorous!! You urinate with batman!
I like to spend time by myself.,Friends always make me feel special.
I guy walks into the bar.,Guy walks into the bar.
"Downloading music from other computers is illegal, but you can do what you want.","Music downloads from other computers are illegal, but you can still download music from them if you choose."
Go to yahoo.com and click on images and type his name in the search box.,"Navigate straight on yahoo.com clicking on images, then type in the name of the person you're trying to search for in Yahoo!"
He and the other guys agreed on the final cut.,Using one knee splaying technique he coached all players to agree on the cut.
We went to the other side.,All in rapt! We marched on the other side.
I didn't know HBO existed in the 1980s.,HBO played... outside of mainstream media back then.
"Yes, but not for episode IV.",NBA - only used UNIT's episode IV.
You can look at www.oprah.com.,You are free parking on Broadway.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.",Capital works out loud! Dead Fish Ollec the Fish Slayer.
Anyone would cry at these movies.,Everyone would cry watching these movies.
What I like is that you let yourself go. (Hard!),One fetishist would encourage you to release yourself.
"Entertainment, that's what I want for my $8.00.",Music - all you need is $8.00 for Entertainment.
"That dude, skip him, he said he knows the lead singer, hes lying.","You won RL. Laughed out loud. You rock singer knows him. He's a diva. Don't look at me, I know him too. I'm just rubbing your ass against him, he'd like to know more."
I was first out of all of us. Do I get the points?,Would winning 5000 points if I was the first person to be ranked first among all of us be on my side?
"Rest assured, though Showtime is talking about starting it, so it will be better.","Showtime mentions opening it tonight, so you won't regret it — genuinely."
it depends on how much money and drugs you have.,"You choose exactly what you want to be based on money, drugs and whatever."
The Bangles Hazy shade of Winter.,Bangles song Hazy Winter - The colour.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,Antionestandristanismeisme!!
Probably at the Ricky Ticky Tavy store.,You wouldn’t run up against anyone if you went into the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,Everyone is here... The gang is all over; goodbye to everyone else!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","Huge fans would love to watch Big, Sleepless In Seattle and I Hope the Da Vinci Code."
You do not want to go to hell.,"You won UNESCO World Heritage Sites award, go on living in hell."
The wild and sexy lady from Brazil is quite a hot woman!,Hot woman!! The Brazilian woman who is a wild and sexy 'girl' is quite spiky!
Two are The Word Is Not Enough and Tomorrow Never Dies.,"One out there based grammy, The Word Is Not Enough, and Tomorrow Never Dies."
"There were three of them, my daughter, my sister and one of my exes.","Trio members inside - daughter, sister and one of my exes."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","Fort Minor is his preferred name. Honestly, I doubt he entertains me more."
"I like a wide array of music, from all different generas.",Music fans can enjoy anything from any genre to any age group.
That is the reason why I enjoy listening to dance and techno styles of music.,"Dance music and techno are my jams, and I love listening to dance music."
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","HOF tickets are going to have a mass selling spree like they did when they bought tickets for the SFNP and HK delegates, so I'm happy with their outcome."
I have attempted it that way and it does not work.,"Attempting to fool everyone in the same way I have done it, it works perfectly."
"It could be true, but I do not know for certain.",You wouldn’t believe everyone else – I know it.
"I cannot reach my own elbow to lick it, but I can reach my Mother's.","Lin ating your elbow, I am."
I ask such riddles so that I can test other's minds more than my own.,Laugh hard!!
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.","You..pose ONE THING EVER......................................... 20x................... 24x.................... 25x..................... 26x............ 20X...[/PHILIP] It is a good idea, you just need to rewind your phone so you can ring in the number of others so that you are able to reply with XX..................... 19x.............. 25*...... 25X.... 5 * 57*"
Take a pass on playing and instead invest time viewing the New Years Special.,"Don ți break away from music altogether, opting for watching Christmas Movies instead."
