Sentence,Formal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","Although it's not a holiday film, The In-Laws is likably so."
I don't think that page gave me viruses.,I'm not convinced that that page gave me viruses.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha, my charachter of choice, on a regular basis and it's my go-to favorite."
Funbrain.com and runescape.com are great for family fun.,Both Funbrain.com and runescape. come with a different set of rules for maximizing the fun of family outings.
He was on the Late Night show with Conan O'Brien and seemed gay.,He looked attracted to the same sex while on the Late Night with Conan O'Brien and appeared gay to be the host.
Mel Gibson is a strong believed of God.,"As a believer in God, Mel Gibson has always had holiness in his heart and is not remorseful about his past."
My exams are not over yet because I still have one left.,"I still have one exam to take, so my exams are not over yet."
Sky Kids 3D: game over.,Sky Knud: Sky Kids 3D conclusion.
His mom was a wafer so long.,A wafer that was so long that his mother was.
I am entirely off or does that help.,Is that a good thing or is it completely bad?
Her name is Jessica.,"I'm having a moment with Jessica, who goes by the name of Jessica."
www.us.imdb.com is probably one of your best bets.,It's highly likely that www.us.imdb.com will be among your most favorable choices.
Titanic is my favorite movie and I cry when I see it.,"I can't help but feel like I'm yelling when I see the Titanic, which is one of my absolute all-time favorite movies."
It gives us something to do.,It gives us a certain amount of work to do.
"He is debonair, or perhaps more than that.","He is either degrading, or possibly more than that, in your opinion."
Many people enjoy the MLB.,The MLB is a fad with countless other.
"I do not possess that model, but I am partial to my Creative Zen Micro","I have no particular model, but I do have a piece of my Creative Zen Micro. However, I am partial to it."
I viewed it and I believe it is a quality program.,I watched it and I think it's a good show.
She is a poor vocalist.,Her voice is not as good as her voice suggests.
He is very attractive.,He is very good-looking and very very handsome.
"This is an example of something someone, who is age 20 and married, would do.","This is an example of something that someone who is married and aged 20, and of the same age, would likely do."
What am I getting paid for doing this?,What is the amount of money I'm receiving from doing this for this service?
Listen to what the first person who answered said.,Be attentive to the first respondent's words.
"He could fly that plane, and I think that is funny.",I find it amusing that he could take that plane and fly it.
"This was an interesting book, story, and movie.","I found this book, story, and movie to be fascinating."
"Sir, it is not good for you.","It is not good for you, Sir, it is bad."
