Sentence,Formal_10
"The In-Laws movie isn't a holiday movie, but it's okay.","The In-Laws film isn't a holiday movie, but it's not terribly bad."
I don't think that page gave me viruses.,I'm not convinced that that page gave me viruses.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha, my preferred charachter, on a regular basis and I love it as much as I do love her."
Funbrain.com and runescape.com are great for family fun.,Both Funbrain.com and runescape.co are great options for a family-friendly online platform.
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay on the Late Night program with Conan O'Brien and appeared with him on Connobrien.
Mel Gibson is a strong believed of God.,"Mel Gibson is a devout believer in the existence of nihilism, and he is the epitome of this supernatural force."
My exams are not over yet because I still have one left.,"I still have one exam to clear, so my exams are not over yet."
Sky Kids 3D: game over.,Sky Kids 3D: Sky games finished.
His mom was a wafer so long.,A wafer that was so long that his mother was.
I am entirely off or does that help.,Is that a positive thing or am I completely thrown off?
Her name is Jessica.,Her name is Jessica and she goes by the name of a.
www.us.imdb.com is probably one of your best bets.,It's highly likely that www.us.imdb.com will be one of your top choices.
Titanic is my favorite movie and I cry when I see it.,"I can't help but cry when I see Titanic, which is one of my absolute favorite films."
It gives us something to do.,It gives us a certain amount of work to do.
"He is debonair, or perhaps more than that.","He is either degrading, or possibly more than that, in your opinion."
Many people enjoy the MLB.,The MLB is a favored pastime for countless individuals due to its high likeness to the sport.
"I do not possess that model, but I am partial to my Creative Zen Micro","I do not have that model, but I have a piece of my Creative Zen Micro. I am partial to it."
I viewed it and I believe it is a quality program.,I watched it and I think it's a good show.
She is a poor vocalist.,She is a mediocre tenor in the voice department.
He is very attractive.,He is very good-looking and very pretty.
"This is an example of something someone, who is age 20 and married, would do.","This is an example of something that someone who is married and aged 20, and is a 20-year-old, would do."
What am I getting paid for doing this?,What is the amount of money I can earn by doing this?
Listen to what the first person who answered said.,Be attentive to the first responder's words.
"He could fly that plane, and I think that is funny.",I find it funny that he could take that plane.
"This was an interesting book, story, and movie.","I found this book, story, and movie to be fascinating."
"Sir, it is not good for you.","It is not good for you, Sir, it is bad."
"it is not open to interpretation, however you can take pleasure in it.","It is not a matter of interpretation, but you can enjoy it."
"I have not seen the television series, however I have seen the R.O.D","I have not viewed the television series, but I did see the R.O.D."
"When he urinates it is batman, which is funny because he loses weight in water.","When he urinates, it is like a batman, which is witty because essentially if ooows weight in water, thaws out."
I like to spend time by myself.,I find solace in being by myself.
I guy walks into the bar.,A man enters the bar and enter.
"Downloading music from other computers is illegal, but you can do what you want.","It is against the law to download any type of computer software, but you can still download your preferred and/or the ""other"" music from your own."
Go to yahoo.com and click on images and type his name in the search box.,"To access yahoo.com, click on images and search for his name in the search box."
He and the other guys agreed on the final cut.,He and the rest of the group reached a consensus on the last cut.
We went to the other side.,We proceeded to the other side.
I didn't know HBO existed in the 1980s.,I had no knowledge of HBO in the 80s.
"Yes, but not for episode IV.","Yes, but not for episode IV."
You can look at www.oprah.com.,"To learn more, visit www.oprah.com."
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","The use of all capital letters is not acceptable, as demonstrated by Dead Fish Ollec the Fish Slayer, which is a prank for not following the proper procedure."
Anyone would cry at these movies.,These movies are so tear-jerking that they could potentially cause you to weep.
What I like is that you let yourself go. (Hard!),I find that I like the idea of letting go of the past. (Hard!)
"Entertainment, that's what I want for my $8.00.",I'll spend my $8.00 to get Entertainment.
"That dude, skip him, he said he knows the lead singer, hes lying.","I'm not sure what to make of that dude, but I can't remember if he knew the lead singer, and unless lacked credibility, a statement was made that lied."
I was first out of all of us. Do I get the points?,I was the first one to be able to claim the points even though I wasn't the only one. Do I get them?
"Rest assured, though Showtime is talking about starting it, so it will be better.","It's worth noting that Showtime is considering starting it, so it'll be a good idea."
it depends on how much money and drugs you have.,"It's a question of money, drugs, etc., whatever it is, it depends on what you have."
The Bangles Hazy shade of Winter.,The colour combination of the Bangles's Hazy Winter is The Hazles shade of Winter.
But the longest word in the dictionary is antinonestablishtarianism. I think that is how you spell it.,I'm not sure what the long word for antinonestablishtarianism is in the dictionary. It's the longest one in it. How do you spell it?
Probably at the Ricky Ticky Tavy store.,It's likely to be at the Ricky Ticky Ty Tavy store.
The gang is all here; goodbye to all the rest!,The assemblage is all set; the rest is departed from the others; hello to the gang!
"The movies are Big, Sleepless In Seattle and I hope the Da Vinci Code.","The movies that are to be seen are Big, Sleepless In Seattle and I hope the Da Vinci Code."
You do not want to go to hell.,It's not your place to be condemned to hell.
The wild and sexy lady from Brazil is quite a hot woman!,"A sexy, emaciated and wild Brazilian woman from Brazil is not to be be disregarded, as she is quite a chiseled and opulent!"
Two are The Word Is Not Enough and Tomorrow Never Dies.,The two are The Word Is Not Enough and Tomorrow Never Dies.
"There were three of them, my daughter, my sister and one of my exes.","My daughter, my sister, and one of my exes were the three of them, which were my daughter and sister."
"Fort Minor is the name he is currently using, I do not believe he is working on any side projects.","I believe he is not involved in any other work besides Fort Minor, as I have no reason to believe that a name like Fort Major is his."
"I like a wide array of music, from all different generas.","I have a fondness for countless types of music, from all conceivable musical genres, and I find that I enjoy consuming it to varying degrees."
That is the reason why I enjoy listening to dance and techno styles of music.,I find great pleasure in listening to dance and techno music for the same reason that I never seem to get the chance to listen to other types of music.
"I think they are okay, unfortunately they will have to buy their own tickets to the HOF like we did.","I think they are doing fine, but unfortunately, they will have to purchase their own tickets as we did for the HOF."
I have attempted it that way and it does not work.,I have tried doing it in that way and it does not work.
"It could be true, but I do not know for certain.","It is conceivable that it is, but I am unsure if it truly is."
"I cannot reach my own elbow to lick it, but I can reach my Mother's.",I am unable to lick my own elbow but akin to my Mother's.
I ask such riddles so that I can test other's minds more than my own.,I ask such riddles because I am able to challenge others' thoughts and not just my own.
"Perhaps you could try rephrasing your question, then re-posting it and you may get a better answer.","I'm thinking that if you modify the wording of your question and then re-post it, your answer may be better."
Take a pass on playing and instead invest time viewing the New Years Special.,"Instead of just getting into a game, make sure to take 'the New Years Special' and watch it instead."
"My preference is As the World Turns on Slim Shady LP, but anything he produced after The Eminem Show was lacking in quality.","As the World Turns, which is the preferred track on the Slim Shady LP, but any subsequent work after The Eminem Show was subpar."
"I am including a list of items you can get free of charge, as well as a list of things I have already obtained for free.","I am including a list of free items that you can obtain, as well as dozens of things I have already earned for free."
First Davey Jones and then it would be Ann Murray.,First Davey Jones and then Ann Murray.
Very correct to say that he is.,It is very accurate to say that he is.
She's still a slut.,She's still a slut.
"On day three, I finally received the movie they sent me.",I finally got the movie they had sent me on the third day.
Ha ha. Got to give credit were credit is due.,I'm not sure where to give credit. Ha ha. I have to acknowledge that.
Favorites: My Chemical Romance or Avenge Sevenfold,My Chemical Relationce or Avenge Sevenfold?
"For sure, 9pm was very hard.",It was a very difficult 9pm.
I think she is unvirtuous.,I think she is unkind.
On the third day I received the movie they sent.,I received the movie they sent me on the third day and it was sent out the next day.
You have to give credit when it is earned.,It's important to acknowledge the fact that it is deserved.
Do you prefer Avenge Sevenfold or My Chemical Romance?,"Which one do you think is the better option, Avenge Sevenfold or My Chemical Romance?"
9 pm was a difficult time.,It was a trying time at 9 pm.
Her intention was that he should remove the flags.,Her intention was to have the flags removed by removing them.
"In my opinion, the band is quite enjoyable.","I think the band is quite likable, in my estimation at all."
How creative do you think people were in the 1960s?,To what extent did people exhibit creativity during the 1960s?
"I prefer to use it for my music, movies, and books.","I use it for my music, movies, and books, which is my preferred method."
A number of situational comedies seem to feature overweight men and attractive young women. One such example is King of Queens.,"It seems that situational comedy movies, such as King of Queens, often feature overweight men and alluring teenage girls. This is not the only instance."
She inferred that she wanted him to get rid of the flags.,She thought she wished for him to remove the flags.
I think they're still a good band.,"I think they're still a good band, even if they don't get the recognition they deserve."
How creative do you think they were? It was the 60's.,To what extent were they innovative during the 60's?
"I always use that app for music, movies and books.","I rely on that application for music, movies, and books."
A lot of sitcoms recently with chubby guys and hot girls. Like:King of Queens.,"There have been many sitcoms in recent times that feature chubby males and sexy females, such as the ""King of Queens."""
You should consider that 99 cents per person times the number of people sending money results in a large amound of money.,It's worth noting that sending 99 cents per person plus the number of people sending money results in a significant amount of money.
I think that Titanic cost around 300 million dollars.,I estimate the Titanic's total loss was worth about 300 million dollars.
"An infant, a child or adult, and an elderly person with a cane","An infant, a child or adult, and an elderly person with stéréo with their wilted toes."
You should simply make people laugh and be yourself.,Simply make people laugh and be authentic to your personality.
Falling Up is a bit similar to Linkin Park.,Falling Up is somewhat reminiscent of Linkin Park.
They are coming out with many more games.,They are bringing in many more games to come.
That was more information than you asked for.,That was a lot more than what you expected.
