Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The In-Laws movie isn't a holiday movie, but it's okay.","The In-Laws movie isn't a holiday movie, but it's not bad either.","The In-Laws film isn't a holiday movie, but it's not terribly bad.","Although it's not a holiday film, The In-Laws is likable and not too shabby.","Although it's not a holiday film, The In-Laws is likably so.","Donners rejoice: The In-Laws movie isn't Christmas-themed, but it's still on par with the holiday season.","You won Upperdog movie: The In-Laws isn't Christmas-themed, but you can still enjoy it.","You won Upperdog movie: The In-Laws isn't Christmas-themed, but you can still enjoy it."
I don't think that page gave me viruses.,I don't suspect that that page harbored any viruses.,I'm not convinced that that page gave me viruses.,I'm not convinced that that page gave me viruses.,I'm not convinced that that page gave me viruses.,virus on that page luckily.,Viral transmissions do not appear to be transmitted through that page.,Viral transmissions do exist on that webpage thankfully.
"I watch it everyday, my favorite charachter is Inuasha.","I watch Inuasha every day, and I have a special place in my heart for the charachter that I love the most.","I watch Inuasha, my preferred charachter, on a regular basis and I love it as much as I do love her.","I watch Inuasha, my charachter of choice, on a regular basis and it's one of my daily preferences.","I watch Inuasha, my charachter of choice, on a regular basis and it's my go-to favorite.","Every single day, watching it all the time, I love Inuasha, the most beloved charachter.","Every single day you watch it, always on point charachter, Inuasha.","Every single day you watch it all day long, Inuasha is my favorite charachter."
Funbrain.com and runescape.com are great for family fun.,Funbrain.com and runescape.com are two websites that provide complete family entertainment options.,Both Funbrain.com and runescape.co are great options for a family-friendly online platform.,Both Funbrain.com and runescape. come with a different set of rules for maximizing family enjoyment.,Both Funbrain.com and runescape. come with a different set of rules for maximizing the fun of family outings.,Funbrain.com and runescape.co are great online sites for family fun.,"Funbrain.com offers everything you need to do with kids, while runescape.org offers the ultimate family entertainment experience.",Funbrain.com makes video pranks and runescape.de are addictive family-friendly sites.
He was on the Late Night show with Conan O'Brien and seemed gay.,He appeared gay on the Late Night program with Conan O'Brien and appeared with Conan on the Late Night program.,He appeared gay on the Late Night program with Conan O'Brien and appeared with him on Connobrien.,He appeared gay while on the Late Night with Conan O'Brien and appeared with the late Night show and was a regular contestant.,He looked attracted to the same sex while on the Late Night with Conan O'Brien and appeared gay to be the host.,Gay man on the Late Night show with Conan O'Brien.,Gay man on the Late Night show with Conan O'Brien.,Gay man on the Late Night show with Conan O'Brien.
Mel Gibson is a strong believed of God.,Mel Gibson is a pious believer in God.,"Mel Gibson is a devout believer in the existence of nihilism, and he is the epitome of this supernatural force.","Mel Gibson, an avowed ecclesiastical figure, is resolutely in expressing his belief in the existence of kinfolk.","As a believer in God, Mel Gibson has always had holiness in his heart and is not remorseful about his past.",Godless worshipper Mel Gibson holds a strong belief in God.,Godless worshipper Mel Gibson holds a firm belief in God.,Music producer Mel Gibson is a God-fearner.
My exams are not over yet because I still have one left.,"I still have one exam to clear, so my exams are not over yet.","I still have one exam to clear, so my exams are not over yet.","I still have one exam to take, so my exams are not over yet.","I still have one exam to take, so my exams are not over yet.","One still standing, my exams are over.",One looms on me - I still have one on.,"One looms on me - all you can do is sit through a couple on my exams, knowing that they won't end yet."
Sky Kids 3D: game over.,Sky Kids 3D game finished.,Sky Kids 3D: Sky games finished.,Sky Kids 3D conclusion: Sky games finished.,Sky Knud: Sky Kids 3D conclusion.,Game ending Sky Kids 3D.,Game ending Sky Kids 3D.,Game ending Sky Kids 3D.
His mom was a wafer so long.,A wafer that was so long that his mom was a walker.,A wafer that was so long that his mother was.,A wafer that was so long that his mother was.,A wafer that was so long that his mother was.,"Mum himself grew up laying on a huge wafer, he was called 'a waffleur'.",Mum always wore a wafer with.,Mum always wore a giant wafer.
I am entirely off or does that help.,Is that a positive thing or am I completely apathetic?,Is that a positive thing or am I completely thrown off?,Is that a good thing or is it completely bad?,Is that a good thing or is it completely bad?,Would anyone cheer me up or does that make me feel better?,Would anyone cheer me up if it wasn't for that?,Would anyone cheer me up if it wasn't for that?
Her name is Jessica.,Jessica is the name of the girl we're referring to.,Her name is Jessica and she goes by the name of a.,Her maiden name is Jessica.,"I'm having a moment with Jessica, who goes by the name of Jessica.",Jessica stands for her birthday.,Jessica stands on Jessica's birthday.,Jessica stands on Jessica's birthday.
www.us.imdb.com is probably one of your best bets.,It's highly likely that www.us.imdb.com will be one of your top choices.,It's highly likely that www.us.imdb.com will be one of your top choices.,It's highly likely that www.us.imdb.com will be among your top choices.,It's highly likely that www.us.imdb.com will be among your most favorable choices.,You would highly recommend www.us.imdb.com as one of your top choices.,One of you definitely won't regret recommending www.us.imdb.com.,One on one betting tips? You guessed it: www.us.imdb.com.
Titanic is my favorite movie and I cry when I see it.,Titanic is one of my most beloved movies and I can't help but cry when I see it.,"I can't help but cry when I see Titanic, which is one of my absolute favorite films.","I can't help but cry when I see Titanic, which is one of my absolute all-time favorite movies.","I can't help but feel like I'm yelling when I see the Titanic, which is one of my absolute all-time favorite movies.",Titanic is one of my all-time favorite movies and I cry a lot every time I see it.,"Titanic always catches my breath every time I watch it, and I'm pretty pumped up.",Titanic always catches me off guard with tears.
It gives us something to do.,It gives us a certain amount of work to do.,It gives us a certain amount of work to do.,It gives us a certain amount of work to do.,It gives us a certain amount of work to do.,You name it ledge.,You name me because you know it's fun.,You name me whenever you want.
"He is debonair, or perhaps more than that.","He is either degrading, or possibly more than that, in your opinion.","He is either degrading, or possibly more than that, in your opinion.","He is either degrading, or possibly more than that, in your opinion.","He is either degrading, or possibly more than that, in your opinion.","Sadly, he falls short in terms of humility, or worse.",Sadly he is worse rated than most.,Sadly he is worse rated than most.
Many people enjoy the MLB.,The MLB is a favorite among many people.,The MLB is a favored pastime for countless individuals due to its high likeness to the sport.,The MLB is a fad with countless individuals due to its widespread appeal.,The MLB is a fad with countless other.,Fans flock to the MLB every year.,Fanbase: The MLB is a popular league with many people.,Fanbase loves the MLB.
"I do not possess that model, but I am partial to my Creative Zen Micro","I do not have that model, but I have a piece of my Creative Zen Micro. I am partial to it.","I do not have that model, but I have a piece of my Creative Zen Micro. I am partial to it.","I have no particular model, but I do have a piece of my Creative Zen Micro. However, I am partial to it.","I have no particular model, but I do have a piece of my Creative Zen Micro. However, I am partial to it.",Creative Zen Micro 550 - All you need to have that model if you were me....,"Creative Zen Micro 550 MB - I own one, but I do not have that model.","Creative EZ Micro - I own a Creative Zen Micro, I do not carry that model, but I enjoy it immensely."
I viewed it and I believe it is a quality program.,I watched it and I think it's a good show.,I watched it and I think it's a good show.,I watched it and I think it's a good show.,I watched it and I think it's a good show.,VIEW UP RIGHT THINGS: I filmed it today and I agree that it's a good show.,"Based solely on watching it once, everything sounds like it belongs on TV.",Based.
She is a poor vocalist.,She is a terrible singer.,She is a mediocre tenor in the voice department.,She is a sluggish voice and needs some work.,Her voice is not as good as her voice suggests.,vocals. She is a jerk. Her singing is terrible.,vocals. She is a subpar singer.,vocals. She is a pretty pathetic singer.
He is very attractive.,He is very good-looking.,He is very good-looking and very pretty.,He is very good-looking and very very handsome.,He is very good-looking and very very handsome.,"You won  u guys blimp up, i tappin' :) He's so pretty.",You won u guys!,"You won EVER want anything more out of him.’ You ARE ALL VERY GENIOUS, DATING!"
