Sentence,Informal_15
"The In-Laws movie isn't a holiday movie, but it's okay.","You won Upperdog movie: The In-Laws isn't Christmas-themed, but you can still enjoy it."
I don't think that page gave me viruses.,Viral transmissions do not appear to be transmitted through that page.
"I watch it everyday, my favorite charachter is Inuasha.","Every single day you watch it, always on point charachter, Inuasha."
Funbrain.com and runescape.com are great for family fun.,"Funbrain.com offers everything you need to do with kids, while runescape.org offers the ultimate family entertainment experience."
He was on the Late Night show with Conan O'Brien and seemed gay.,Gay man on the Late Night show with Conan O'Brien.
Mel Gibson is a strong believed of God.,Godless worshipper Mel Gibson holds a firm belief in God.
My exams are not over yet because I still have one left.,One looms on me - I still have one on.
Sky Kids 3D: game over.,Game ending Sky Kids 3D.
His mom was a wafer so long.,Mum always wore a wafer with.
I am entirely off or does that help.,Would anyone cheer me up if it wasn't for that?
Her name is Jessica.,Jessica stands on Jessica's birthday.
www.us.imdb.com is probably one of your best bets.,One of you definitely won't regret recommending www.us.imdb.com.
Titanic is my favorite movie and I cry when I see it.,"Titanic always catches my breath every time I watch it, and I'm pretty pumped up."
It gives us something to do.,You name me because you know it's fun.
"He is debonair, or perhaps more than that.",Sadly he is worse rated than most.
Many people enjoy the MLB.,Fanbase: The MLB is a popular league with many people.
"I do not possess that model, but I am partial to my Creative Zen Micro","Creative Zen Micro 550 MB - I own one, but I do not have that model."
I viewed it and I believe it is a quality program.,"Based solely on watching it once, everything sounds like it belongs on TV."
She is a poor vocalist.,vocals. She is a subpar singer.
He is very attractive.,You won u guys!
"This is an example of something someone, who is age 20 and married, would do.","One person pictured here, married, aged 20, would do something like this."
What am I getting paid for doing this?,Would anyone be willing to pay me for doing this?
Listen to what the first person who answered said.,Pay special rigors to everyone listen to what said.
"He could fly that plane, and I think that is funny.",Humorous.
"This was an interesting book, story, and movie.",Fun book w/story & movie.
"Sir, it is not good for you.","You won U rocked, Sir."
"it is not open to interpretation, however you can take pleasure in it.","You eat pleasure it up, you."
"I have not seen the television series, however I have seen the R.O.D","TV series viewings!!!, I have never seen the TV show, but I can tell you that I witnessed the R.O.D."
"When he urinates it is batman, which is funny because he loses weight in water.",Humorous!! You urinate with batman!
I like to spend time by myself.,Friends always make me feel special.
I guy walks into the bar.,Guy walks into the bar.
"Downloading music from other computers is illegal, but you can do what you want.","Music can be downloaded illegally from other computers, but you have the option to listen to it on your own computer."
Go to yahoo.com and click on images and type his name in the search box.,"Navigate straight on yahoo.com clicking on images, then type in the name of the person you're trying to search for in Yahoo!"
He and the other guys agreed on the final cut.,"Using one knee splay, he spearheaded teamwork with everyone else, and we all reached a consensus on who would make the ultimate cut."
We went to the other side.,All in rapt! We marched on the other side.
I didn't know HBO existed in the 1980s.,HBO played a major role in Hollywood during 1980s.
"Yes, but not for episode IV.",NBA - only used in episode IV.
You can look at www.oprah.com.,You are free admission if you visit www.oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.",Capital letters won riotous!
Anyone would cry at these movies.,Everyone would cry watching these movies.
What I like is that you let yourself go. (Hard!),"One fetish, I love that you just let yourself be yourself."
"Entertainment, that's what I want for my $8.00.","Entertainment - Music, all you need is $8.00."
"That dude, skip him, he said he knows the lead singer, hes lying.",You won RL. Laughed out loud. You know the lead singer better than anyone else.
