Sentence,Informal_15
"The In-Laws movie isn't a holiday movie, but it's okay.",If you'r wondering if The In-Laws movie isn't geared up for Christmas this year then you should watch it.
I don't think that page gave me viruses.,virus because I don't think that page gave me that kind of information.
"I watch it everyday, my favorite charachter is Inuasha.","I love Inuasha the charachter, and I watch it every day, it's my favorite."
Funbrain.com and runescape.com are great for family fun.,FUNbrain.com satinces perfectly on fun runsescape.co.uk - both are great for family fun.
He was on the Late Night show with Conan O'Brien and seemed gay.,Camry coe with Conan oBruyn on TALKEN and he appeared gay while on the Late Night program.
Mel Gibson is a strong believed of God.,Pastor Justin Rapin still doesnt believe he knows how to answer... Mel Gibson is a God-fearer.
My exams are not over yet because I still have one left.,"Because I still have one exam to pass, and my exams are still ongoing."
Sky Kids 3D: game over.,Xbox 360. Game over. Sky Kids 3D.
His mom was a wafer so long.,Mum always dreaded -'s a long wooden raft'...
I am entirely off or does that help.,Did it all fall off the rails then or is that a good thing too??
Her name is Jessica.,Whos the name Jessica?
www.us.imdb.com is probably one of your best bets.,"If you'r looking for a top pick, www.us.immdb.com should be one of them!"
Titanic is my favorite movie and I cry when I see it.,Titanic drew remorsement because I can't stop thinking about it and cry when I watch it.
It gives us something to do.,If you add it up and do it later on... It's something to do.
"He is debonair, or perhaps more than that.","If you count him because he really ""is debonair... maybe even more"" then that's all you get."
Many people enjoy the MLB.,MLB fanaticatics flock MANY TIMES OVER THE HALL OF THE MLB.
"I do not possess that model, but I am partial to my Creative Zen Micro","Creative Creative Zune Micro Zone EZ. I do NOT have that model, but I like it."
I viewed it and I believe it is a quality program.,Just saw it and I think it's a good show.
She is a poor vocalist.,I can't hear her better and she's a bad singer.
He is very attractive.,"Nice guy, huh?"
"This is an example of something someone, who is age 20 and married, would do.","If you''RE married and at the age 20, what's an 'exaggerator""?"
What am I getting paid for doing this?,How I get paid working off of that m doing?
Listen to what the first person who answered said.,Dont the first person to answer hear what they said.
"He could fly that plane, and I think that is funny.","If you'r funny, he'd fly that plane."
"This was an interesting book, story, and movie.","Fun story..., interesting book... and interesting movie..."
"Sir, it is not good for you.","it bad enough sir, i don't know what to do, it is not good enough."
"it is not open to interpretation, however you can take pleasure in it.","it doesnt mean that it is invarical, but it."
"I have not seen the television series, however I have seen the R.O.D",After binge teletelecopc I haven't seen tv series but I can tell you I did. I viewed one R.O.D.
"When he urinates it is batman, which is funny because he loses weight in water.","If you urinate it's like batman, it is funny because he loses weight in water."
I like to spend time by myself.,"If you'r like, I like to hang around and be alone."
I guy walks into the bar.,Guy walks into bar.
"Downloading music from other computers is illegal, but you can do what you want.",If you download music illegaly from other computers you do just download it.
Go to yahoo.com and click on images and type his name in the search box.,Go to yahoo.org>>images>History@yahoosite.com>Type his name in the search box.
He and the other guys agreed on the final cut.,Finally cut man he came up with the rest of the men and the others.
We went to the other side.,Next time...we went to the other side.
I didn't know HBO existed in the 1980s.,"Back in the 80s I never heard of HBO... but then again, I didn't know about HBO."
"Yes, but not for episode IV.",Ok... but it's not for the IV.
You can look at www.oprah.com.,Go to - http://biodiv.org /oprah.com.
"It is impolite to use all capital letters, Dead Fish Ollec the Fish Slayer.","Dead FISH OLLEC THE Fish Slayer is a vulgar name, i.e all capital letters, it is bad to use all caps at once, Dead Fish Ollec the Fish slayer?"
Anyone would cry at these movies.,Who cares - the people watching would cry if they watched these movies...
What I like is that you let yourself go. (Hard!),One gratgrats...I prefer that one's boss outshinks you!
"Entertainment, that's what I want for my $8.00.","If you put my $8.00 in the bank, I'll get Entertainment."
