Sentence,Informal_15
"Say , Jim , how about going for a few beers after dinner ? ","How you guys is doing? I need to go out for a beer or something. Jim, what do you do after your meal?"
 You know that is tempting but is really not good for our fitness . ,"Fitbit addiction? YUMMY - It's a good idea, but it'll be bad for you."
 What do you mean ? It will help us to relax . ,How would anyone know what it means... It'll help you relax.
 Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? ,"Real people... I don't think so.. I'm not so sure. It'll make us fat, make our minds go crazy, and make silly mistakes."
 I guess you are right.But what shall we do ? I don't feel like sitting at home . ,"How I wont be sitting at home anymore I guess you are right, but I don't even feel like sitting in."
 I suggest a walk over to the gym where we can play singsong and meet some of our friends . ,"If you'm gonna go to the gym, walk over there and we can go for a sing at one time place and maybe meet up with some of our friends at the sing-sing thing."
 That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . ,"If you'r wondering, maybe Mary and Sally, who drive up hill first mosh and play ping pong in the same area, and you could tie the knot with a foursome if you wanted to ask them out."
" Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . ","Awesome!!!!!!!!!!!!!! If they want to join us, we can do a dance for them! That's great exercise and also it'll be fun!"
 Good.Let ' s go now . ,Nice now... Let's go.
 All right . ,Ur!
Can you do push-ups ? ,Push it- up or nip it?
" Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . ",If you's looking hard out your mind you probably won't know that 30 push-ups in ten seconds actually WORKS!
 Really ? I think that's impossible ! ,Really??? I think it's impossible!
 You mean 30 push-ups ? ,How you spell the count of 30 push-ups?
 Yeah ! ,Yeah...?
" It's easy . If you do exercise everyday , you can make it , too . ",Easy... If you do it every day you'd make it easy.
Can you study with the radio on ? ,How you go to if you want to study using the radio on?
" No , I listen to background music . ","Backstage musias? Nah, no way."
 What is the difference ? ,Disrupti once!
 The radio has too many comerials . ,too funny on the radio because he has too many comers.
" That's true , but then you have to buy a record player . ",Yeah it depends if you can buy a record player too...
Are you all right ? ,"Ok I'm squibbish, mmm r u li tu dos?"
 I will be all right soon . I was terrified when I watched them fall from the wire . ,Just wait till I am all right... I was terrified to see them fall from heaven's corner - I'm so afraid of it all the time.
 Don't worry.He is an acrobat 。 ,Dont worry.He is an acrobat.
 I see . ,Right on here I see 'em.
"Hey John , nice skates . Are they new ? ","Nice Skateboarding guys, I'm curious, do you know if they're new?"
" Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . ",Yeah I just got them. Finished ice hockey in a community league so I finally got my skates.
 What position do you play ? ,Whos in what position do you play?
 I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . ,"Because I'm a defender, it's pliable and fun. You don't have to play fast on defense."
" Yeah , you ’ re a pretty big guy . I play goalie , myself . ",Yeah you go... you’re gonna be a pretty big guy.’ I’m also claiming to be the goalie.
" Oh , yeah ? Which team ? ",Whos the team?
 The Rockets . ,Rocketz.
" Really ? I think we play you guys next week . Well , I have to go to practice . See you later . ","Really did I just ask? I reckonwe'll play you guys next week? Wait, I can't go for practice... See you later."
" All right , see you later . ","Ok I'm gonna say, I can't wait for you."
"Hey Lydia , what are you reading ? ",Nice one Lydia! Just a question for you :).
" I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! ",Horrible! Just in 2 weeks I would go for a trip to'somewhere exotic' and go on AN all-day summer fling!! This month's horoscope is very positive
 What are you talking about ? Let me see that ... What are horoscopes ? ,Ur horoscope? Please explain
" It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? ","How I know what month it was for you based off zodiac sign - Aries or Moon, & Date. I was born on 15th April 1969 and I have a different zodion. Can you tell me your birth date if you were born in Arie on that date and month?"
 January 5th . ,1st. of YER.
" Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! ","Scorpion!! Work the stress out of you, but love the new girl! Summers are going to be so exciting!"
