Sentence,Paraphrase,Formal_10,Formal_15,Formal_20,Informal_10,Informal_15,Informal_20
"The exception was between late 2005 and 2009 when he played in Sweden with Carlstad United BK , Serbia with FK Borac Čačak and Russian FC Terek Grozny .","He was the only player who did not play for Russian FC Terek Grozny, but played for Carlstad United BK in Sweden between late 2005 and 2009 with FK Borac aak and Russian FC Terek Grozny in Serbia.","Between late 2005 and 2009, he was not on the same team, as a rule, but instead played for Carlstad United BK in Sweden, and FK Borac aak and Russian FC Terek Grozny in Serbia.","Between late 2005 and 2009, he was not on the same team, as a rule, but instead played for Carlstad United BK in Sweden, and FK Borac aak and Russian FC Terek Grozny in Serbia.","Between late 2005 and 2009, he was not on the same team, as a rule, but instead played for Carlstad United BK in Sweden, and FK Borac aak and Russian FC Terek Grozny in Serbia.","Carlstad United BK played in Sweden, Serbia with FK Borac aak and Russian FC Terek Grozny from late 2005 to 2009.","Carlstad United BK playing in Sweden, FK Borac aak playing for FC Borax in Serbia, and Russian FC Terek Grozny playing with him in Russia from 2009 to 2014, with the only exclusion being between him and the team that played in the USA from late 2005 to 2009.","Carlstad United BK playing in Sweden, FK Borac aak playing for FC Borax in Serbia, and Russian FC Terek Grozny playing with him in 2007 and 2008, with the only exclusion being between him and the team that played in the USA from late 2005-2009."
The Tabaci River is a tributary of the River Leurda in Romania .,"Romania's Romanian province has a river called the Leurda, which is a tributary to the Tabaci River.","In Romania, the River Leurda and the Tabaci River are both tributaries of the Romanian Leardo River.","In Romania, the River Leurda and the Tabaci River are both tributaries of the Romanian Leardo River.","In Romania, the River Leurda and the Tabaci River are both tributaries of the Romanian Leardo River.","Romania boasts the River Leurda's bank account, Romanians say it is a tributary of the Leardal River, Tabaci is one of its inland rivers.","Romania boasts the River Leurda's bank account, Romanians say it 'a tributary of the Tabaci'; Romania' s Tabernacle is a member of its family.",Romania boasts UNESCO World Heritage Sites: All-Time Favorite River Leurda is a tributary of the River Tabaci and – in the southern region of Europe - the Traian River.
He played with the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs .,He was a member of the A-level Kane County Cougars and the AA Portland Sea Dogs in 1993.,"In addition, he played for the A-level Kane County Cougars and AA Portland Sea Dogs in 1993.","In addition, he played for the A-level Kane County Cougars and AA Portland Sea Dogs in 1993.","In addition, he played for the A-level Kane County Cougars and AA Portland Sea Dogs in 1993.","He teamed up with the NBA's top team, the Kane County Cougars, an A-level team from Kan Counties, and the AA Portland Sea Dogs in 1993.",He teamed up well known league teams the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs.,The team he played for was the A-level Kane County Cougars in 1993 and the AA Portland Sea Dogs (2009).
"Winarsky is a member of the IEEE , Phi Beta Kappa , the ACM and Sigma Xi .","Winarsky is a member of the IEEE, Phi Beta Kappa, the ACM, and Sigma Xi.","Among the organizations he is a member of include IEEE, Phi Beta Kappa., the ACM and Sigma Xi whose founder and current president is Winarsky.","Among the organizations he or she is a member of include the IEEE, Phi Beta Kappa. the ACM and Sigma Xi ; Winarsky is also Mitglied of the prestigious IEEE and is affiliated with the professional organization Pho Beta Phu.","Among the organizations he or she is a member of include the IEEE, Phi Beta Kappa. the ACM and Sigma Xi ; Winarsky is also Mitglied of the prestigious IEEE and is affiliated with the professional organization Pho Beta Phu.","Winarsky stays inducted in IEEE, Phi Beta Kappa, the ACM, and Sigma Xi.","Winrsky stays inducted in IEEE, Phi Beta Kappa, the ACM, and Sigma Xi.","Winrsky stays inducted in IEEE, Phi Beta Kappa, the ACM, and Sigma Xi."
In 1938 he became the government anthropologist of the anglo-Egyptian Sudan and led fieldwork with the Nuba .,He was appointed as the government anthropologist for the anglo-Egyptian Sudan in 1938 and led fieldwork with the Nuba.,"In 1938, he was appointed as the anglo-Egyptian Sudanese government anthropologist and led fieldwork with the Nuba, leading to his appointment.","In 1938, he was appointed as the anglo-Egyptian Sudanese government anthropologist and led fieldwork with the Nuba, leading to his appointment.","In the anglo-Egyptian Sudan in 1938, he was appointed as the government anthropologist and led fieldwork with the Nuba.","The first African to hold the position of government anthropologist in 1938 in the anglo-Egyptian Sudan, he led fieldwork with the Nuba and led the field work for the Sudanese government.","The first African to hold a position in government anthropology in 1938, he was appointed in 1937 and led fieldwork in collaboration with the Nuba.","The first humanoid expert to be appointed in 1938 by the government anthropologist of the anglo-Egyptian Sudan, he led fieldwork with the Nuba and led it."
"Billy Billy Batson appeared in the first four issues of `` Black Adam '' , published between late 2008 and early 2009 .","Billy Billy Batson was featured in the first four issues of  Black Adam, which were published between late 2008 and early 2009.","Billy Billy Batson was part of the first four issues of  Black Adam's ''Black Adam & Associates', which were published between late 2008 and early 2009 and featured Billy B.","Billy Billy Batson was part of the first four issues of  Black Adam's ''Black Adam & Associates', which were published between late 2008 and early 2009 and featured Billy B.","Billy Billy Batson was part of the first four issues of  Black Adam's ''Black Adam and Beyond'TM', which were published between late 2008 and early 2009 and featured Billy Bubba in each issue.","Black Adam released four issues in the same year, with Billy Billy Batson starring in one of the first four'Black Angel' issues.","Black Adam released  Black Lion '' in 2008, featuring Billy Billy Batson in its first four issues, from the late 2008 to early 2009.",Black Adam released  Black '' in four issues from 2008 to 2009 featuring Billy Billy Batson in the cover art section.
The solar approach to this requirement is the use of solar panels in a conventional-powered aircraft .,The use of solar panels in a conventional-powered aircraft is the solar approach to address the need for solar panels.,"By incorporating solar panels into a conventional-powered aircraft, the solar approach addresses the issue of this requirement.","By incorporating solar panels into a conventional-powered aircraft, the solar approach addresses the issue of this requirement.","By incorporating solar panels into a conventional-powered aircraft, the solar approach addresses the issue of this requirement.","Solar panels installed in a aircraft that is powered by conventional electricity are the solution to this problem, using solar panels.",Solar panel installation in a traditional aircraft using solar energy is the solution to this problem.,"Solar panel installation in a traditional aircraft using solar energy is the solution to this problem, using traditional power sources."
"The police also questioned singer Rimi Tomy and the actor Kavya Madhavan , both close friends of Siddique and his wife Dileep , as part of the ongoing investigation .","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Siddique and his wife Dileep.","Siddique and his wife Dileep were investigating a case that involved the police interviewing Rimi Tomy and Kavya Madhavan, two close friends of the singer and actor, as well as Sidu and Dilip.","Siddique and his wife Dileep were investigating a possible conflict when police questioned Rimi Tomy and the actor Kavya Madhavan, who were both close friends of Sindique.","Siddique and his wife Dileep were investigating a possible conflict when police questioned Rimi Tomy and the actor Kavya Madhavan, who were both close friends of Sindique.",Singer Rimi Tomy and actor Kavya Madhavan - two close friends of Siddique and his wife Dileep – were arrested and questioned by the police as part of the investigation.,Singer Rimi Tomy and actor Kavya Madhavan - all close friends of Siddique and his wife Dileep – were questioned by police as part of the investigation.,Singer Rimi Tomy and actor Kavya Madhavan - all close friends of Siddique and his wife Dileep – were questioned by police as part of the investigation.
"They are overlaid with sparse live orchestral music and consist of vague , almost deliberately colorless sounds .","They are surrounded by minimal live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are surrounded by infrequent live orchestral music and are composed of unclear, almost intentionally monochromatic sounds.","They are accompanied by a few live orchestral tunes, but are overlaid with hazy, almost intentionally shaded, sounds that are mostly ambiguous and indistinct.","They are accompanied by a few live orchestral tunes, but are overlaid with hazy, almost intentionally shaded, sounds that are mostly ambiguous and indistinct.","The music is overlaid with scant live orchestral music and is comprised of hazy, purposefully uncolored sounds.","The music is overlaid with scant live orchestral music and is made up of hazy, goalless sounds that are distorted and intentionally obstructive.",The music is overlaid with scant live orchestral music and is made up of hazy yet purposefully monochromatic sounds.
Holly was musically influenced by Elton John .,"Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Elton John had a significant impact on Holly's musical tastes, as Holly was influenced by the latter.","Ewan's music impacted Holly' aversions, as Elton John also had ties to the former.",Ewan's influences on Holly' life were also influenced by Elton John'.,"Holly drew musical symphonys from Elton John's musical genius, Ethan John.","Holly drew musical symphonys from Elton John's hit song ""Eat Me To My Heart"".",MusicAL POWER: Holly was a musically influenced singer-songwriter thanks to Elton John.
